"","uni","metric","metrix","stage","col","barefoot2025.bad15.005","pval"
"1","Quant.1.0","Quant","1","1","1",0.321747533745202,7.24105706224969e-52
"2","Sigma.1.0","Sigma","2","1","1",6.58725102019334,2.82938661783968e-40
"3","Connect.1.0","Connect","3","1","1",0.201056726247666,2.61298356656348e-06
"4","Tau1.1.0","Tau1","4","1","1",717.852043122601,2.26955553293924e-28
"5","Tau2.1.0","Tau2","5","1","1",1508493.70654414,1.6888548051554e-20
"6","NPQ.1.0","NPQ","6","1","1",0.476163307546407,6.067251719508e-84
"7","qP.1.0","qP","7","1","1",0.768666525635407,1.44821141244994e-51
"8","ABQ.1.0","ABQ","8","1","1",0,2.82938661783968e-40
"9","qm.1.0","qm","9","1","1",0,7.24105706224969e-52
"10","nTau1.1.0","nTau1","10","1","1",1,2.26955553293924e-28
"11","nTau2.1.0","nTau2","11","1","1",1,1.6888548051554e-20
"12","nCon.1.0","nCon","12","1","1",1,2.61298356656348e-06
"13","Fm.1.0","Fm","13","1","1",2035.7542874764,6.067251719508e-84
"14","Fo.1.0","Fo","14","1","1",1380.75536616965,1.44821141244994e-51
"15","Quant.3.0","Quant","1","3","1",0.087436331680213,8.96301456392208e-64
"16","Sigma.3.0","Sigma","2","3","1",4.4658311505718,6.78612887352373e-15
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",959.088122881916,1.3940472605642e-08
"19","Tau2.3.0","Tau2","5","3","1",4405003.24570351,1.0306667379751e-09
"20","NPQ.3.0","NPQ","6","3","1",0.00319653422355976,1.89964980978656e-80
"21","qP.3.0","qP","7","3","1",0.128474725545571,1.79260291278442e-63
"22","ABQ.3.0","ABQ","8","3","1",0.322049343970388,6.78612887352373e-15
"23","qm.3.0","qm","9","3","1",0.728245526352797,8.96301456392208e-64
"24","nTau1.3.0","nTau1","10","3","1",1.33605264771548,1.3940472605642e-08
"25","nTau2.3.0","nTau2","11","3","1",2.92013365822725,1.0306667379751e-09
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",2995.53046669842,1.89964980978656e-80
"28","Fo.3.0","Fo","14","3","1",2733.612271254,1.79260291278442e-63
"29","Quant.4.0","Quant","1","4","1",0.090178609783046,9.08987766365007e-64
"30","Sigma.4.0","Sigma","2","4","1",5.22224874534204,1.67388875593418e-13
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",684.084409848388,7.78466310395736e-11
"33","Tau2.4.0","Tau2","5","4","1",2916439.81829274,4.12599898996532e-19
"34","NPQ.4.0","NPQ","6","4","1",0.0437899921592488,1.78210550563528e-82
"35","qP.4.0","qP","7","4","1",0.182518926327802,1.81797553273001e-63
"36","ABQ.4.0","ABQ","8","4","1",0.20721880351407,1.67388875593418e-13
"37","qm.4.0","qm","9","4","1",0.719722452155732,9.08987766365007e-64
"38","nTau1.4.0","nTau1","10","4","1",0.952960176685816,7.78466310395736e-11
"39","nTau2.4.0","nTau2","11","4","1",1.9333456981893,4.12599898996532e-19
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",2879.03295196038,1.78210550563528e-82
"42","Fo.4.0","Fo","14","4","1",2619.40576283301,1.81797553273001e-63
"43","Quant.5.0","Quant","1","5","1",0.109757866326341,1.26888171456307e-64
"44","Sigma.5.0","Sigma","2","5","1",4.69609725705224,2.11009274331853e-19
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",669.066717087152,5.83829963928072e-12
"47","Tau2.5.0","Tau2","5","5","1",2443852.73553512,6.90714924464929e-18
"48","NPQ.5.0","NPQ","6","5","1",0.187929790935959,1.10937607895265e-83
"49","qP.5.0","qP","7","5","1",0.356359272150648,2.53776342912615e-64
"50","ABQ.5.0","ABQ","8","5","1",0.287093016091801,2.11009274331853e-19
"51","qm.5.0","qm","9","5","1",0.658869595521873,1.26888171456307e-64
"52","nTau1.5.0","nTau1","10","5","1",0.932039859044997,5.83829963928072e-12
"53","nTau2.5.0","nTau2","11","5","1",1.62006160511855,6.90714924464929e-18
"54","nCon.5.0","nCon","12","5","1",0,1
"55","Fm.5.0","Fm","13","5","1",2529.69982340896,1.10937607895265e-83
"56","Fo.5.0","Fo","14","5","1",2252.04536834547,2.53776342912615e-64
"57","Quant.6.0","Quant","1","6","1",0.115096195921375,2.11127100953613e-65
"58","Sigma.6.0","Sigma","2","6","1",4.0254445154111,4.84316766236152e-20
"59","Connect.6.0","Connect","3","6","1",0,1
"60","Tau1.6.0","Tau1","4","6","1",931.268584601111,2.05668796954959e-10
"61","Tau2.6.0","Tau2","5","6","1",2420548.29026536,7.46538096896515e-15
"62","NPQ.6.0","NPQ","6","6","1",0.312247142544792,1.79011596173752e-81
"63","qP.6.0","qP","7","6","1",0.463104830891896,4.22254201907226e-65
"64","ABQ.6.0","ABQ","8","6","1",0.388903731910166,4.84316766236152e-20
"65","qm.6.0","qm","9","6","1",0.642277923371678,2.11127100953613e-65
