"","uni","metric","metrix","stage","col","barefoot2025.bad27.005","pval"
"1","Quant.1.0","Quant","1","1","1",0.318515936763313,1.92847155320466e-58
"2","Sigma.1.0","Sigma","2","1","1",5.48217999425414,4.7332788373263e-45
"3","Connect.1.0","Connect","3","1","1",0.226772719897892,1.18433128288502e-10
"4","Tau1.1.0","Tau1","4","1","1",549.793275198694,6.28130455141001e-26
"5","Tau2.1.0","Tau2","5","1","1",1628769.01532682,9.34841637996782e-20
"6","NPQ.1.0","NPQ","6","1","1",0.532098759325021,6.83381280877128e-88
"7","qP.1.0","qP","7","1","1",0.84858925766293,3.85694310640932e-58
"8","ABQ.1.0","ABQ","8","1","1",0,4.7332788373263e-45
"9","qm.1.0","qm","9","1","1",0,1.92847155320466e-58
"10","nTau1.1.0","nTau1","10","1","1",1,6.28130455141001e-26
"11","nTau2.1.0","nTau2","11","1","1",1,9.34841637996782e-20
"12","nCon.1.0","nCon","12","1","1",1,1.18433128288502e-10
"13","Fm.1.0","Fm","13","1","1",1981.21660850402,6.83381280877128e-88
"14","Fo.1.0","Fo","14","1","1",1350.16754451533,3.85694310640932e-58
"15","Quant.3.0","Quant","1","3","1",0.0961354051515186,3.00709355411471e-63
"16","Sigma.3.0","Sigma","2","3","1",4.54024751183518,1.35246709435484e-15
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",776.271589096767,1.8994640212614e-10
"19","Tau2.3.0","Tau2","5","3","1",3362666.63639334,1.25543425880197e-15
"20","NPQ.3.0","NPQ","6","3","1",0.0179883158233255,7.75777179592635e-80
"21","qP.3.0","qP","7","3","1",0.171350169666667,6.01418710822941e-63
"22","ABQ.3.0","ABQ","8","3","1",0.171817139058951,1.35246709435484e-15
"23","qm.3.0","qm","9","3","1",0.698177095537432,3.00709355411471e-63
"24","nTau1.3.0","nTau1","10","3","1",1.41193358324768,1.8994640212614e-10
"25","nTau2.3.0","nTau2","11","3","1",2.06454482173374,1.25543425880197e-15
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",2981.78226671311,7.75777179592635e-80
"28","Fo.3.0","Fo","14","3","1",2695.12742042903,6.01418710822941e-63
"29","Quant.4.0","Quant","1","4","1",0.0941444366738474,1.08823436587916e-64
"30","Sigma.4.0","Sigma","2","4","1",4.74206250006065,2.37559105558946e-15
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",1078.11256778178,3.82921132583748e-10
"33","Tau2.4.0","Tau2","5","4","1",3192499.97039896,2.78321068042019e-18
"34","NPQ.4.0","NPQ","6","4","1",0.0171430592745442,1.74168221385685e-82
"35","qP.4.0","qP","7","4","1",0.167230596738396,2.17646873175832e-64
"36","ABQ.4.0","ABQ","8","4","1",0.135004230975489,2.37559105558946e-15
"37","qm.4.0","qm","9","4","1",0.704427861191117,1.08823436587916e-64
"38","nTau1.4.0","nTau1","10","4","1",1.9609417146693,3.82921132583748e-10
"39","nTau2.4.0","nTau2","11","4","1",1.96006919357953,2.78321068042019e-18
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",2984.26015904595,1.74168221385685e-82
"42","Fo.4.0","Fo","14","4","1",2703.30866748436,2.17646873175832e-64
"43","Quant.5.0","Quant","1","5","1",0.113288763849656,5.45396550684906e-64
"44","Sigma.5.0","Sigma","2","5","1",4.38895087172942,8.87707211231477e-19
"45","Connect.5.0","Connect","3","5","1",0,1
