"","uni","metric","metrix","stage","col","cclong2025.lad15.004","pval"
"1","Quant.1.0","Quant","1","1","1",0.374762022691423,9.48020391257643e-57
"2","Sigma.1.0","Sigma","2","1","1",4.62472679798769,1.17262599339776e-47
"3","Connect.1.0","Connect","3","1","1",0.220382586079113,1.57581529244735e-11
"4","Tau1.1.0","Tau1","4","1","1",595.371864853492,2.84027729450893e-28
"5","Tau2.1.0","Tau2","5","1","1",1255011.06905157,3.58287852242455e-22
"6","NPQ.1.0","NPQ","6","1","1",0.71004735384735,7.0520209584181e-86
"7","qP.1.0","qP","7","1","1",0.939553024638657,1.89604078251529e-56
"8","ABQ.1.0","ABQ","8","1","1",0,1.17262599339776e-47
"9","qm.1.0","qm","9","1","1",0,9.48020391257643e-57
"10","nTau1.1.0","nTau1","10","1","1",1,2.84027729450893e-28
"11","nTau2.1.0","nTau2","11","1","1",1,3.58287852242455e-22
"12","nCon.1.0","nCon","12","1","1",1,1.57581529244735e-11
"13","Fm.1.0","Fm","13","1","1",2290.72030506362,7.0520209584181e-86
"14","Fo.1.0","Fo","14","1","1",1432.24533011766,1.89604078251529e-56
"15","Quant.3.0","Quant","1","3","1",0.0597008643720321,5.51649363069409e-72
"16","Sigma.3.0","Sigma","2","3","1",4.30741247718029,2.90322600047902e-15
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",1011.27131620464,1.0263011295934e-10
"19","Tau2.3.0","Tau2","5","3","1",6586807.72958551,9.31716941538625e-14
"20","NPQ.3.0","NPQ","6","3","1",0.0433718209806799,3.98933587105814e-88
"21","qP.3.0","qP","7","3","1",0.146312182650431,1.10329872613882e-71
"22","ABQ.3.0","ABQ","8","3","1",0.0686125547882011,2.90322600047902e-15
"23","qm.3.0","qm","9","3","1",0.840696600089627,5.51649363069409e-72
"24","nTau1.3.0","nTau1","10","3","1",1.69855409014581,1.0263011295934e-10
"25","nTau2.3.0","nTau2","11","3","1",5.24840608343262,9.31716941538625e-14
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3754.40482223927,3.98933587105814e-88
"28","Fo.3.0","Fo","14","3","1",3530.26360914906,1.10329872613882e-71
"29","Quant.4.0","Quant","1","4","1",0.0454668808589839,1.08065304154993e-71
