"","uni","metric","metrix","stage","col","cclong2025.lad24.004","pval"
"1","Quant.1.0","Quant","1","1","1",0.366492962859742,1.26020501074426e-60
"2","Sigma.1.0","Sigma","2","1","1",4.12711098256034,2.19223040306369e-50
"3","Connect.1.0","Connect","3","1","1",0.251244760131664,5.74232014688582e-16
"4","Tau1.1.0","Tau1","4","1","1",482.973500641237,7.46534515074906e-28
"5","Tau2.1.0","Tau2","5","1","1",1269765.91830731,3.77222201312195e-22
"6","NPQ.1.0","NPQ","6","1","1",0.679459759515526,5.19201253876799e-88
"7","qP.1.0","qP","7","1","1",0.968924748201478,2.52041002148852e-60
"8","ABQ.1.0","ABQ","8","1","1",0,2.19223040306369e-50
"9","qm.1.0","qm","9","1","1",0,1.26020501074426e-60
"10","nTau1.1.0","nTau1","10","1","1",1,7.46534515074906e-28
"11","nTau2.1.0","nTau2","11","1","1",1,3.77222201312195e-22
"12","nCon.1.0","nCon","12","1","1",1,5.74232014688582e-16
"13","Fm.1.0","Fm","13","1","1",1912.57645789966,5.19201253876799e-88
"14","Fo.1.0","Fo","14","1","1",1211.63064514822,2.52041002148852e-60
"15","Quant.3.0","Quant","1","3","1",0.0931159519505457,2.71043031499752e-69
"16","Sigma.3.0","Sigma","2","3","1",3.29530746878702,5.15921924696871e-22
"17","Connect.3.0","Connect","3","3","1",0.0419570033204027,0.70907876685451
"18","Tau1.3.0","Tau1","4","3","1",630.891025936173,1.24719779500142e-14
"19","Tau2.3.0","Tau2","5","3","1",4689762.39742076,2.93474786729457e-14
"20","NPQ.3.0","NPQ","6","3","1",0.0597889968064167,7.06472963870944e-83
"21","qP.3.0","qP","7","3","1",0.224465568162006,5.42086062999498e-69
"22","ABQ.3.0","ABQ","8","3","1",0.201546194732398,5.15921924696871e-22
"23","qm.3.0","qm","9","3","1",0.745927039842832,2.71043031499752e-69
"24","nTau1.3.0","nTau1","10","3","1",1.30626426729116,1.24719779500142e-14
"25","nTau2.3.0","nTau2","11","3","1",3.6934070522798,2.93474786729457e-14
"26","nCon.3.0","nCon","12","3","1",0.166996530787011,0.70907876685451
"27","Fm.3.0","Fm","13","3","1",3030.88181488824,7.06472963870944e-83
"28","Fo.3.0","Fo","14","3","1",2748.65836944532,5.42086062999498e-69
"29","Quant.4.0","Quant","1","4","1",0.075474392037764,7.12525321592541e-70
"30","Sigma.4.0","Sigma","2","4","1",4.02162076327903,8.48429640222562e-16
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",830.048932306544,2.51074634093623e-10
"33","Tau2.4.0","Tau2","5","4","1",4378782.53930605,4.07447338420764e-14
"34","NPQ.4.0","NPQ","6","4","1",0.0140165245748533,1.05543092062167e-85
"35","qP.4.0","qP","7","4","1",0.137303472367411,1.42505064318508e-69
"36","ABQ.4.0","ABQ","8","4","1",0.0255603059203098,8.48429640222562e-16
"37","qm.4.0","qm","9","4","1",0.794063188965928,7.12525321592541e-70
"38","nTau1.4.0","nTau1","10","4","1",1.71862210080781,2.51074634093623e-10
"39","nTau2.4.0","nTau2","11","4","1",3.44849588114893,4.07447338420764e-14
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3167.69512152275,1.05543092062167e-85
"42","Fo.4.0","Fo","14","4","1",2928.61525806483,1.42505064318508e-69
"43","Quant.5.0","Quant","1","5","1",0.0857983702651349,6.36718857279924e-70
"44","Sigma.5.0","Sigma","2","5","1",3.7535675712302,5.17452879437249e-19
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",829.315262163512,4.03737552386659e-10
"47","Tau2.5.0","Tau2","5","5","1",4139074.51620419,5.31206250785443e-11
"48","NPQ.5.0","NPQ","6","5","1",0.0563422562020666,1.06989598523288e-85
"49","qP.5.0","qP","7","5","1",0.209344313672411,1.27343771455985e-69
"50","ABQ.5.0","ABQ","8","5","1",0.0905096598828088,5.17452879437249e-19
"51","qm.5.0","qm","9","5","1",0.765893539685863,6.36718857279924e-70
"52","nTau1.5.0","nTau1","10","5","1",1.71710303166207,4.03737552386659e-10
"53","nTau2.5.0","nTau2","11","5","1",3.25971461080155,5.31206250785443e-11
"54","nCon.5.0","nCon","12","5","1",0,1
"55","Fm.5.0","Fm","13","5","1",3040.77128334131,1.06989598523288e-85
"56","Fo.5.0","Fo","14","5","1",2779.87806288161,1.27343771455985e-69
"57","Quant.6.0","Quant","1","6","1",0.0983459629031803,5.415302958333e-68
"58","Sigma.6.0","Sigma","2","6","1",4.01648908168952,3.5413203358765e-21
"59","Connect.6.0","Connect","3","6","1",0,1
"60","Tau1.6.0","Tau1","4","6","1",682.697166636138,4.99435762359487e-13
"61","Tau2.6.0","Tau2","5","6","1",3506689.77270615,3.63838323832533e-13
"62","NPQ.6.0","NPQ","6","6","1",0.0996861852676681,3.03427310982946e-86
"63","qP.6.0","qP","7","6","1",0.280165416948278,1.0830605916666e-67
"64","ABQ.6.0","ABQ","8","6","1",0.0268037136239545,3.5413203358765e-21
"65","qm.6.0","qm","9","6","1",0.731656613169902,5.415302958333e-68
"66","nTau1.6.0","nTau1","10","6","1",1.41352924276328,4.99435762359487e-13
"67","nTau2.6.0","nTau2","11","6","1",2.7616820723782,3.63838323832533e-13
"68","nCon.6.0","nCon","12","6","1",0,1
"69","Fm.6.0","Fm","13","6","1",2920.91984156133,3.03427310982946e-86
"70","Fo.6.0","Fo","14","6","1",2633.65916717997,1.0830605916666e-67
"71","Quant.7.0","Quant","1","7","1",0.107643036037022,3.48399764486724e-68
"72","Sigma.7.0","Sigma","2","7","1",3.80299675223784,5.27159038141249e-23
"73","Connect.7.0","Connect","3","7","1",0,1
"74","Tau1.7.0","Tau1","4","7","1",686.839383195539,7.17369388252457e-14
"75","Tau2.7.0","Tau2","5","7","1",3208813.12391942,5.71990342307303e-13
