"","uni","metric","metrix","stage","col","cclong2025.lad30.004","pval"
"1","Quant.1.0","Quant","1","1","1",0.347267231201388,1.63876188789646e-58
"2","Sigma.1.0","Sigma","2","1","1",4.6046871181732,6.85651777175177e-47
"3","Connect.1.0","Connect","3","1","1",0.19621909202577,7.63832255244712e-10
"4","Tau1.1.0","Tau1","4","1","1",574.488031213843,1.00518801261886e-24
"5","Tau2.1.0","Tau2","5","1","1",1311669.93343463,4.03916172472369e-19
"6","NPQ.1.0","NPQ","6","1","1",0.447028849133164,3.68962094339306e-87
"7","qP.1.0","qP","7","1","1",0.859288978604347,3.27752377579292e-58
"8","ABQ.1.0","ABQ","8","1","1",0,6.85651777175177e-47
"9","qm.1.0","qm","9","1","1",0,1.63876188789646e-58
"10","nTau1.1.0","nTau1","10","1","1",1,1.00518801261886e-24
"11","nTau2.1.0","nTau2","11","1","1",1,4.03916172472369e-19
"12","nCon.1.0","nCon","12","1","1",1,7.63832255244712e-10
"13","Fm.1.0","Fm","13","1","1",2406.80940888353,3.68962094339306e-87
"14","Fo.1.0","Fo","14","1","1",1571.0033694311,3.27752377579292e-58
"15","Quant.3.0","Quant","1","3","1",0.093110958657659,3.41368476717086e-68
"16","Sigma.3.0","Sigma","2","3","1",3.53964054780737,2.4871435711519e-20
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",1095.23967986787,5.45452071105276e-12
"19","Tau2.3.0","Tau2","5","3","1",4177293.39281149,1.76791303365279e-12
"20","NPQ.3.0","NPQ","6","3","1",0.0297016651239598,9.84346992735446e-83
"21","qP.3.0","qP","7","3","1",0.186709152000775,6.82736953434171e-68
"22","ABQ.3.0","ABQ","8","3","1",0.231296186479737,2.4871435711519e-20
"23","qm.3.0","qm","9","3","1",0.73187519497438,3.41368476717086e-68
"24","nTau1.3.0","nTau1","10","3","1",1.9064621373464,5.45452071105276e-12
"25","nTau2.3.0","nTau2","11","3","1",3.18471384174614,1.76791303365279e-12
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3382.2637827825,9.84346992735446e-83
"28","Fo.3.0","Fo","14","3","1",3067.33795953455,6.82736953434171e-68
"29","Quant.4.0","Quant","1","4","1",0.0786549076367741,2.48948114423524e-71
"30","Sigma.4.0","Sigma","2","4","1",3.52401670453581,3.39176540220004e-17
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",1419.99151432899,2.62587077716533e-08
"33","Tau2.4.0","Tau2","5","4","1",3176143.86421422,3.38371525801762e-15
"34","NPQ.4.0","NPQ","6","4","1",-0.0130649631009695,1.40593372045084e-84
"35","qP.4.0","qP","7","4","1",0.104035775391156,4.97896228847033e-71
"36","ABQ.4.0","ABQ","8","4","1",0.234689216857392,3.39176540220004e-17
"37","qm.4.0","qm","9","4","1",0.773503225845227,2.48948114423524e-71
"38","nTau1.4.0","nTau1","10","4","1",2.47175125881852,2.62587077716533e-08
"39","nTau2.4.0","nTau2","11","4","1",2.42145053664335,3.38371525801762e-15
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3528.82663884585,1.40593372045084e-84
"42","Fo.4.0","Fo","14","4","1",3251.26710550124,4.97896228847033e-71
"43","Quant.5.0","Quant","1","5","1",0.0977981753664284,3.14191644818695e-70
"44","Sigma.5.0","Sigma","2","5","1",3.5100913229487,1.71991663262975e-23
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",1177.1418828763,2.99710027219749e-09
"47","Tau2.5.0","Tau2","5","5","1",2453439.82383176,1.62925840717166e-15
"48","NPQ.5.0","NPQ","6","5","1",0.0412012754347257,7.33667641844947e-87
"49","qP.5.0","qP","7","5","1",0.208983695495412,6.28383289637391e-70
"50","ABQ.5.0","ABQ","8","5","1",0.237713392274688,1.71991663262975e-23
"51","qm.5.0","qm","9","5","1",0.71837776046968,3.14191644818695e-70
"52","nTau1.5.0","nTau1","10","5","1",2.04902768886082,2.99710027219749e-09
"53","nTau2.5.0","nTau2","11","5","1",1.87047042955951,1.62925840717166e-15
"54","nCon.5.0","nCon","12","5","1",0,1
"55","Fm.5.0","Fm","13","5","1",3344.9081663538,7.33667641844947e-87
"56","Fo.5.0","Fo","14","5","1",3017.78225091613,6.28383289637391e-70
"57","Quant.6.0","Quant","1","6","1",0.121061098803326,8.95484452050498e-66
"58","Sigma.6.0","Sigma","2","6","1",3.67444333738908,3.02332967386868e-23
"59","Connect.6.0","Connect","3","6","1",0,1
"60","Tau1.6.0","Tau1","4","6","1",1176.67085590094,3.55774616828525e-12
"61","Tau2.6.0","Tau2","5","6","1",2159028.38252576,2.59544139544653e-16
