"","uni","metric","metrix","stage","col","barefoot2025.bad2.003","pval"
"1","Quant.1.0","Quant","1","1","1",0.37728791011498,3.78830306217818e-58
"2","Sigma.1.0","Sigma","2","1","1",4.38498561288631,9.42735151164231e-50
"3","Connect.1.0","Connect","3","1","1",0.258810153139425,5.23326487246174e-15
"4","Tau1.1.0","Tau1","4","1","1",534.014781199698,8.67453308193889e-28
"5","Tau2.1.0","Tau2","5","1","1",1400888.01892742,1.66486864557269e-19
"6","NPQ.1.0","NPQ","6","1","1",0.699280924575382,5.51409767975274e-87
"7","qP.1.0","qP","7","1","1",0.973939771739093,7.57660612435635e-58
"8","ABQ.1.0","ABQ","8","1","1",0,9.42735151164231e-50
"9","qm.1.0","qm","9","1","1",0,3.78830306217818e-58
"10","nTau1.1.0","nTau1","10","1","1",1,8.67453308193889e-28
"11","nTau2.1.0","nTau2","11","1","1",1,1.66486864557269e-19
"12","nCon.1.0","nCon","12","1","1",1,5.23326487246174e-15
"13","Fm.1.0","Fm","13","1","1",2258.88742597676,5.51409767975274e-87
"14","Fo.1.0","Fo","14","1","1",1406.63650984498,7.57660612435635e-58
"15","Quant.3.0","Quant","1","3","1",0.0818149744555238,2.32286940970912e-74
"16","Sigma.3.0","Sigma","2","3","1",3.34182037814551,2.98297494885454e-26
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",643.427323694514,3.58564139319526e-11
"19","Tau2.3.0","Tau2","5","3","1",3770911.84991328,1.27104501250324e-14
"20","NPQ.3.0","NPQ","6","3","1",0.0727542685233822,3.57743502795385e-91
"21","qP.3.0","qP","7","3","1",0.221502334867045,4.64573881941825e-74
"22","ABQ.3.0","ABQ","8","3","1",0.237894790732088,2.98297494885454e-26
"23","qm.3.0","qm","9","3","1",0.783149758415025,2.32286940970912e-74
"24","nTau1.3.0","nTau1","10","3","1",1.20488673038041,3.58564139319526e-11
"25","nTau2.3.0","nTau2","11","3","1",2.69180105687566,1.27104501250324e-14
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3578.15804266998,3.57743502795385e-91
"28","Fo.3.0","Fo","14","3","1",3285.41113381111,4.64573881941825e-74
"29","Quant.4.0","Quant","1","4","1",0.0673736758462238,2.29686853855206e-80
"30","Sigma.4.0","Sigma","2","4","1",3.29935380651339,8.35629428621883e-28
"31","Connect.4.0","Connect","3","4","1",0.0379680776941871,0.639451527834225
"32","Tau1.4.0","Tau1","4","4","1",499.761289651178,1.03591770083625e-09
"33","Tau2.4.0","Tau2","5","4","1",3057098.94847199,1.55745271170174e-18
"34","NPQ.4.0","NPQ","6","4","1",0.0505138487737009,1.56278332830057e-97
"35","qP.4.0","qP","7","4","1",0.172512888293769,4.59373707710411e-80
"36","ABQ.4.0","ABQ","8","4","1",0.247579331430994,8.35629428621883e-28
"37","qm.4.0","qm","9","4","1",0.82142635891595,2.29686853855206e-80
"38","nTau1.4.0","nTau1","10","4","1",0.935856660237817,1.03591770083625e-09
"39","nTau2.4.0","nTau2","11","4","1",2.18225790153636,1.55745271170174e-18
"40","nCon.4.0","nCon","12","4","1",0.146702427372442,0.639451527834225
"41","Fm.4.0","Fm","13","4","1",3653.91119613157,1.56278332830057e-97
"42","Fo.4.0","Fo","14","4","1",3407.73376763251,4.59373707710411e-80
