"","uni","metric","metrix","stage","col","cclong2025.lad13.005","pval"
"1","Quant.1.0","Quant","1","1","1",0.393963031356073,9.60633116342276e-55
"2","Sigma.1.0","Sigma","2","1","1",4.67308595131234,9.36765546674293e-47
"3","Connect.1.0","Connect","3","1","1",0.19631450116029,1.28243673332098e-09
"4","Tau1.1.0","Tau1","4","1","1",681.297445947287,5.83688811767585e-23
"5","Tau2.1.0","Tau2","5","1","1",784627.142317905,1.14406443872771e-21
"6","NPQ.1.0","NPQ","6","1","1",0.654453309270626,4.15741704873037e-84
"7","qP.1.0","qP","7","1","1",0.982874656504935,1.92126623268455e-54
"8","ABQ.1.0","ABQ","8","1","1",0,9.36765546674293e-47
"9","qm.1.0","qm","9","1","1",0,9.60633116342276e-55
"10","nTau1.1.0","nTau1","10","1","1",1,5.83688811767585e-23
"11","nTau2.1.0","nTau2","11","1","1",1,1.14406443872771e-21
"12","nCon.1.0","nCon","12","1","1",1,1.28243673332098e-09
"13","Fm.1.0","Fm","13","1","1",2155.21870792556,4.15741704873037e-84
"14","Fo.1.0","Fo","14","1","1",1306.14221251589,1.92126623268455e-54
"15","Quant.3.0","Quant","1","3","1",0.0681605442930119,9.22622982748279e-68
"16","Sigma.3.0","Sigma","2","3","1",4.40605318218909,1.69468975111971e-11
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",853.457838830931,2.58259671387169e-06
"19","Tau2.3.0","Tau2","5","3","1",8214281.72946389,1.40652816663301e-06
"20","NPQ.3.0","NPQ","6","3","1",0.0479163258021869,2.28198955069631e-81
"21","qP.3.0","qP","7","3","1",0.171805852498719,1.84524596549654e-67
"22","ABQ.3.0","ABQ","8","3","1",0.057142704393926,1.69468975111971e-11
"23","qm.3.0","qm","9","3","1",0.826987461086401,9.22622982748279e-68
"24","nTau1.3.0","nTau1","10","3","1",1.25269490427088,2.58259671387169e-06
"25","nTau2.3.0","nTau2","11","3","1",10.4690257148098,1.40652816663301e-06
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3402.6654950717,2.28198955069631e-81
"28","Fo.3.0","Fo","14","3","1",3170.73796288056,1.84524596549654e-67
"29","Quant.4.0","Quant","1","4","1",0.0577101386860138,1.72876748878336e-70
"30","Sigma.4.0","Sigma","2","4","1",5.0485508608211,2.75613648994131e-07
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",1857.50258812283,6.23617480528643e-05
"33","Tau2.4.0","Tau2","5","4","1",6005416.35636381,1.25799377510775e-08
"34","NPQ.4.0","NPQ","6","4","1",0.00467508937042224,1.36904440283933e-83
"35","qP.4.0","qP","7","4","1",0.0963108029993079,3.45753497756658e-70
