"","uni","metric","metrix","stage","col","cclong2025.lad20.005","pval"
"1","Quant.1.0","Quant","1","1","1",0.359462558448531,1.40420989870552e-57
"2","Sigma.1.0","Sigma","2","1","1",4.96074536031289,4.12111566715336e-47
"3","Connect.1.0","Connect","3","1","1",0.216272674222073,3.33640993290509e-11
"4","Tau1.1.0","Tau1","4","1","1",578.32210022365,1.37915507919001e-26
"5","Tau2.1.0","Tau2","5","1","1",1314347.68048907,3.00591412670918e-20
"6","NPQ.1.0","NPQ","6","1","1",0.608885334504301,1.15346639478646e-86
"7","qP.1.0","qP","7","1","1",0.906636563619076,2.80841979741104e-57
"8","ABQ.1.0","ABQ","8","1","1",0,4.12111566715336e-47
"9","qm.1.0","qm","9","1","1",0,1.40420989870552e-57
"10","nTau1.1.0","nTau1","10","1","1",1,1.37915507919001e-26
"11","nTau2.1.0","nTau2","11","1","1",1,3.00591412670918e-20
"12","nCon.1.0","nCon","12","1","1",1,3.33640993290509e-11
"13","Fm.1.0","Fm","13","1","1",2379.26088394401,1.15346639478646e-86
"14","Fo.1.0","Fo","14","1","1",1524.00567938498,2.80841979741104e-57
"15","Quant.3.0","Quant","1","3","1",0.0879591072080221,5.11933840059153e-66
"16","Sigma.3.0","Sigma","2","3","1",4.29203578279282,6.24964858869922e-16
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",943.832502220927,3.10940760341273e-10
"19","Tau2.3.0","Tau2","5","3","1",4377111.02267276,1.50573052184681e-13
"20","NPQ.3.0","NPQ","6","3","1",0.04430256257907,4.0534367462171e-81
"21","qP.3.0","qP","7","3","1",0.190780757290711,1.02386768011831e-65
"22","ABQ.3.0","ABQ","8","3","1",0.134800222335517,6.24964858869922e-16
"23","qm.3.0","qm","9","3","1",0.755303841413524,5.11933840059153e-66
"24","nTau1.3.0","nTau1","10","3","1",1.63201873463927,3.10940760341273e-10
"25","nTau2.3.0","nTau2","11","3","1",3.33025354527506,1.50573052184681e-13
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3665.56406189745,4.0534367462171e-81
"28","Fo.3.0","Fo","14","3","1",3343.14431959914,1.02386768011831e-65
"29","Quant.4.0","Quant","1","4","1",0.0752527259703404,6.95485667492295e-68
"30","Sigma.4.0","Sigma","2","4","1",4.51769307552978,2.3732931716831e-12
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",1595.27730139072,9.1190778874957e-08
"33","Tau2.4.0","Tau2","5","4","1",3564194.93822325,7.93540845931122e-16
"34","NPQ.4.0","NPQ","6","4","1",-0.00470818802181716,6.09565554446946e-83
"35","qP.4.0","qP","7","4","1",0.106767696450267,1.39097133498459e-67
"36","ABQ.4.0","ABQ","8","4","1",0.0893116361762145,2.3732931716831e-12
"37","qm.4.0","qm","9","4","1",0.790652116050314,6.95485667492295e-68
"38","nTau1.4.0","nTau1","10","4","1",2.75845813392535,9.1190778874957e-08
"39","nTau2.4.0","nTau2","11","4","1",2.71175959841693,7.93540845931122e-16
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3846.06594474944,6.09565554446946e-83
"42","Fo.4.0","Fo","14","4","1",3556.63899814535,1.39097133498459e-67
"43","Quant.5.0","Quant","1","5","1",0.0965724127039709,1.60596425317918e-66
"44","Sigma.5.0","Sigma","2","5","1",4.22228531666214,4.61094355777005e-17
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",1263.07230200767,6.37143811229222e-10
"47","Tau2.5.0","Tau2","5","5","1",2570605.25271674,2.21790597493922e-18
"48","NPQ.5.0","NPQ","6","5","1",0.0445379417400726,2.36332793919626e-82
"49","qP.5.0","qP","7","5","1",0.203498669260225,3.21192850635836e-66
"50","ABQ.5.0","ABQ","8","5","1",0.148860703385141,4.61094355777005e-17
"51","qm.5.0","qm","9","5","1",0.731342220673038,1.60596425317918e-66
