"","uni","metric","metrix","stage","col","barefoot2025.bad29.003","pval"
"1","Quant.1.0","Quant","1","1","1",0.38015353259991,6.90259053849188e-57
"2","Sigma.1.0","Sigma","2","1","1",4.450306055019,4.67141138862971e-49
"3","Connect.1.0","Connect","3","1","1",0.272541344061063,3.86265759138037e-15
"4","Tau1.1.0","Tau1","4","1","1",580.854753689126,1.27901576920387e-27
"5","Tau2.1.0","Tau2","5","1","1",1206991.60753471,1.86438692383277e-20
"6","NPQ.1.0","NPQ","6","1","1",0.735734961934887,6.74736819119892e-86
"7","qP.1.0","qP","7","1","1",0.96808663258964,1.38051810769838e-56
"8","ABQ.1.0","ABQ","8","1","1",0,4.67141138862971e-49
"9","qm.1.0","qm","9","1","1",0,6.90259053849188e-57
"10","nTau1.1.0","nTau1","10","1","1",1,1.27901576920387e-27
"11","nTau2.1.0","nTau2","11","1","1",1,1.86438692383277e-20
"12","nCon.1.0","nCon","12","1","1",1,3.86265759138037e-15
"13","Fm.1.0","Fm","13","1","1",2176.58264140964,6.74736819119892e-86
"14","Fo.1.0","Fo","14","1","1",1349.14706128212,1.38051810769838e-56
"15","Quant.3.0","Quant","1","3","1",0.0933715673553771,8.19642113859276e-76
"16","Sigma.3.0","Sigma","2","3","1",3.12743908655583,6.40682925632848e-32
"17","Connect.3.0","Connect","3","3","1",0.151692540255447,0.0119292492764502
"18","Tau1.3.0","Tau1","4","3","1",604.600641492921,3.362431080464e-13
"19","Tau2.3.0","Tau2","5","3","1",2840695.10743233,4.93414755552603e-19
"20","NPQ.3.0","NPQ","6","3","1",0.0930687749855037,5.50661541084304e-92
"21","qP.3.0","qP","7","3","1",0.256843889718149,1.63928422771855e-75
"22","ABQ.3.0","ABQ","8","3","1",0.297253032063099,6.40682925632848e-32
"23","qm.3.0","qm","9","3","1",0.754384585836151,8.19642113859276e-76
"24","nTau1.3.0","nTau1","10","3","1",1.04088093908672,3.362431080464e-13
"25","nTau2.3.0","nTau2","11","3","1",2.35353343776307,4.93414755552603e-19
"26","nCon.3.0","nCon","12","3","1",0.55658542661865,0.0119292492764502
"27","Fm.3.0","Fm","13","3","1",3456.29723828256,5.50661541084304e-92
"28","Fo.3.0","Fo","14","3","1",3133.57734789805,1.63928422771855e-75
"29","Quant.4.0","Quant","1","4","1",0.087338765036331,1.45706254934361e-76
"30","Sigma.4.0","Sigma","2","4","1",3.31054549781897,2.82511760825161e-29
"31","Connect.4.0","Connect","3","4","1",0.0309397387729827,0.676292239545733
"32","Tau1.4.0","Tau1","4","4","1",532.316042493073,3.21560530893205e-12
"33","Tau2.4.0","Tau2","5","4","1",2340884.84550034,1.72625578131332e-22
"34","NPQ.4.0","NPQ","6","4","1",0.0927613927865413,1.71849164124443e-94
"35","qP.4.0","qP","7","4","1",0.248179317162942,2.91412509868722e-76
"36","ABQ.4.0","ABQ","8","4","1",0.256108353697297,2.82511760825161e-29
"37","qm.4.0","qm","9","4","1",0.770253969655334,1.45706254934361e-76
"38","nTau1.4.0","nTau1","10","4","1",0.916435716695483,3.21560530893205e-12
"39","nTau2.4.0","nTau2","11","4","1",1.93943754943054,1.72625578131332e-22
"40","nCon.4.0","nCon","12","4","1",0.113523101896976,0.676292239545733
"41","Fm.4.0","Fm","13","4","1",3457.26945806666,1.71849164124443e-94
"42","Fo.4.0","Fo","14","4","1",3155.31581320129,2.91412509868722e-76
"43","Quant.5.0","Quant","1","5","1",0.105710442297096,9.16989219492359e-74
"44","Sigma.5.0","Sigma","2","5","1",3.26356419437921,8.58091602454864e-31
"45","Connect.5.0","Connect","3","5","1",0.0503781074352778,0.453905716228559
"46","Tau1.5.0","Tau1","4","5","1",677.219988017953,1.40618598571081e-11
"47","Tau2.5.0","Tau2","5","5","1",2078345.11237774,7.13371071746823e-18
"48","NPQ.5.0","NPQ","6","5","1",0.191933555685948,4.00884662523527e-92
"49","qP.5.0","qP","7","5","1",0.376029500646365,1.83397843898472e-73
"50","ABQ.5.0","ABQ","8","5","1",0.266665223912273,8.58091602454864e-31
"51","qm.5.0","qm","9","5","1",0.7219269762558,9.16989219492359e-74
"52","nTau1.5.0","nTau1","10","5","1",1.16590246308013,1.40618598571081e-11
"53","nTau2.5.0","nTau2","11","5","1",1.72192175935902,7.13371071746823e-18
"54","nCon.5.0","nCon","12","5","1",0.184845743712156,0.453905716228559
"55","Fm.5.0","Fm","13","5","1",3169.61509323488,4.00884662523527e-92
"56","Fo.5.0","Fo","14","5","1",2834.55367981747,1.83397843898472e-73
"57","Quant.6.0","Quant","1","6","1",0.117942296977999,2.69554820006349e-74
"58","Sigma.6.0","Sigma","2","6","1",3.23735263118314,1.06629809391103e-33
"59","Connect.6.0","Connect","3","6","1",0.0935662547670901,0.0957300110477084
"60","Tau1.6.0","Tau1","4","6","1",699.188032909426,5.83521992309545e-12
"61","Tau2.6.0","Tau2","5","6","1",1863639.97987863,3.67438501182622e-18
"62","NPQ.6.0","NPQ","6","6","1",0.283622482611989,1.23997070324052e-92
"63","qP.6.0","qP","7","6","1",0.471080507792553,5.39109640012699e-74
"64","ABQ.6.0","ABQ","8","6","1",0.272555057751118,1.06629809391103e-33
"65","qm.6.0","qm","9","6","1",0.689750885197937,2.69554820006349e-74
"66","nTau1.6.0","nTau1","10","6","1",1.20372266641315,5.83521992309545e-12
"67","nTau2.6.0","nTau2","11","6","1",1.54403723128211,3.67438501182622e-18
"68","nCon.6.0","nCon","12","6","1",0.343310315319083,0.0957300110477084
"69","Fm.6.0","Fm","13","6","1",2943.21004766733,1.23997070324052e-92
"70","Fo.6.0","Fo","14","6","1",2596.08109415672,5.39109640012699e-74
"71","Quant.7.0","Quant","1","7","1",0.122023883990286,4.80852411706798e-73
"72","Sigma.7.0","Sigma","2","7","1",3.17079677267675,3.24145608279048e-34
"73","Connect.7.0","Connect","3","7","1",0.0730205467136148,0.17725966058497
