"","uni","metric","metrix","stage","col","barefoot2025.bad10.004","pval"
"1","Quant.1.0","Quant","1","1","1",0.31759463127644,2.82337074095516e-58
"2","Sigma.1.0","Sigma","2","1","1",4.87715562055915,1.26320555652798e-44
"3","Connect.1.0","Connect","3","1","1",0.200856948710159,9.48874878871448e-09
"4","Tau1.1.0","Tau1","4","1","1",502.06267713974,1.93567692743688e-25
"5","Tau2.1.0","Tau2","5","1","1",1338045.42668915,3.13340076563929e-20
"6","NPQ.1.0","NPQ","6","1","1",0.529071097954302,6.48211113411497e-87
"7","qP.1.0","qP","7","1","1",0.823168267844398,5.64674148191032e-58
"8","ABQ.1.0","ABQ","8","1","1",0,1.26320555652798e-44
"9","qm.1.0","qm","9","1","1",0,2.82337074095516e-58
"10","nTau1.1.0","nTau1","10","1","1",1,1.93567692743688e-25
"11","nTau2.1.0","nTau2","11","1","1",1,3.13340076563929e-20
"12","nCon.1.0","nCon","12","1","1",1,9.48874878871448e-09
"13","Fm.1.0","Fm","13","1","1",1805.60225181208,6.48211113411497e-87
"14","Fo.1.0","Fo","14","1","1",1232.15267041591,5.64674148191032e-58
"15","Quant.3.0","Quant","1","3","1",0.105989521753903,1.89779802178972e-66
"16","Sigma.3.0","Sigma","2","3","1",3.81639906974684,1.65010244877321e-22
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",621.889654754387,2.12047560475525e-13
"19","Tau2.3.0","Tau2","5","3","1",2614066.08461257,3.07138734010933e-19
"20","NPQ.3.0","NPQ","6","3","1",0.0726267267907916,1.17245246173606e-83
"21","qP.3.0","qP","7","3","1",0.247557830774164,3.79559604357944e-66
"22","ABQ.3.0","ABQ","8","3","1",0.217494915753928,1.65010244877321e-22
"23","qm.3.0","qm","9","3","1",0.666274202029417,1.89779802178972e-66
"24","nTau1.3.0","nTau1","10","3","1",1.23866935956543,2.12047560475525e-13
"25","nTau2.3.0","nTau2","11","3","1",1.95364524437769,3.07138734010933e-19
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",2573.95620367154,1.17245246173606e-83
"28","Fo.3.0","Fo","14","3","1",2301.1438166289,3.79559604357944e-66
"29","Quant.4.0","Quant","1","4","1",0.103851508531623,5.3430388119539e-70
"30","Sigma.4.0","Sigma","2","4","1",3.77855488586249,1.12814566238508e-25
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",762.577337127722,6.55530550298614e-12
"33","Tau2.4.0","Tau2","5","4","1",2450869.6131666,7.13281335972302e-18
"34","NPQ.4.0","NPQ","6","4","1",0.0682271377897403,6.8484738734069e-89
