"","uni","metric","metrix","stage","col","barefoot2025.bad3.002","pval"
"1","Quant.1.0","Quant","1","1","1",0.33921333297743,8.44885378688117e-63
"2","Sigma.1.0","Sigma","2","1","1",5.58394532510215,1.49578301229835e-50
"3","Connect.1.0","Connect","3","1","1",0.245034897670224,2.31821494728794e-15
"4","Tau1.1.0","Tau1","4","1","1",416.564693096241,8.7796365063532e-24
"5","Tau2.1.0","Tau2","5","1","1",1585915.08882428,7.49999274550756e-16
"6","NPQ.1.0","NPQ","6","1","1",0.700232862809329,3.3494280103163e-89
"7","qP.1.0","qP","7","1","1",0.859561668621009,1.68977075737623e-62
"8","ABQ.1.0","ABQ","8","1","1",0,1.49578301229835e-50
"9","qm.1.0","qm","9","1","1",0,8.44885378688117e-63
"10","nTau1.1.0","nTau1","10","1","1",1,8.7796365063532e-24
"11","nTau2.1.0","nTau2","11","1","1",1,7.49999274550756e-16
"12","nCon.1.0","nCon","12","1","1",1,2.31821494728794e-15
"13","Fm.1.0","Fm","13","1","1",1831.56514793891,3.3494280103163e-89
"14","Fo.1.0","Fo","14","1","1",1210.27382954125,1.68977075737623e-62
"15","Quant.3.0","Quant","1","3","1",0.0713591431475043,2.94732303923716e-74
"16","Sigma.3.0","Sigma","2","3","1",4.51623339635402,6.30848722812991e-22
"17","Connect.3.0","Connect","3","3","1",0.0452105140028237,0.686270330417914
"18","Tau1.3.0","Tau1","4","3","1",264.668520609547,5.76927965242012e-09
"19","Tau2.3.0","Tau2","5","3","1",3826037.16412622,1.82893730825392e-13
"20","NPQ.3.0","NPQ","6","3","1",0.0582087534593039,7.91949219093685e-88
"21","qP.3.0","qP","7","3","1",0.172150976749787,5.89464607847424e-74
"22","ABQ.3.0","ABQ","8","3","1",0.191211028508521,6.30848722812991e-22
"23","qm.3.0","qm","9","3","1",0.789633436512791,2.94732303923716e-74
"24","nTau1.3.0","nTau1","10","3","1",0.635359945276013,5.76927965242012e-09
"25","nTau2.3.0","nTau2","11","3","1",2.4125107271428,1.82893730825392e-13
"26","nCon.3.0","nCon","12","3","1",0.184506429217562,0.686270330417914
"27","Fm.3.0","Fm","13","3","1",2942.79105584976,7.91949219093685e-88
"28","Fo.3.0","Fo","14","3","1",2732.79600764218,5.89464607847424e-74
"29","Quant.4.0","Quant","1","4","1",0.083194416077399,3.74934214658838e-74
"30","Sigma.4.0","Sigma","2","4","1",4.58178334884591,7.545871802161e-25
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",335.495559486139,1.07498286352973e-09
