"","uni","metric","metrix","stage","col","cclong2025.lad5.005","pval"
"1","Quant.1.0","Quant","1","1","1",0.367816710480522,1.14644504708611e-54
"2","Sigma.1.0","Sigma","2","1","1",5.16030024788078,3.65753380443876e-45
"3","Connect.1.0","Connect","3","1","1",0.236195884011035,3.1055553924389e-11
"4","Tau1.1.0","Tau1","4","1","1",548.458415655364,4.09468387478066e-29
"5","Tau2.1.0","Tau2","5","1","1",1421051.8113492,7.19195562869838e-21
"6","NPQ.1.0","NPQ","6","1","1",0.693662374619434,9.34832498700587e-85
"7","qP.1.0","qP","7","1","1",0.88927544142549,2.29289009417222e-54
"8","ABQ.1.0","ABQ","8","1","1",0,3.65753380443876e-45
"9","qm.1.0","qm","9","1","1",0,1.14644504708611e-54
"10","nTau1.1.0","nTau1","10","1","1",1,4.09468387478066e-29
"11","nTau2.1.0","nTau2","11","1","1",1,7.19195562869838e-21
"12","nCon.1.0","nCon","12","1","1",1,3.1055553924389e-11
"13","Fm.1.0","Fm","13","1","1",2246.56895540924,9.34832498700587e-85
"14","Fo.1.0","Fo","14","1","1",1420.24335236295,2.29289009417222e-54
"15","Quant.3.0","Quant","1","3","1",0.0847185989893862,4.32691580438218e-65
"16","Sigma.3.0","Sigma","2","3","1",4.42209723348075,8.6225137691804e-14
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",870.8081169664,5.0009531590267e-12
"19","Tau2.3.0","Tau2","5","3","1",4724277.039262,8.31198549177748e-15
"20","NPQ.3.0","NPQ","6","3","1",0.0409651666784152,5.80200616797113e-80
"21","qP.3.0","qP","7","3","1",0.17131472133558,8.65383160876435e-65
"22","ABQ.3.0","ABQ","8","3","1",0.143054275708703,8.6225137691804e-14
"23","qm.3.0","qm","9","3","1",0.76967169632204,4.32691580438218e-65
"24","nTau1.3.0","nTau1","10","3","1",1.58773772470216,5.0009531590267e-12
"25","nTau2.3.0","nTau2","11","3","1",3.32449316874421,8.31198549177748e-15
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3655.19369289343,5.80200616797113e-80
"28","Fo.3.0","Fo","14","3","1",3345.53080419666,8.65383160876435e-65
"29","Quant.4.0","Quant","1","4","1",0.0744880269023648,1.95039793005587e-67
"30","Sigma.4.0","Sigma","2","4","1",4.52968873554531,1.01276438880425e-10
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",1221.828626698,1.53588871752327e-07
"33","Tau2.4.0","Tau2","5","4","1",3608500.27937111,3.35195736610408e-17
"34","NPQ.4.0","NPQ","6","4","1",4.0624324193417e-05,1.85350562876479e-81
"35","qP.4.0","qP","7","4","1",0.105744385101432,3.90079586011173e-67
"36","ABQ.4.0","ABQ","8","4","1",0.122204422619487,1.01276438880425e-10
"37","qm.4.0","qm","9","4","1",0.79748601741054,1.95039793005587e-67
"38","nTau1.4.0","nTau1","10","4","1",2.22775071331163,1.53588871752327e-07
"39","nTau2.4.0","nTau2","11","4","1",2.5393164770995,3.35195736610408e-17
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3804.77474536197,1.85350562876479e-81
"42","Fo.4.0","Fo","14","4","1",3521.36458177201,3.90079586011173e-67
"43","Quant.5.0","Quant","1","5","1",0.0932491935481065,4.5509239458271e-66
