"","uni","metric","metrix","stage","col","barefoot2025.bad14.002","pval"
"1","Quant.1.0","Quant","1","1","1",0.347737069662027,6.68131788636796e-59
"2","Sigma.1.0","Sigma","2","1","1",6.16618457094551,6.31552368038178e-48
"3","Connect.1.0","Connect","3","1","1",0.250758785775731,1.59538464264909e-13
"4","Tau1.1.0","Tau1","4","1","1",519.943474278812,1.63340714451144e-23
"5","Tau2.1.0","Tau2","5","1","1",1293757.18013657,5.15438125358513e-19
"6","NPQ.1.0","NPQ","6","1","1",0.730487097554951,6.65060245712472e-87
"7","qP.1.0","qP","7","1","1",0.871644108320678,1.33626357727359e-58
"8","ABQ.1.0","ABQ","8","1","1",0,6.31552368038178e-48
"9","qm.1.0","qm","9","1","1",0,6.68131788636796e-59
"10","nTau1.1.0","nTau1","10","1","1",1,1.63340714451144e-23
"11","nTau2.1.0","nTau2","11","1","1",1,5.15438125358513e-19
"12","nCon.1.0","nCon","12","1","1",1,1.59538464264909e-13
"13","Fm.1.0","Fm","13","1","1",1992.06469769896,6.65060245712472e-87
"14","Fo.1.0","Fo","14","1","1",1299.34995714395,1.33626357727359e-58
"15","Quant.3.0","Quant","1","3","1",0.061745713847459,1.80219963939153e-73
"16","Sigma.3.0","Sigma","2","3","1",4.89609915709894,6.76606728591976e-17
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",218.766537706245,4.85593546822864e-07
"19","Tau2.3.0","Tau2","5","3","1",3937569.11196462,3.53617498740534e-12
"20","NPQ.3.0","NPQ","6","3","1",0.0306644665956045,4.60799827737829e-87
"21","qP.3.0","qP","7","3","1",0.125429883096235,3.60439927878302e-73
"22","ABQ.3.0","ABQ","8","3","1",0.205975899558876,6.76606728591976e-17
"23","qm.3.0","qm","9","3","1",0.822435629576476,1.80219963939153e-73
"24","nTau1.3.0","nTau1","10","3","1",0.420750617189081,4.85593546822864e-07
"25","nTau2.3.0","nTau2","11","3","1",3.0435147896524,3.53617498740534e-12
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3344.67944572627,4.60799827737829e-87
