"","uni","metric","metrix","stage","col","ASnormalized.ahya2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.392219588669236,3.40184788778241e-57
"2","Sigma.1.0","Sigma","2","1","1",4.43756972395135,1.63094411016511e-49
"3","Connect.1.0","Connect","3","1","1",0.316650925319336,3.59590521555507e-19
"4","Tau1.1.0","Tau1","4","1","1",870.64512524531,3.56380971111195e-29
"5","Tau2.1.0","Tau2","5","1","1",835953.097821497,1.07358854096435e-31
"6","NPQ.1.0","NPQ","6","1","1",0.701831558694075,5.9505820962923e-84
"7","qP.1.0","qP","7","1","1",1.40364919339673,6.80369577556481e-57
"8","ABQ.1.0","ABQ","8","1","1",0,1.63094411016511e-49
"9","qm.1.0","qm","9","1","1",0,3.40184788778241e-57
"10","nTau1.1.0","nTau1","10","1","1",1,3.56380971111195e-29
"11","nTau2.1.0","nTau2","11","1","1",1,1.07358854096435e-31
"12","nCon.1.0","nCon","12","1","1",1,3.59590521555507e-19
"13","Fm.1.0","Fm","13","1","1",2140.88294358496,5.9505820962923e-84
"14","Fo.1.0","Fo","14","1","1",1301.18671606308,6.80369577556481e-57
"15","Quant.3.0","Quant","1","3","1",0.029499802791477,1.30678968353092e-82
"16","Sigma.3.0","Sigma","2","3","1",2.87259648074529,9.57863233676788e-24
"17","Connect.3.0","Connect","3","3","1",0.575725923595733,7.66365464855091e-13
"18","Tau1.3.0","Tau1","4","3","1",8256.35572624878,1.48743707805717e-05
"19","Tau2.3.0","Tau2","5","3","1",9935349.63373331,2.3002931202272e-05
"20","NPQ.3.0","NPQ","6","3","1",0.0141971685434564,8.68492638971968e-95
"21","qP.3.0","qP","7","3","1",0.0940733198346534,2.61357936706098e-82
"22","ABQ.3.0","ABQ","8","3","1",0.352664485418509,9.57863233676788e-24
"23","qm.3.0","qm","9","3","1",0.924787533199025,1.30678968353092e-82
"24","nTau1.3.0","nTau1","10","3","1",9.48303216413519,1.48743707805717e-05
"25","nTau2.3.0","nTau2","11","3","1",11.8850563023511,2.3002931202272e-05
"26","nCon.3.0","nCon","12","3","1",1.81817224445223,7.66365464855091e-13
"27","Fm.3.0","Fm","13","3","1",3592.41996513879,8.68492638971968e-95
"28","Fo.3.0","Fo","14","3","1",3486.44428462303,2.61357936706098e-82
"29","Quant.4.0","Quant","1","4","1",0.0338436516522481,1.79666594599496e-80
"30","Sigma.4.0","Sigma","2","4","1",2.66127787173505,5.56609338810368e-23
"31","Connect.4.0","Connect","3","4","1",0.607613986148813,1.36740619288767e-13
"32","Tau1.4.0","Tau1","4","4","1",7583.19038482809,0.00139356035637595
"33","Tau2.4.0","Tau2","5","4","1",6074215.18164017,5.97734325634096e-05
"34","NPQ.4.0","NPQ","6","4","1",0.0407243130374202,1.79395685900487e-92
"35","qP.4.0","qP","7","4","1",0.156442272608522,3.59333189198812e-80
"36","ABQ.4.0","ABQ","8","4","1",0.400284832174905,5.56609338810368e-23
"37","qm.4.0","qm","9","4","1",0.913712490069462,1.79666594599496e-80
"38","nTau1.4.0","nTau1","10","4","1",8.70985222904851,0.00139356035637595
"39","nTau2.4.0","nTau2","11","4","1",7.2662152906301,5.97734325634096e-05
"40","nCon.4.0","nCon","12","4","1",1.91887639531148,1.36740619288767e-13
"41","Fm.4.0","Fm","13","4","1",3500.8523498689,1.79395685900487e-92
"42","Fo.4.0","Fo","14","4","1",3382.37072245398,3.59333189198812e-80
"43","Quant.5.0","Quant","1","5","1",0.0368916273013194,6.77469624222183e-84
"44","Sigma.5.0","Sigma","2","5","1",3.70960131368108,7.04044856357896e-26
"45","Connect.5.0","Connect","3","5","1",0.376266337860014,1.28679531802437e-06
"46","Tau1.5.0","Tau1","4","5","1",5702.95411536647,1.39424992234669e-07
"47","Tau2.5.0","Tau2","5","5","1",6638127.21774087,1.92103984896079e-08
"48","NPQ.5.0","NPQ","6","5","1",0.0640754890463672,3.44109307541367e-100
"49","qP.5.0","qP","7","5","1",0.207178670094583,1.35493924844437e-83
"50","ABQ.5.0","ABQ","8","5","1",0.164046641642863,7.04044856357896e-26
"51","qm.5.0","qm","9","5","1",0.90594139515956,6.77469624222183e-84
