"","uni","metric","metrix","stage","col","ASnormalized.icra11.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.275189734907368,2.51644343913167e-65
"2","Sigma.1.0","Sigma","2","1","1",5.39053096555327,1.83515846071362e-48
"3","Connect.1.0","Connect","3","1","1",0.268194508436527,6.40421295891952e-15
"4","Tau1.1.0","Tau1","4","1","1",610.530653252632,9.40244202421126e-28
"5","Tau2.1.0","Tau2","5","1","1",1750884.71981191,2.26820516597489e-22
"6","NPQ.1.0","NPQ","6","1","1",0.492030993048402,5.23214977649032e-91
"7","qP.1.0","qP","7","1","1",1.13355048451177,5.03288687826335e-65
"8","ABQ.1.0","ABQ","8","1","1",0,1.83515846071362e-48
"9","qm.1.0","qm","9","1","1",0,2.51644343913167e-65
"10","nTau1.1.0","nTau1","10","1","1",1,9.40244202421126e-28
"11","nTau2.1.0","nTau2","11","1","1",1,2.26820516597489e-22
"12","nCon.1.0","nCon","12","1","1",1,6.40421295891952e-15
"13","Fm.1.0","Fm","13","1","1",2068.95087160517,5.23214977649032e-91
"14","Fo.1.0","Fo","14","1","1",1499.59682971177,5.03288687826335e-65
"15","Quant.3.0","Quant","1","3","1",0.054767187077804,2.33287258032776e-81
"16","Sigma.3.0","Sigma","2","3","1",3.28356524807789,6.51164103935501e-32
"17","Connect.3.0","Connect","3","3","1",0.45688067704962,9.88018258107796e-14
"18","Tau1.3.0","Tau1","4","3","1",2253.55629269322,2.36720139995346e-08
"19","Tau2.3.0","Tau2","5","3","1",5047316.51012952,1.96736727588341e-09
"20","NPQ.3.0","NPQ","6","3","1",0.0673911127537912,2.72638247321751e-95
"21","qP.3.0","qP","7","3","1",0.252288689612994,4.66574516065549e-81
"22","ABQ.3.0","ABQ","8","3","1",0.390864226722631,6.51164103935501e-32
"23","qm.3.0","qm","9","3","1",0.800983902629075,2.33287258032776e-81
"24","nTau1.3.0","nTau1","10","3","1",3.69114356615394,2.36720139995346e-08
"25","nTau2.3.0","nTau2","11","3","1",2.88272349002607,1.96736727588341e-09
"26","nCon.3.0","nCon","12","3","1",1.70354225264739,9.88018258107796e-14
"27","Fm.3.0","Fm","13","3","1",2892.04096478313,2.72638247321751e-95
"28","Fo.3.0","Fo","14","3","1",2733.65201622818,4.66574516065549e-81
"29","Quant.4.0","Quant","1","4","1",0.0538281394828371,3.76929409439623e-79
"30","Sigma.4.0","Sigma","2","4","1",3.26441565648984,7.95107030041059e-30
"31","Connect.4.0","Connect","3","4","1",0.439307106000519,4.26470550951574e-12
"32","Tau1.4.0","Tau1","4","4","1",1305.3101555103,5.63855999704181e-11
"33","Tau2.4.0","Tau2","5","4","1",7117797.6813704,6.64421250328368e-07
"34","NPQ.4.0","NPQ","6","4","1",0.111633311792311,1.84952028799185e-95
"35","qP.4.0","qP","7","4","1",0.32812072349061,7.53858818879246e-79
"36","ABQ.4.0","ABQ","8","4","1",0.394416676696561,7.95107030041059e-30
"37","qm.4.0","qm","9","4","1",0.804396266812219,3.76929409439623e-79
"38","nTau1.4.0","nTau1","10","4","1",2.13799282403953,5.63855999704181e-11
"39","nTau2.4.0","nTau2","11","4","1",4.06525775274058,6.64421250328368e-07
"40","nCon.4.0","nCon","12","4","1",1.63801678327239,4.26470550951574e-12
"41","Fm.4.0","Fm","13","4","1",2776.93983329114,1.84952028799185e-95
