"","uni","metric","metrix","stage","col","ASnormalized.aabr2.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.334574722483324,2.25063837472467e-61
"2","Sigma.1.0","Sigma","2","1","1",4.27289390087352,4.339084370219e-49
"3","Connect.1.0","Connect","3","1","1",0.324556034682964,1.89533951554764e-19
"4","Tau1.1.0","Tau1","4","1","1",774.467325755449,3.12766535624134e-30
"5","Tau2.1.0","Tau2","5","1","1",1625552.69639487,1.55526144560761e-20
"6","NPQ.1.0","NPQ","6","1","1",0.568743886523442,3.1581124722528e-86
"7","qP.1.0","qP","7","1","1",1.51481418086924,4.50127674944934e-61
"8","ABQ.1.0","ABQ","8","1","1",0,4.339084370219e-49
"9","qm.1.0","qm","9","1","1",0,2.25063837472467e-61
"10","nTau1.1.0","nTau1","10","1","1",1,3.12766535624134e-30
"11","nTau2.1.0","nTau2","11","1","1",1,1.55526144560761e-20
"12","nCon.1.0","nCon","12","1","1",1,1.89533951554764e-19
"13","Fm.1.0","Fm","13","1","1",1949.72215168958,3.1581124722528e-86
"14","Fo.1.0","Fo","14","1","1",1297.39440386845,4.50127674944934e-61
"15","Quant.3.0","Quant","1","3","1",0.0567576539004861,1.22392926892973e-83
"16","Sigma.3.0","Sigma","2","3","1",2.80428405256886,5.51451354578252e-34
"17","Connect.3.0","Connect","3","3","1",0.43214186957851,1.53755201086073e-13
"18","Tau1.3.0","Tau1","4","3","1",2635.61825408207,2.28720995712959e-09
"19","Tau2.3.0","Tau2","5","3","1",9126198.0057566,2.21632058002564e-05
"20","NPQ.3.0","NPQ","6","3","1",0.0245596838740511,1.8664007678576e-94
"21","qP.3.0","qP","7","3","1",0.208793195378113,2.44785853784079e-83
"22","ABQ.3.0","ABQ","8","3","1",0.343703794752411,5.51451354578252e-34
"23","qm.3.0","qm","9","3","1",0.830358810494672,1.22392926892973e-83
"24","nTau1.3.0","nTau1","10","3","1",3.40313679665075,2.28720995712959e-09
"25","nTau2.3.0","nTau2","11","3","1",5.61421233897651,2.21632058002564e-05
"26","nCon.3.0","nCon","12","3","1",1.3314861638627,1.53755201086073e-13
"27","Fm.3.0","Fm","13","3","1",2985.29676115808,1.8664007678576e-94
"28","Fo.3.0","Fo","14","3","1",2815.85832079803,2.44785853784079e-83
"29","Quant.4.0","Quant","1","4","1",0.0399071952837381,3.44632395897396e-89
"30","Sigma.4.0","Sigma","2","4","1",2.61190464195437,2.38632598556416e-33
"31","Connect.4.0","Connect","3","4","1",0.496252402376897,1.65479266806393e-16
"32","Tau1.4.0","Tau1","4","4","1",3564.3967883271,8.2187801823026e-08
"33","Tau2.4.0","Tau2","5","4","1",5027670.89577242,3.11011543901335e-09
"34","NPQ.4.0","NPQ","6","4","1",-0.00517129821670307,2.15223883229195e-100
"35","qP.4.0","qP","7","4","1",0.091854547894118,6.89264791792639e-89
"36","ABQ.4.0","ABQ","8","4","1",0.388727007375397,2.38632598556416e-33
"37","qm.4.0","qm","9","4","1",0.880722623073453,3.44632395897396e-89
"38","nTau1.4.0","nTau1","10","4","1",4.60238498099353,8.2187801823026e-08
"39","nTau2.4.0","nTau2","11","4","1",3.09289936088983,3.11011543901335e-09
"40","nCon.4.0","nCon","12","4","1",1.52901918111506,1.65479266806393e-16
"41","Fm.4.0","Fm","13","4","1",3074.51393430807,2.15223883229195e-100
"42","Fo.4.0","Fo","14","4","1",2951.81870632906,6.89264791792639e-89
"43","Quant.5.0","Quant","1","5","1",0.0350910733684545,2.73429916988804e-83
"44","Sigma.5.0","Sigma","2","5","1",2.88187663303284,4.60510801114317e-27
"45","Connect.5.0","Connect","3","5","1",0.39874566809424,5.18015777325392e-09
"46","Tau1.5.0","Tau1","4","5","1",2446.84571028493,8.01233626946538e-09
