"","uni","metric","metrix","stage","col","ASnormalized.icra6.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.296174618672838,4.75013245583196e-60
"2","Sigma.1.0","Sigma","2","1","1",5.17147804216285,4.50005926542409e-45
"3","Connect.1.0","Connect","3","1","1",0.275446006978168,4.24808281388951e-13
"4","Tau1.1.0","Tau1","4","1","1",830.301385981306,1.31707451852971e-29
"5","Tau2.1.0","Tau2","5","1","1",1888216.34644082,2.50223256840427e-19
"6","NPQ.1.0","NPQ","6","1","1",0.453820077265181,2.6849652796745e-86
"7","qP.1.0","qP","7","1","1",1.27409287879692,9.50026491166393e-60
"8","ABQ.1.0","ABQ","8","1","1",0,4.50005926542409e-45
"9","qm.1.0","qm","9","1","1",0,4.75013245583196e-60
"10","nTau1.1.0","nTau1","10","1","1",1,1.31707451852971e-29
"11","nTau2.1.0","nTau2","11","1","1",1,2.50223256840427e-19
"12","nCon.1.0","nCon","12","1","1",1,4.24808281388951e-13
"13","Fm.1.0","Fm","13","1","1",1919.78970931512,2.6849652796745e-86
"14","Fo.1.0","Fo","14","1","1",1351.19672422668,9.50026491166393e-60
"15","Quant.3.0","Quant","1","3","1",0.0462121656807473,2.35850441531443e-81
"16","Sigma.3.0","Sigma","2","3","1",2.87294143615622,8.71602341785453e-30
"17","Connect.3.0","Connect","3","3","1",0.468655220559246,6.16679032786698e-13
"18","Tau1.3.0","Tau1","4","3","1",3788.15512282915,1.83884204622927e-06
"19","Tau2.3.0","Tau2","5","3","1",6036230.54377934,1.10505573204919e-06
"20","NPQ.3.0","NPQ","6","3","1",0.0133183617560161,1.1926676297468e-93
"21","qP.3.0","qP","7","3","1",0.145093306069083,4.71700883062767e-81
"22","ABQ.3.0","ABQ","8","3","1",0.444464152659405,8.71602341785453e-30
"23","qm.3.0","qm","9","3","1",0.843969865183503,2.35850441531443e-81
"24","nTau1.3.0","nTau1","10","3","1",4.56238564307833,1.83884204622927e-06
"25","nTau2.3.0","nTau2","11","3","1",3.19678968734557,1.10505573204919e-06
"26","nCon.3.0","nCon","12","3","1",1.70144133037438,6.16679032786698e-13
"27","Fm.3.0","Fm","13","3","1",2754.34545436711,1.1926676297468e-93
"28","Fo.3.0","Fo","14","3","1",2627.06118588789,4.71700883062767e-81
"29","Quant.4.0","Quant","1","4","1",0.051397791205679,1.12802441739469e-81
"30","Sigma.4.0","Sigma","2","4","1",2.72143018707941,3.08030619406451e-31
"31","Connect.4.0","Connect","3","4","1",0.452180441321689,2.28940543594216e-13
"32","Tau1.4.0","Tau1","4","4","1",1763.51464766888,2.13088753801722e-08
"33","Tau2.4.0","Tau2","5","4","1",4423634.01462173,3.95768212137305e-09
"34","NPQ.4.0","NPQ","6","4","1",0.059474951713867,1.56483553304769e-94
"35","qP.4.0","qP","7","4","1",0.258456617820601,2.25604883478923e-81
"36","ABQ.4.0","ABQ","8","4","1",0.473761627741296,3.08030619406451e-31
"37","qm.4.0","qm","9","4","1",0.826461188889199,1.12802441739469e-81
"38","nTau1.4.0","nTau1","10","4","1",2.12394520525176,2.13088753801722e-08
"39","nTau2.4.0","nTau2","11","4","1",2.34275803350608,3.95768212137305e-09
"40","nCon.4.0","nCon","12","4","1",1.64163004678274,2.28940543594216e-13
"41","Fm.4.0","Fm","13","4","1",2634.35092921686,1.56483553304769e-94
"42","Fo.4.0","Fo","14","4","1",2498.95111019448,2.25604883478923e-81
"43","Quant.5.0","Quant","1","5","1",0.0575512675323388,1.56382802775026e-77
"44","Sigma.5.0","Sigma","2","5","1",3.88847070805715,2.49642294738732e-28
"45","Connect.5.0","Connect","3","5","1",0.245134491302012,0.000306145258566171
"46","Tau1.5.0","Tau1","4","5","1",1964.74468056743,3.85682070167259e-15
"47","Tau2.5.0","Tau2","5","5","1",9488088.94924392,1.94386053447911e-07
"48","NPQ.5.0","NPQ","6","5","1",0.121421961698607,1.97734576948014e-96
"49","qP.5.0","qP","7","5","1",0.3941600239938,3.12765605550052e-77
"50","ABQ.5.0","ABQ","8","5","1",0.248092967551132,2.49642294738732e-28
"51","qm.5.0","qm","9","5","1",0.805684674162064,1.56382802775026e-77
"52","nTau1.5.0","nTau1","10","5","1",2.36630302410655,3.85682070167259e-15
"53","nTau2.5.0","nTau2","11","5","1",5.02489503765204,1.94386053447911e-07
"54","nCon.5.0","nCon","12","5","1",0.889954782758719,0.000306145258566171
"55","Fm.5.0","Fm","13","5","1",2488.83018065909,1.97734576948014e-96
"56","Fo.5.0","Fo","14","5","1",2345.59484908942,3.12765605550052e-77
"57","Quant.6.0","Quant","1","6","1",0.0623247879366273,1.10631727990398e-80
"58","Sigma.6.0","Sigma","2","6","1",3.85687403173211,2.02814120250693e-32
"59","Connect.6.0","Connect","3","6","1",0.22205544581217,6.22164839494907e-05
"60","Tau1.6.0","Tau1","4","6","1",1333.13066237937,1.58606325637802e-15
"61","Tau2.6.0","Tau2","5","6","1",9647295.95725323,1.17535621291818e-06
"62","NPQ.6.0","NPQ","6","6","1",0.177281553217728,2.03849634107332e-99
"63","qP.6.0","qP","7","6","1",0.502656759120491,2.21263455980796e-80
"64","ABQ.6.0","ABQ","8","6","1",0.254202763641811,2.02814120250693e-32
"65","qm.6.0","qm","9","6","1",0.789567424055763,1.10631727990398e-80
"66","nTau1.6.0","nTau1","10","6","1",1.60559850301079,1.58606325637802e-15
"67","nTau2.6.0","nTau2","11","6","1",5.10921112161636,1.17535621291818e-06
"68","nCon.6.0","nCon","12","6","1",0.806166871860915,6.22164839494907e-05
"69","Fm.6.0","Fm","13","6","1",2370.74030073861,2.03849634107332e-99
"70","Fo.6.0","Fo","14","6","1",2222.98441424226,2.21263455980796e-80
"71","Quant.7.0","Quant","1","7","1",0.0587247966552987,3.11889833201391e-79
"72","Sigma.7.0","Sigma","2","7","1",4.00926976560702,8.0786854359868e-31
"73","Connect.7.0","Connect","3","7","1",0.258346533686253,1.21986085980707e-05
"74","Tau1.7.0","Tau1","4","7","1",1413.26194727357,1.96936722693388e-14
"75","Tau2.7.0","Tau2","5","7","1",11923156.6723257,0.003392679375512
"76","NPQ.7.0","NPQ","6","7","1",0.208661087521186,7.35849800026561e-99
"77","qP.7.0","qP","7","7","1",0.546370816825059,6.23779666402783e-79
"78","ABQ.7.0","ABQ","8","7","1",0.224734257224026,8.0786854359868e-31
"79","qm.7.0","qm","9","7","1",0.801722386211063,3.11889833201391e-79
