"","uni","metric","metrix","stage","col","ASnormalized.icra9.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.320764014192338,2.11552006056066e-60
"2","Sigma.1.0","Sigma","2","1","1",4.88828115850593,2.95007879483914e-47
"3","Connect.1.0","Connect","3","1","1",0.285990541141089,2.22344154551357e-15
"4","Tau1.1.0","Tau1","4","1","1",802.686783650773,4.78777497166072e-29
"5","Tau2.1.0","Tau2","5","1","1",1797981.00732147,2.71269139120207e-18
"6","NPQ.1.0","NPQ","6","1","1",0.515804180301172,2.09599630824289e-86
"7","qP.1.0","qP","7","1","1",1.13827171720276,4.23104012112132e-60
"8","ABQ.1.0","ABQ","8","1","1",0,2.95007879483914e-47
"9","qm.1.0","qm","9","1","1",0,2.11552006056066e-60
"10","nTau1.1.0","nTau1","10","1","1",1,4.78777497166072e-29
"11","nTau2.1.0","nTau2","11","1","1",1,2.71269139120207e-18
"12","nCon.1.0","nCon","12","1","1",1,2.22344154551357e-15
"13","Fm.1.0","Fm","13","1","1",1725.54209544992,2.09599630824289e-86
"14","Fo.1.0","Fo","14","1","1",1172.05028625554,4.23104012112132e-60
"15","Quant.3.0","Quant","1","3","1",0.047763795041206,1.6461081625758e-83
"16","Sigma.3.0","Sigma","2","3","1",2.8933464427463,1.76710955745317e-31
"17","Connect.3.0","Connect","3","3","1",0.461012355323913,2.92930738061539e-13
"18","Tau1.3.0","Tau1","4","3","1",3085.36739076847,4.87008561526598e-08
"19","Tau2.3.0","Tau2","5","3","1",6313694.67740607,1.23031888178104e-11
"20","NPQ.3.0","NPQ","6","3","1",0.0182859815235127,7.96774018884014e-95
"21","qP.3.0","qP","7","3","1",0.133779412426587,3.29221632514364e-83
"22","ABQ.3.0","ABQ","8","3","1",0.408105559208334,1.76710955745317e-31
"23","qm.3.0","qm","9","3","1",0.851093660984783,1.6461081625758e-83
"24","nTau1.3.0","nTau1","10","3","1",3.84379991500001,4.87008561526598e-08
"25","nTau2.3.0","nTau2","11","3","1",3.51154692496549,1.23031888178104e-11
"26","nCon.3.0","nCon","12","3","1",1.6119846253813,2.92930738061539e-13
"27","Fm.3.0","Fm","13","3","1",2568.61428815441,7.96774018884014e-95
"28","Fo.3.0","Fo","14","3","1",2445.92752175508,3.29221632514364e-83
"29","Quant.4.0","Quant","1","4","1",0.0552274534113144,7.64102505505999e-79
"30","Sigma.4.0","Sigma","2","4","1",2.97219190233138,4.72696165265157e-30
"31","Connect.4.0","Connect","3","4","1",0.446978843678976,1.41018630311089e-12
"32","Tau1.4.0","Tau1","4","4","1",1503.18755483565,2.10189047969929e-11
"33","Tau2.4.0","Tau2","5","4","1",3937609.61819877,1.00658088709698e-13
"34","NPQ.4.0","NPQ","6","4","1",0.0958017081808559,1.03737704317722e-93
"35","qP.4.0","qP","7","4","1",0.284260512528015,1.528205011012e-78
"36","ABQ.4.0","ABQ","8","4","1",0.391976073806727,4.72696165265157e-30
"37","qm.4.0","qm","9","4","1",0.827825282862938,7.64102505505999e-79
"38","nTau1.4.0","nTau1","10","4","1",1.8726950355391,2.10189047969929e-11
"39","nTau2.4.0","nTau2","11","4","1",2.1900173595631,1.00658088709698e-13
"40","nCon.4.0","nCon","12","4","1",1.56291477996283,1.41018630311089e-12
"41","Fm.4.0","Fm","13","4","1",2386.91352827946,1.03737704317722e-93
"42","Fo.4.0","Fo","14","4","1",2255.09037259957,1.528205011012e-78
"43","Quant.5.0","Quant","1","5","1",0.071647515381996,7.77276322737925e-81
"44","Sigma.5.0","Sigma","2","5","1",3.35951359572852,1.28947734527177e-33
"45","Connect.5.0","Connect","3","5","1",0.29855744206524,1.11348806824075e-07
"46","Tau1.5.0","Tau1","4","5","1",1691.9078516375,2.0384559580238e-16
"47","Tau2.5.0","Tau2","5","5","1",7454718.87412458,2.8321066389846e-08
"48","NPQ.5.0","NPQ","6","5","1",0.19653981183401,6.35663286984499e-96
"49","qP.5.0","qP","7","5","1",0.462273284041671,1.55455264547585e-80
"50","ABQ.5.0","ABQ","8","5","1",0.312741332424639,1.28947734527177e-33
"51","qm.5.0","qm","9","5","1",0.776634808731897,7.77276322737925e-81
"52","nTau1.5.0","nTau1","10","5","1",2.10780579187112,2.0384559580238e-16
"53","nTau2.5.0","nTau2","11","5","1",4.14616107943776,2.8321066389846e-08
"54","nCon.5.0","nCon","12","5","1",1.0439416663013,1.11348806824075e-07
"55","Fm.5.0","Fm","13","5","1",2185.95645184556,6.35663286984499e-96
"56","Fo.5.0","Fo","14","5","1",2029.33810333758,1.55455264547585e-80
"57","Quant.6.0","Quant","1","6","1",0.077267529494418,1.70634574474812e-82
"58","Sigma.6.0","Sigma","2","6","1",3.56983760286717,3.43344172688485e-38
"59","Connect.6.0","Connect","3","6","1",0.310525823589661,1.11238571060738e-11
"60","Tau1.6.0","Tau1","4","6","1",1102.86899171786,4.33503654333517e-15
"61","Tau2.6.0","Tau2","5","6","1",5368602.94951898,3.41577811062852e-09
"62","NPQ.6.0","NPQ","6","6","1",0.286638586878996,6.3547706880523e-100
"63","qP.6.0","qP","7","6","1",0.583338283620512,3.41269148949623e-82
"64","ABQ.6.0","ABQ","8","6","1",0.26971516426476,3.43344172688485e-38
"65","qm.6.0","qm","9","6","1",0.759114096109027,1.70634574474812e-82
"66","nTau1.6.0","nTau1","10","6","1",1.37397178349169,4.33503654333517e-15
"67","nTau2.6.0","nTau2","11","6","1",2.98590637368123,3.41577811062852e-09
"68","nCon.6.0","nCon","12","6","1",1.08579053821388,1.11238571060738e-11
"69","Fm.6.0","Fm","13","6","1",2032.88160967818,6.3547706880523e-100
"70","Fo.6.0","Fo","14","6","1",1875.80586994371,3.41269148949623e-82
"71","Quant.7.0","Quant","1","7","1",0.0784406261000824,1.60444654393453e-78
"72","Sigma.7.0","Sigma","2","7","1",3.44421641530838,1.32567436636717e-34
"73","Connect.7.0","Connect","3","7","1",0.339002759830651,1.54665012953952e-10
"74","Tau1.7.0","Tau1","4","7","1",1157.61124179251,1.29327248002143e-15
"75","Tau2.7.0","Tau2","5","7","1",5471394.4512771,1.99666677371355e-07
"76","NPQ.7.0","NPQ","6","7","1",0.320860719086616,2.60871940239888e-95
"77","qP.7.0","qP","7","7","1",0.623492802853384,3.20889308786907e-78
"78","ABQ.7.0","ABQ","8","7","1",0.2954136017084,1.32567436636717e-34
"79","qm.7.0","qm","9","7","1",0.755456900932012,1.60444654393453e-78
"80","nTau1.7.0","nTau1","10","7","1",1.442170551915,1.29327248002143e-15
"81","nTau2.7.0","nTau2","11","7","1",3.04307688957631,1.99666677371355e-07
"82","nCon.7.0","nCon","12","7","1",1.1853635385214,1.54665012953952e-10
"83","Fm.7.0","Fm","13","7","1",1980.21175417899,2.60871940239888e-95
"84","Fo.7.0","Fo","14","7","1",1824.88270437045,3.20889308786907e-78
"85","Quant.8.0","Quant","1","8","1",0.0788301408294062,1.63432900542782e-81
"86","Sigma.8.0","Sigma","2","8","1",3.43295506044812,1.52483147277341e-37
"87","Connect.8.0","Connect","3","8","1",0.345322564752482,7.37294399011596e-13
"88","Tau1.8.0","Tau1","4","8","1",1334.83260676529,4.66204926375211e-16
"89","Tau2.8.0","Tau2","5","8","1",5557790.10078045,3.18735553799155e-07
"90","NPQ.8.0","NPQ","6","8","1",0.326890324086549,3.93240551344619e-98
"91","qP.8.0","qP","7","8","1",0.630637197598551,3.26865801085564e-81
"92","ABQ.8.0","ABQ","8","8","1",0.297717347032186,1.52483147277341e-37
"93","qm.8.0","qm","9","8","1",0.754242566679759,1.63432900542782e-81
"94","nTau1.8.0","nTau1","10","8","1",1.66295575553669,4.66204926375211e-16
"95","nTau2.8.0","nTau2","11","8","1",3.09112837018235,3.18735553799155e-07
"96","nCon.8.0","nCon","12","8","1",1.20746148937185,7.37294399011596e-13
"97","Fm.8.0","Fm","13","8","1",1971.21335056025,3.93240551344619e-98
"98","Fo.8.0","Fo","14","8","1",1815.82232453078,3.26865801085564e-81
"99","Quant.9.0","Quant","1","9","1",0.0833590467300119,7.50609236871097e-80
"100","Sigma.9.0","Sigma","2","9","1",3.49636678015413,2.22913991067505e-36
"101","Connect.9.0","Connect","3","9","1",0.272508825641837,1.7678450528964e-08
"102","Tau1.9.0","Tau1","4","9","1",1586.58471467943,2.40373467842711e-13
"103","Tau2.9.0","Tau2","5","9","1",7482530.40612788,0.00106608283444465
"104","NPQ.9.0","NPQ","6","9","1",0.329084186636548,8.88754063527509e-97
"105","qP.9.0","qP","7","9","1",0.640028610749572,1.50121847374219e-79
"106","ABQ.9.0","ABQ","8","9","1",0.284745155447898,2.22913991067505e-36
"107","qm.9.0","qm","9","9","1",0.740123445767742,7.50609236871097e-80
"108","nTau1.9.0","nTau1","10","9","1",1.97659254767263,2.40373467842711e-13
"109","nTau2.9.0","nTau2","11","9","1",4.16162928065348,0.00106608283444465
"110","nCon.9.0","nCon","12","9","1",0.952859575545886,1.7678450528964e-08
"111","Fm.9.0","Fm","13","9","1",1967.95955280137,8.88754063527509e-97
"112","Fo.9.0","Fo","14","9","1",1803.91232047662,1.50121847374219e-79
"113","Quant.10.0","Quant","1","10","1",0.118244904100959,5.59395402768288e-74
"114","Sigma.10.0","Sigma","2","10","1",4.76571464114644,7.68117301492856e-38
"115","Connect.10.0","Connect","3","10","1",0.178982590853422,3.92432779915574e-05
"116","Tau1.10.0","Tau1","4","10","1",1247.46495763199,1.4452419156488e-20
"117","Tau2.10.0","Tau2","5","10","1",3754137.52778114,1.52669462671327e-08
"118","NPQ.10.0","NPQ","6","10","1",0.35459333861715,1.80200827854889e-96
"119","qP.10.0","qP","7","10","1",0.719931797085053,1.11879080553658e-73
"120","ABQ.10.0","ABQ","8","10","1",0.0250735408592884,7.68117301492856e-38
"121","qm.10.0","qm","9","10","1",0.631364807555824,5.59395402768288e-74
"122","nTau1.10.0","nTau1","10","10","1",1.55411174450672,1.4452419156488e-20
"123","nTau2.10.0","nTau2","11","10","1",2.08797396217985,1.52669462671327e-08
"124","nCon.10.0","nCon","12","10","1",0.625833952896797,3.92432779915574e-05
"125","Fm.10.0","Fm","13","10","1",1930.89973721469,1.80200827854889e-96
"126","Fo.10.0","Fo","14","10","1",1702.58068295917,1.11879080553658e-73
"127","Quant.11.0","Quant","1","11","1",0.129383534809586,3.0163152378106e-76
"128","Sigma.11.0","Sigma","2","11","1",4.29795354511925,1.63634287651864e-41
"129","Connect.11.0","Connect","3","11","1",0.181613563280533,8.38453386639308e-07
"130","Tau1.11.0","Tau1","4","11","1",1259.76089272426,8.43215646826193e-21
"131","Tau2.11.0","Tau2","5","11","1",3478805.86650955,7.28366556416882e-09
"132","NPQ.11.0","NPQ","6","11","1",0.315281216328174,1.77827110223612e-97
"133","qP.11.0","qP","7","11","1",0.697271288078791,6.0326304756212e-76
"134","ABQ.11.0","ABQ","8","11","1",0.120763841981445,1.63634287651864e-41
"135","qm.11.0","qm","9","11","1",0.596639494815637,3.0163152378106e-76
"136","nTau1.11.0","nTau1","10","11","1",1.5694302165966,8.43215646826193e-21
"137","nTau2.11.0","nTau2","11","11","1",1.93484016368564,7.28366556416882e-09
"138","nCon.11.0","nCon","12","11","1",0.635033461442126,8.38453386639308e-07
"139","Fm.11.0","Fm","13","11","1",1988.61193264089,1.77827110223612e-97
"140","Fo.11.0","Fo","14","11","1",1731.31829143129,6.0326304756212e-76
"141","Quant.12.0","Quant","1","12","1",0.131549064745201,1.83250237071819e-74
"142","Sigma.12.0","Sigma","2","12","1",4.68603804946012,7.89888641548004e-41
"143","Connect.12.0","Connect","3","12","1",0.213030356685508,5.82657157142174e-08
"144","Tau1.12.0","Tau1","4","12","1",1363.99979051649,1.34283406990315e-18
"145","Tau2.12.0","Tau2","5","12","1",3267694.53561039,7.93495707560373e-08
"146","NPQ.12.0","NPQ","6","12","1",0.302683765644151,8.48051044605772e-97
"147","qP.12.0","qP","7","12","1",0.687497860298745,3.66500474143638e-74
"148","ABQ.12.0","ABQ","8","12","1",0.0413730516899371,7.89888641548004e-41
"149","qm.12.0","qm","9","12","1",0.589888332466368,1.83250237071819e-74
"150","nTau1.12.0","nTau1","10","12","1",1.69929269834587,1.34283406990315e-18
"151","nTau2.12.0","nTau2","11","12","1",1.81742439008208,7.93495707560373e-08
"152","nCon.12.0","nCon","12","12","1",0.744886022577972,5.82657157142174e-08
"153","Fm.12.0","Fm","13","12","1",2007.8425712746,8.48051044605772e-97
"154","Fo.12.0","Fo","14","12","1",1743.71275886782,3.66500474143638e-74
"155","Quant.13.0","Quant","1","13","1",0.141364803270166,4.81653861556545e-73
"156","Sigma.13.0","Sigma","2","13","1",4.81215213984613,9.45058286202708e-41
"157","Connect.13.0","Connect","3","13","1",0.239186788586365,2.44519213749517e-09
"158","Tau1.13.0","Tau1","4","13","1",1608.03520921406,7.37683648529618e-20
"159","Tau2.13.0","Tau2","5","13","1",3559951.01635807,4.50735271209451e-07
"160","NPQ.13.0","NPQ","6","13","1",0.274991003935218,6.84847284931879e-96
"161","qP.13.0","qP","7","13","1",0.673511789574085,9.63307723113089e-73
"162","ABQ.13.0","ABQ","8","13","1",0.0155737806789878,9.45058286202708e-41
"163","qm.13.0","qm","9","13","1",0.559287211110281,4.81653861556545e-73
"164","nTau1.13.0","nTau1","10","13","1",2.00331591595467,7.37683648529618e-20
"165","nTau2.13.0","nTau2","11","13","1",1.97997142453773,4.50735271209451e-07
"166","nCon.13.0","nCon","12","13","1",0.836345102995435,2.44519213749517e-09
"167","Fm.13.0","Fm","13","13","1",2051.45284436966,6.84847284931879e-96
"168","Fo.13.0","Fo","14","13","1",1761.44961660732,9.63307723113089e-73
"169","Quant.14.0","Quant","1","14","1",0.142477115230558,1.35374408755414e-72
"170","Sigma.14.0","Sigma","2","14","1",4.66949487040124,2.17820783753027e-40
"171","Connect.14.0","Connect","3","14","1",0.268067082575807,1.28416428452842e-10
"172","Tau1.14.0","Tau1","4","14","1",1453.23861893919,1.35535682317693e-18
"173","Tau2.14.0","Tau2","5","14","1",2860155.18248407,3.07841352786976e-08
"174","NPQ.14.0","NPQ","6","14","1",0.258902962155161,6.12830147080374e-95
"175","qP.14.0","qP","7","14","1",0.657584023678897,2.70748817510828e-72
"176","ABQ.14.0","ABQ","8","14","1",0.0447573044615051,2.17820783753027e-40
"177","qm.14.0","qm","9","14","1",0.555819515511098,1.35374408755414e-72
"178","nTau1.14.0","nTau1","10","14","1",1.81046785438472,1.35535682317693e-18
"179","nTau2.14.0","nTau2","11","14","1",1.59075939669962,3.07841352786976e-08
"180","nCon.14.0","nCon","12","14","1",0.937328491726446,1.28416428452842e-10
"181","Fm.14.0","Fm","13","14","1",2077.66920898408,6.12830147080374e-95
"182","Fo.14.0","Fo","14","14","1",1781.64889368467,2.70748817510828e-72
"183","Quant.15.0","Quant","1","15","1",0.148800698320352,6.62074977367221e-74
"184","Sigma.15.0","Sigma","2","15","1",4.93285225455301,5.95637290276615e-43
"185","Connect.15.0","Connect","3","15","1",0.228216203029336,1.00681921160154e-09
"186","Tau1.15.0","Tau1","4","15","1",1504.32746733261,2.00471037936394e-17
"187","Tau2.15.0","Tau2","5","15","1",2870824.08960883,1.81653205290952e-07
"188","NPQ.15.0","NPQ","6","15","1",0.245983189154588,7.69969475964028e-97
"189","qP.15.0","qP","7","15","1",0.653483960937624,1.32414995473444e-73
"190","ABQ.15.0","ABQ","8","15","1",-0.009117948538931,5.95637290276615e-43
"191","qm.15.0","qm","9","15","1",0.536105386712341,6.62074977367221e-74
"192","nTau1.15.0","nTau1","10","15","1",1.87411515671236,2.00471037936394e-17
"193","nTau2.15.0","nTau2","11","15","1",1.5966932230756,1.81653205290952e-07
"194","nCon.15.0","nCon","12","15","1",0.797985143560215,1.00681921160154e-09
"195","Fm.15.0","Fm","13","15","1",2099.2128500091,7.69969475964028e-97
"196","Fo.15.0","Fo","14","15","1",1786.84851200469,1.32414995473444e-73
"197","Quant.16.0","Quant","1","16","1",0.0561445090571886,1.64061556488506e-80
"198","Sigma.16.0","Sigma","2","16","1",3.12320814999108,4.60931906306009e-32
"199","Connect.16.0","Connect","3","16","1",0.446586426582546,3.06140862555945e-14
"200","Tau1.16.0","Tau1","4","16","1",1505.43645228688,4.22732011212099e-15
