"","uni","metric","metrix","stage","col","ASnormalized.aglo1.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.390321052009647,3.25377975651733e-58
"2","Sigma.1.0","Sigma","2","1","1",4.23251827558223,1.6096225170745e-50
"3","Connect.1.0","Connect","3","1","1",0.344482931555659,1.09898821430035e-21
"4","Tau1.1.0","Tau1","4","1","1",619.683061682068,6.30896089895262e-29
"5","Tau2.1.0","Tau2","5","1","1",752092.099653314,1.84287231128446e-25
"6","NPQ.1.0","NPQ","6","1","1",0.879068111628416,2.01999543109629e-84
"7","qP.1.0","qP","7","1","1",1.35582493612106,6.50755951303465e-58
"8","ABQ.1.0","ABQ","8","1","1",0,1.6096225170745e-50
"9","qm.1.0","qm","9","1","1",0,3.25377975651733e-58
"10","nTau1.1.0","nTau1","10","1","1",1,6.30896089895262e-29
"11","nTau2.1.0","nTau2","11","1","1",1,1.84287231128446e-25
"12","nCon.1.0","nCon","12","1","1",1,1.09898821430035e-21
"13","Fm.1.0","Fm","13","1","1",1812.77820873573,2.01999543109629e-84
"14","Fo.1.0","Fo","14","1","1",1105.21271124184,6.50755951303465e-58
"15","Quant.3.0","Quant","1","3","1",0.0635476339259507,4.38227841238934e-82
"16","Sigma.3.0","Sigma","2","3","1",3.07829175391822,4.83307011721488e-34
"17","Connect.3.0","Connect","3","3","1",0.339819060508355,9.20405761774657e-10
"18","Tau1.3.0","Tau1","4","3","1",2195.95655288527,2.94284581860236e-07
"19","Tau2.3.0","Tau2","5","3","1",4150456.87182738,8.45895134585371e-12
"20","NPQ.3.0","NPQ","6","3","1",0.146197981955153,5.0908978564805e-95
"21","qP.3.0","qP","7","3","1",0.36726928163128,8.76455682477816e-82
"22","ABQ.3.0","ABQ","8","3","1",0.272704438944267,4.83307011721488e-34
"23","qm.3.0","qm","9","3","1",0.837191374642073,4.38227841238934e-82
"24","nTau1.3.0","nTau1","10","3","1",3.54367690303583,2.94284581860236e-07
"25","nTau2.3.0","nTau2","11","3","1",5.51854869069969,8.45895134585371e-12
"26","nCon.3.0","nCon","12","3","1",0.986461241994655,9.20405761774657e-10
"27","Fm.3.0","Fm","13","3","1",2971.85458281803,5.0908978564805e-95
"28","Fo.3.0","Fo","14","3","1",2783.00025570795,8.76455682477816e-82
"29","Quant.4.0","Quant","1","4","1",0.0462441068622827,1.07777379440648e-84
"30","Sigma.4.0","Sigma","2","4","1",2.88226566231907,4.42165112139314e-31
"31","Connect.4.0","Connect","3","4","1",0.424597575666289,1.5780420975671e-11
"32","Tau1.4.0","Tau1","4","4","1",5504.61822252552,7.16972481002097e-06
"33","Tau2.4.0","Tau2","5","4","1",4550574.4048873,1.35070097513437e-06
"34","NPQ.4.0","NPQ","6","4","1",0.104309692606996,8.73753504276869e-98
"35","qP.4.0","qP","7","4","1",0.273622741033355,2.15554758881286e-84
"36","ABQ.4.0","ABQ","8","4","1",0.319018731957495,4.42165112139314e-31
"37","qm.4.0","qm","9","4","1",0.881522898587751,1.07777379440648e-84
"38","nTau1.4.0","nTau1","10","4","1",8.88295737434517,7.16972481002097e-06
"39","nTau2.4.0","nTau2","11","4","1",6.05055472193491,1.35070097513437e-06
"40","nCon.4.0","nCon","12","4","1",1.23256491620307,1.5780420975671e-11
"41","Fm.4.0","Fm","13","4","1",3084.58193230986,8.73753504276869e-98
"42","Fo.4.0","Fo","14","4","1",2941.93819580666,2.15554758881286e-84
"43","Quant.5.0","Quant","1","5","1",0.0461746621174563,7.91349771042597e-85
"44","Sigma.5.0","Sigma","2","5","1",3.27197608081582,1.05489081584948e-32
"45","Connect.5.0","Connect","3","5","1",0.353724847490008,1.33605064884394e-10
"46","Tau1.5.0","Tau1","4","5","1",2043.71891010304,7.16566667206613e-09
"47","Tau2.5.0","Tau2","5","5","1",5693659.81297957,6.10884860917536e-08
"48","NPQ.5.0","NPQ","6","5","1",0.128348813869478,7.20537358463203e-102
"49","qP.5.0","qP","7","5","1",0.310428674572472,1.58269954208519e-84
"50","ABQ.5.0","ABQ","8","5","1",0.226943425219889,1.05489081584948e-32
"51","qm.5.0","qm","9","5","1",0.881700815572933,7.91349771042597e-85
"52","nTau1.5.0","nTau1","10","5","1",3.29800673356403,7.16566667206613e-09
"53","nTau2.5.0","nTau2","11","5","1",7.57042896156486,6.10884860917536e-08
"54","nCon.5.0","nCon","12","5","1",1.026828371126,1.33605064884394e-10
"55","Fm.5.0","Fm","13","5","1",3018.86587163482,7.20537358463203e-102
"56","Fo.5.0","Fo","14","5","1",2879.47076003416,1.58269954208519e-84
"57","Quant.6.0","Quant","1","6","1",0.0469827453929519,1.90607119503932e-80
"58","Sigma.6.0","Sigma","2","6","1",3.44367369377156,7.10001490724978e-29
"59","Connect.6.0","Connect","3","6","1",0.354350436255579,3.12726696187296e-08
"60","Tau1.6.0","Tau1","4","6","1",1546.62836134778,1.28110416892781e-09
"61","Tau2.6.0","Tau2","5","6","1",9468305.46837708,0.000112530776073752
"62","NPQ.6.0","NPQ","6","6","1",0.146685775331868,2.45884544092772e-98
"63","qP.6.0","qP","7","6","1",0.338973668355847,3.81214239007863e-80
"64","ABQ.6.0","ABQ","8","6","1",0.186377123605488,7.10001490724978e-29
"65","qm.6.0","qm","9","6","1",0.879630511469848,1.90607119503932e-80
"66","nTau1.6.0","nTau1","10","6","1",2.4958377225119,1.28110416892781e-09
"67","nTau2.6.0","nTau2","11","6","1",12.5892898924767,0.000112530776073752
"68","nCon.6.0","nCon","12","6","1",1.02864439365794,3.12726696187296e-08
"69","Fm.6.0","Fm","13","6","1",2970.59037337788,2.45884544092772e-98
"70","Fo.6.0","Fo","14","6","1",2831.02388219871,3.81214239007863e-80
"71","Quant.7.0","Quant","1","7","1",0.046941456691511,2.20265319725481e-83
"72","Sigma.7.0","Sigma","2","7","1",3.64356671416773,5.34007130916618e-31
"73","Connect.7.0","Connect","3","7","1",0.316861390056679,7.22881434249431e-08
"74","Tau1.7.0","Tau1","4","7","1",1606.35801231546,1.21283023603271e-19
"75","Tau2.7.0","Tau2","5","7","1",9481016.5374021,1.52148444793571e-09
"76","NPQ.7.0","NPQ","6","7","1",0.183213245047502,1.2156474022318e-101
"77","qP.7.0","qP","7","7","1",0.390398537309002,4.40530639450963e-83
"78","ABQ.7.0","ABQ","8","7","1",0.139149206941932,5.34007130916618e-31
"79","qm.7.0","qm","9","7","1",0.879736292854758,2.20265319725481e-83
"80","nTau1.7.0","nTau1","10","7","1",2.59222514159926,1.21283023603271e-19
"81","nTau2.7.0","nTau2","11","7","1",12.6061908398885,1.52148444793571e-09
"82","nCon.7.0","nCon","12","7","1",0.919817387252706,7.22881434249431e-08
"83","Fm.7.0","Fm","13","7","1",2878.8840386531,1.2156474022318e-101
"84","Fo.7.0","Fo","14","7","1",2743.74502823279,4.40530639450963e-83
"85","Quant.8.0","Quant","1","8","1",0.0538922794759732,1.27868452871342e-82
"86","Sigma.8.0","Sigma","2","8","1",4.06304597001106,9.25078204172269e-33
"87","Connect.8.0","Connect","3","8","1",0.228882351996253,1.80454317569206e-05
"88","Tau1.8.0","Tau1","4","8","1",1594.42209788833,1.66245620076282e-12
"89","Tau2.8.0","Tau2","5","8","1",12138037.6938049,0.000533228467338873
"90","NPQ.8.0","NPQ","6","8","1",0.221761438797235,6.23353250906954e-103
"91","qP.8.0","qP","7","8","1",0.452823330138137,2.55736905742684e-82
"92","ABQ.8.0","ABQ","8","8","1",0.0400405372255276,9.25078204172269e-33
"93","qm.8.0","qm","9","8","1",0.861928330028581,1.27868452871342e-82
"94","nTau1.8.0","nTau1","10","8","1",2.57296382050598,1.66245620076282e-12
"95","nTau2.8.0","nTau2","11","8","1",16.1390309769243,0.000533228467338873
"96","nCon.8.0","nCon","12","8","1",0.664422910483946,1.80454317569206e-05
"97","Fm.8.0","Fm","13","8","1",2788.05142912643,6.23353250906954e-103
"98","Fo.8.0","Fo","14","8","1",2637.79698231456,2.55736905742684e-82
"99","Quant.9.0","Quant","1","9","1",0.0546294901123791,9.7309769786258e-80
"100","Sigma.9.0","Sigma","2","9","1",3.85865189784618,2.69470286330079e-30
"101","Connect.9.0","Connect","3","9","1",0.266170786748874,9.66842878110864e-06
"102","Tau1.9.0","Tau1","4","9","1",1682.80459541956,2.0070636782299e-18
"103","Tau2.9.0","Tau2","5","9","1",14348919.5252133,0.000342503942168897
"104","NPQ.9.0","NPQ","6","9","1",0.263523405550833,2.78390875478351e-99
"105","qP.9.0","qP","7","9","1",0.505363581995298,1.94619539572516e-79
"106","ABQ.9.0","ABQ","8","9","1",0.0883318992130345,2.69470286330079e-30
"107","qm.9.0","qm","9","9","1",0.860039601166506,9.7309769786258e-80
"108","nTau1.9.0","nTau1","10","9","1",2.71558914463752,2.0070636782299e-18
"109","nTau2.9.0","nTau2","11","9","1",19.07867338565,0.000342503942168897
"110","nCon.9.0","nCon","12","9","1",0.772667561631767,9.66842878110864e-06
"111","Fm.9.0","Fm","13","9","1",2695.90077281173,2.78390875478351e-99
"112","Fo.9.0","Fo","14","9","1",2548.62508819945,1.94619539572516e-79
"113","Quant.10.0","Quant","1","10","1",0.0963719397824199,4.95065985222513e-72
"114","Sigma.10.0","Sigma","2","10","1",4.93949868670542,3.29194519365498e-33
"115","Connect.10.0","Connect","3","10","1",0.27574435624349,5.34150257329519e-07
"116","Tau1.10.0","Tau1","4","10","1",1794.29017448821,4.50283120224225e-21
"117","Tau2.10.0","Tau2","5","10","1",6216623.94304435,5.95653603074644e-07
"118","NPQ.10.0","NPQ","6","10","1",0.303957447153818,4.82172492641104e-95
"119","qP.10.0","qP","7","10","1",0.616176889496597,9.90131970445027e-72
"120","ABQ.10.0","ABQ","8","10","1",-0.167035406604578,3.29194519365498e-33
"121","qm.10.0","qm","9","10","1",0.753095716241209,4.95065985222513e-72
