"","uni","metric","metrix","stage","col","ASnormalized.occ2_aglo14.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.386938104812985,1.08768805109507e-55
"2","Sigma.1.0","Sigma","2","1","1",4.41292734613029,8.80001517356641e-48
"3","Connect.1.0","Connect","3","1","1",0.308968046670116,3.3914353834293e-17
"4","Tau1.1.0","Tau1","4","1","1",625.220358975701,5.38743687002767e-29
"5","Tau2.1.0","Tau2","5","1","1",1016286.68349679,4.93502986520446e-26
"6","NPQ.1.0","NPQ","6","1","1",0.744803051498686,1.16146197209398e-82
"7","qP.1.0","qP","7","1","1",1.18676945517534,2.17537610219013e-55
"8","ABQ.1.0","ABQ","8","1","1",0,8.80001517356641e-48
"9","qm.1.0","qm","9","1","1",0,1.08768805109507e-55
"10","nTau1.1.0","nTau1","10","1","1",1,5.38743687002767e-29
"11","nTau2.1.0","nTau2","11","1","1",1,4.93502986520446e-26
"12","nCon.1.0","nCon","12","1","1",1,3.3914353834293e-17
"13","Fm.1.0","Fm","13","1","1",1831.32551848565,1.16146197209398e-82
"14","Fo.1.0","Fo","14","1","1",1122.71589306716,2.17537610219013e-55
"15","Quant.3.0","Quant","1","3","1",0.0666206724174429,7.34617159004287e-83
"16","Sigma.3.0","Sigma","2","3","1",3.28917851620054,2.50910547116739e-36
"17","Connect.3.0","Connect","3","3","1",0.313776431281215,1.52535658125368e-10
"18","Tau1.3.0","Tau1","4","3","1",1343.2544698078,2.77311674380161e-08
"19","Tau2.3.0","Tau2","5","3","1",4064163.88289527,2.54216409730345e-11
"20","NPQ.3.0","NPQ","6","3","1",0.109695335148145,8.63356418022277e-98
"21","qP.3.0","qP","7","3","1",0.290705765763865,1.46923431800857e-82
"22","ABQ.3.0","ABQ","8","3","1",0.254649293266784,2.50910547116739e-36
"23","qm.3.0","qm","9","3","1",0.827826022847654,7.34617159004287e-83
"24","nTau1.3.0","nTau1","10","3","1",2.148449663425,2.77311674380161e-08
"25","nTau2.3.0","nTau2","11","3","1",3.99903289976358,2.54216409730345e-11
"26","nCon.3.0","nCon","12","3","1",1.01556272456948,1.52535658125368e-10
"27","Fm.3.0","Fm","13","3","1",2879.44109678951,8.63356418022277e-98
"28","Fo.3.0","Fo","14","3","1",2687.61079473497,1.46923431800857e-82
"29","Quant.4.0","Quant","1","4","1",0.0507828496459886,1.8449197511267e-81
"30","Sigma.4.0","Sigma","2","4","1",2.97834800341373,3.09547113175037e-30
"31","Connect.4.0","Connect","3","4","1",0.359284971712202,8.82023663164993e-09
"32","Tau1.4.0","Tau1","4","4","1",2325.83679734309,2.47177070517927e-07
"33","Tau2.4.0","Tau2","5","4","1",3503501.96070574,3.44460297054124e-15
"34","NPQ.4.0","NPQ","6","4","1",0.0980985878381783,2.90084922634665e-96
"35","qP.4.0","qP","7","4","1",0.248064651481504,3.68983950225339e-81
"36","ABQ.4.0","ABQ","8","4","1",0.325085647280041,3.09547113175037e-30
"37","qm.4.0","qm","9","4","1",0.868757175852368,1.8449197511267e-81
"38","nTau1.4.0","nTau1","10","4","1",3.72002728950399,2.47177070517927e-07
"39","nTau2.4.0","nTau2","11","4","1",3.44735596519977,3.44460297054124e-15
"40","nCon.4.0","nCon","12","4","1",1.16285478574362,8.82023663164993e-09
"41","Fm.4.0","Fm","13","4","1",2909.85016129722,2.90084922634665e-96
"42","Fo.4.0","Fo","14","4","1",2762.07967806371,3.68983950225339e-81
"43","Quant.5.0","Quant","1","5","1",0.0540449779722588,2.74628807100009e-82
"44","Sigma.5.0","Sigma","2","5","1",3.26565923444778,3.16111186730473e-33
"45","Connect.5.0","Connect","3","5","1",0.403550583439904,3.40556060547375e-13
"46","Tau1.5.0","Tau1","4","5","1",1555.85428103399,1.39456502835799e-09
"47","Tau2.5.0","Tau2","5","5","1",4390235.9900508,3.34732849069782e-10
"48","NPQ.5.0","NPQ","6","5","1",0.136215738069562,2.55015880246433e-99
"49","qP.5.0","qP","7","5","1",0.306375468916352,5.49257614200018e-82
"50","ABQ.5.0","ABQ","8","5","1",0.259978925936441,3.16111186730473e-33
"51","qm.5.0","qm","9","5","1",0.86032655533272,2.74628807100009e-82
"52","nTau1.5.0","nTau1","10","5","1",2.48848947206861,1.39456502835799e-09
"53","nTau2.5.0","nTau2","11","5","1",4.31987948021232,3.34732849069782e-10
"54","nCon.5.0","nCon","12","5","1",1.30612400793268,3.40556060547375e-13
"55","Fm.5.0","Fm","13","5","1",2812.23208399667,2.55015880246433e-99
"56","Fo.5.0","Fo","14","5","1",2660.24506296419,5.49257614200018e-82
"57","Quant.6.0","Quant","1","6","1",0.0607892475622809,2.03057607199811e-81
"58","Sigma.6.0","Sigma","2","6","1",3.48024620369347,1.20224115584962e-33
"59","Connect.6.0","Connect","3","6","1",0.32791081218977,8.9112302024079e-10
"60","Tau1.6.0","Tau1","4","6","1",1541.73776174726,4.83546339323763e-13
"61","Tau2.6.0","Tau2","5","6","1",6956495.90284894,5.14460165538179e-08
"62","NPQ.6.0","NPQ","6","6","1",0.171776813163149,3.65680966829582e-99
"63","qP.6.0","qP","7","6","1",0.363134155334171,4.06115214399622e-81
"64","ABQ.6.0","ABQ","8","6","1",0.211352027640947,1.20224115584962e-33
"65","qm.6.0","qm","9","6","1",0.842896714471526,2.03057607199811e-81
"66","nTau1.6.0","nTau1","10","6","1",2.46591100179957,4.83546339323763e-13
"67","nTau2.6.0","nTau2","11","6","1",6.84501333709638,5.14460165538179e-08
"68","nCon.6.0","nCon","12","6","1",1.06130978825742,8.9112302024079e-10
"69","Fm.6.0","Fm","13","6","1",2726.88648302882,3.65680966829582e-99
"70","Fo.6.0","Fo","14","6","1",2561.12110553774,4.06115214399622e-81
"71","Quant.7.0","Quant","1","7","1",0.061193087946265,1.42681177503535e-80
"72","Sigma.7.0","Sigma","2","7","1",3.75655635392308,8.10403282022604e-32
"73","Connect.7.0","Connect","3","7","1",0.21208010411521,0.00021395535225356
"74","Tau1.7.0","Tau1","4","7","1",1212.36905857535,3.3601923859656e-13
"75","Tau2.7.0","Tau2","5","7","1",4405293.83366003,1.55701618409432e-12
"76","NPQ.7.0","NPQ","6","7","1",0.213627978155983,3.43806210110687e-99
"77","qP.7.0","qP","7","7","1",0.414314471380602,2.8536235500707e-80
"78","ABQ.7.0","ABQ","8","7","1",0.148738227648996,8.10403282022604e-32
"79","qm.7.0","qm","9","7","1",0.84185303234521,1.42681177503535e-80
"80","nTau1.7.0","nTau1","10","7","1",1.93910681437434,3.3601923859656e-13
"81","nTau2.7.0","nTau2","11","7","1",4.33469601166329,1.55701618409432e-12
"82","nCon.7.0","nCon","12","7","1",0.686414360322663,0.00021395535225356
"83","Fm.7.0","Fm","13","7","1",2632.85159081138,3.43806210110687e-99
"84","Fo.7.0","Fo","14","7","1",2471.73927186539,2.8536235500707e-80
"85","Quant.8.0","Quant","1","8","1",0.0647027880072647,1.55525059325679e-83
"86","Sigma.8.0","Sigma","2","8","1",3.55594703426991,9.75648764017817e-37
"87","Connect.8.0","Connect","3","8","1",0.315212181566622,3.21974535437121e-11
"88","Tau1.8.0","Tau1","4","8","1",1353.18466331467,6.35156031727749e-10
"89","Tau2.8.0","Tau2","5","8","1",5670505.43920649,8.5675770095803e-06
"90","NPQ.8.0","NPQ","6","8","1",0.256332593240276,1.2545007721026e-101
"91","qP.8.0","qP","7","8","1",0.467534791434412,3.11050118651359e-83
"92","ABQ.8.0","ABQ","8","8","1",0.194197693422681,9.75648764017817e-37
"93","qm.8.0","qm","9","8","1",0.832782589250193,1.55525059325679e-83
"94","nTau1.8.0","nTau1","10","8","1",2.16433237319973,6.35156031727749e-10
"95","nTau2.8.0","nTau2","11","8","1",5.57963174297996,8.5675770095803e-06
"96","nCon.8.0","nCon","12","8","1",1.02020964615533,3.21974535437121e-11
"97","Fm.8.0","Fm","13","8","1",2543.35704584405,1.2545007721026e-101
"98","Fo.8.0","Fo","14","8","1",2378.79475408002,3.11050118651359e-83
"99","Quant.9.0","Quant","1","9","1",0.0687878728209607,7.30216079326952e-79
"100","Sigma.9.0","Sigma","2","9","1",3.80811427503683,3.20631352299049e-33
"101","Connect.9.0","Connect","3","9","1",0.290703398852374,7.10095343527277e-08
"102","Tau1.9.0","Tau1","4","9","1",1459.11747832386,3.05652915306868e-18
"103","Tau2.9.0","Tau2","5","9","1",6171129.38892582,6.87068562621959e-10
"104","NPQ.9.0","NPQ","6","9","1",0.2947818048316,4.8802458384787e-98
"105","qP.9.0","qP","7","9","1",0.513755790713777,1.4604321586539e-78
"106","ABQ.9.0","ABQ","8","9","1",0.137054844472755,3.20631352299049e-33
"107","qm.9.0","qm","9","9","1",0.822225126020589,7.30216079326952e-79
"108","nTau1.9.0","nTau1","10","9","1",2.33376513956508,3.05652915306868e-18
"109","nTau2.9.0","nTau2","11","9","1",6.07223285430891,6.87068562621959e-10
"110","nCon.9.0","nCon","12","9","1",0.94088499437211,7.10095343527277e-08
"111","Fm.9.0","Fm","13","9","1",2467.83075033771,4.8802458384787e-98
"112","Fo.9.0","Fo","14","9","1",2298.07392253982,1.4604321586539e-78
"113","Quant.10.0","Quant","1","10","1",0.123595819591525,5.94938816867448e-72
"114","Sigma.10.0","Sigma","2","10","1",4.50407712243654,4.95883008936944e-37
"115","Connect.10.0","Connect","3","10","1",0.269814750089143,9.95728155609456e-09
"116","Tau1.10.0","Tau1","4","10","1",1288.17061586495,3.81069624534576e-17
"117","Tau2.10.0","Tau2","5","10","1",2800102.86080108,3.39639171831182e-12
"118","NPQ.10.0","NPQ","6","10","1",0.384980278148028,6.17846477685578e-94
"119","qP.10.0","qP","7","10","1",0.671858813452234,1.1898776337349e-71
"120","ABQ.10.0","ABQ","8","10","1",-0.0206551726681337,4.95883008936944e-37
"121","qm.10.0","qm","9","10","1",0.680579870387122,5.94938816867448e-72
"122","nTau1.10.0","nTau1","10","10","1",2.06034656001183,3.81069624534576e-17
"123","nTau2.10.0","nTau2","11","10","1",2.75522931301888,3.39639171831182e-12
"124","nCon.10.0","nCon","12","10","1",0.873277198069688,9.95728155609456e-09
"125","Fm.10.0","Fm","13","10","1",2307.11036348754,6.17846477685578e-94
"126","Fo.10.0","Fo","14","10","1",2021.9611672242,1.1898776337349e-71
"127","Quant.11.0","Quant","1","11","1",0.133835454970517,3.08185960649409e-76
"128","Sigma.11.0","Sigma","2","11","1",4.32932712923186,1.12509097703204e-42
"129","Connect.11.0","Connect","3","11","1",0.243533682439543,9.51152454052659e-11
"130","Tau1.11.0","Tau1","4","11","1",1224.3710437765,5.76388005774234e-17
"131","Tau2.11.0","Tau2","5","11","1",2339240.09810179,1.60098467654265e-11
"132","NPQ.11.0","NPQ","6","11","1",0.371241834129263,1.04105509627603e-97
"133","qP.11.0","qP","7","11","1",0.673921713042374,6.16371921298819e-76
"134","ABQ.11.0","ABQ","8","11","1",0.0189443900479659,1.12509097703204e-42
"135","qm.11.0","qm","9","11","1",0.654116631818408,3.08185960649409e-76
"136","nTau1.11.0","nTau1","10","11","1",1.95830322253484,5.76388005774234e-17
"137","nTau2.11.0","nTau2","11","11","1",2.30175218871613,1.60098467654265e-11
"138","nCon.11.0","nCon","12","11","1",0.788216403165998,9.51152454052659e-11
"139","Fm.11.0","Fm","13","11","1",2330.22525524842,1.04105509627603e-97
"140","Fo.11.0","Fo","14","11","1",2018.35849802846,6.16371921298819e-76
"141","Quant.12.0","Quant","1","12","1",0.143465083088478,3.29654418819558e-74
"142","Sigma.12.0","Sigma","2","12","1",4.47042570929422,6.96790356895612e-42
"143","Connect.12.0","Connect","3","12","1",0.219424496563019,7.64761355080721e-09
"144","Tau1.12.0","Tau1","4","12","1",1387.50879755713,6.16125885548669e-17
"145","Tau2.12.0","Tau2","5","12","1",2500041.34965998,1.15231396133723e-09
"146","NPQ.12.0","NPQ","6","12","1",0.372516534579313,2.72206410613704e-96
"147","qP.12.0","qP","7","12","1",0.687831890207278,6.59308837639117e-74
"148","ABQ.12.0","ABQ","8","12","1",-0.0130295286221649,6.96790356895612e-42
"149","qm.12.0","qm","9","12","1",0.629229891540878,3.29654418819558e-74
"150","nTau1.12.0","nTau1","10","12","1",2.2192316319166,6.16125885548669e-17
"151","nTau2.12.0","nTau2","11","12","1",2.45997649113926,1.15231396133723e-09
"152","nCon.12.0","nCon","12","12","1",0.710185078773852,7.64761355080721e-09
"153","Fm.12.0","Fm","13","12","1",2328.06109976705,2.72206410613704e-96
"154","Fo.12.0","Fo","14","12","1",1994.06562065392,6.59308837639117e-74
"155","Quant.13.0","Quant","1","13","1",0.147113365525347,4.39494825504258e-75
"156","Sigma.13.0","Sigma","2","13","1",4.53562124134851,2.22826038902531e-43
"157","Connect.13.0","Connect","3","13","1",0.215639810831917,1.86287908443601e-09
"158","Tau1.13.0","Tau1","4","13","1",1306.00050980677,8.69488431527054e-17
"159","Tau2.13.0","Tau2","5","13","1",2234502.66345839,1.8241316024434e-10
"160","NPQ.13.0","NPQ","6","13","1",0.366530924150395,2.31053163896172e-97
"161","qP.13.0","qP","7","13","1",0.687715262614433,8.78989651008516e-75
"162","ABQ.13.0","ABQ","8","13","1",-0.0278032891989077,2.22826038902531e-43
"163","qm.13.0","qm","9","13","1",0.619801297170126,4.39494825504258e-75
"164","nTau1.13.0","nTau1","10","13","1",2.0888643356822,8.69488431527054e-17
"165","nTau2.13.0","nTau2","11","13","1",2.19869324251109,1.8241316024434e-10
"166","nCon.13.0","nCon","12","13","1",0.697935638186413,1.86287908443601e-09
"167","Fm.13.0","Fm","13","13","1",2338.25835659575,2.31053163896172e-97
"168","Fo.13.0","Fo","14","13","1",1994.26930028918,8.78989651008516e-75
"169","Quant.14.0","Quant","1","14","1",0.149975547070328,3.00288612277571e-76
"170","Sigma.14.0","Sigma","2","14","1",4.45482329078446,2.32968417493313e-45
"171","Connect.14.0","Connect","3","14","1",0.272203958221177,6.04000403400521e-14
"172","Tau1.14.0","Tau1","4","14","1",1503.4424481444,2.16246270808893e-18
"173","Tau2.14.0","Tau2","5","14","1",2697502.45651723,1.37382507928258e-08
"174","NPQ.14.0","NPQ","6","14","1",0.369548124404933,6.6984140719635e-98
"175","qP.14.0","qP","7","14","1",0.694054709690868,6.00577224555142e-76
"176","ABQ.14.0","ABQ","8","14","1",-0.00949391217394835,2.32968417493313e-45
"177","qm.14.0","qm","9","14","1",0.612404296178549,3.00288612277571e-76
"178","nTau1.14.0","nTau1","10","14","1",2.40466009553415,2.16246270808893e-18
"179","nTau2.14.0","nTau2","11","14","1",2.65427314981222,1.37382507928258e-08
"180","nCon.14.0","nCon","12","14","1",0.881010062868439,6.04000403400521e-14
"181","Fm.14.0","Fm","13","14","1",2333.10702705648,6.6984140719635e-98
"182","Fo.14.0","Fo","14","14","1",1983.19802430006,6.00577224555142e-76
"183","Quant.15.0","Quant","1","15","1",0.153801481512571,7.0631703931917e-76
"184","Sigma.15.0","Sigma","2","15","1",4.30405411021262,5.19696698234191e-45
"185","Connect.15.0","Connect","3","15","1",0.202002719036368,1.65207175908427e-09
"186","Tau1.15.0","Tau1","4","15","1",1384.64320646938,3.11194624743372e-18
"187","Tau2.15.0","Tau2","5","15","1",2250651.98506969,1.86014616762996e-10
"188","NPQ.15.0","NPQ","6","15","1",0.358987015264626,1.96579125559069e-97
"189","qP.15.0","qP","7","15","1",0.690380680504577,1.41263407863834e-75
"190","ABQ.15.0","ABQ","8","15","1",0.0246714317681056,5.19696698234191e-45
"191","qm.15.0","qm","9","15","1",0.602516579268132,7.0631703931917e-76
"192","nTau1.15.0","nTau1","10","15","1",2.21464830214077,3.11194624743372e-18
"193","nTau2.15.0","nTau2","11","15","1",2.21458376028875,1.86014616762996e-10
"194","nCon.15.0","nCon","12","15","1",0.653798090816962,1.65207175908427e-09
"195","Fm.15.0","Fm","13","15","1",2351.23832461267,1.96579125559069e-97
"196","Fo.15.0","Fo","14","15","1",1989.61438689811,1.41263407863834e-75
"197","Quant.16.0","Quant","1","16","1",0.0608904511632368,7.30557183055869e-83
