"","uni","metric","metrix","stage","col","ASnormalized.t1_ahya1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.382638684453945,3.72459167037931e-60
"2","Sigma.1.0","Sigma","2","1","1",4.2776849117427,1.43121011390269e-51
"3","Connect.1.0","Connect","3","1","1",0.324568373011249,1.93438545791679e-21
"4","Tau1.1.0","Tau1","4","1","1",706.467070178007,2.43046410171553e-26
"5","Tau2.1.0","Tau2","5","1","1",756187.413915613,3.42042145657437e-29
"6","NPQ.1.0","NPQ","6","1","1",0.742838572933953,6.65110124778028e-86
"7","qP.1.0","qP","7","1","1",1.49854320634609,7.44918334075863e-60
"8","ABQ.1.0","ABQ","8","1","1",0,1.43121011390269e-51
"9","qm.1.0","qm","9","1","1",0,3.72459167037931e-60
"10","nTau1.1.0","nTau1","10","1","1",1,2.43046410171553e-26
"11","nTau2.1.0","nTau2","11","1","1",1,3.42042145657437e-29
"12","nCon.1.0","nCon","12","1","1",1,1.93438545791679e-21
"13","Fm.1.0","Fm","13","1","1",1844.77785259682,6.65110124778028e-86
"14","Fo.1.0","Fo","14","1","1",1138.8944819694,7.44918334075863e-60
"15","Quant.3.0","Quant","1","3","1",0.0339693324694608,2.8120921831322e-85
"16","Sigma.3.0","Sigma","2","3","1",2.71956885750669,2.85348766796692e-27
"17","Connect.3.0","Connect","3","3","1",0.50544368241979,1.57864460887588e-11
"18","Tau1.3.0","Tau1","4","3","1",4814.52977696793,9.53940214826653e-06
"19","Tau2.3.0","Tau2","5","3","1",6982897.52652303,1.25000493423715e-07
"20","NPQ.3.0","NPQ","6","3","1",0.04230240031592,1.41455252696486e-94
"21","qP.3.0","qP","7","3","1",0.169808561898982,5.62418436484986e-85
"22","ABQ.3.0","ABQ","8","3","1",0.364242829096367,2.85348766796692e-27
"23","qm.3.0","qm","9","3","1",0.911223475697608,2.8120921831322e-85
"24","nTau1.3.0","nTau1","10","3","1",6.81493870019282,9.53940214826653e-06
"25","nTau2.3.0","nTau2","11","3","1",9.23434772653105,1.25000493423715e-07
"26","nCon.3.0","nCon","12","3","1",1.55727952705445,1.57864460887588e-11
"27","Fm.3.0","Fm","13","3","1",3084.66141786251,1.41455252696486e-94
"28","Fo.3.0","Fo","14","3","1",2979.87752860342,5.62418436484986e-85
"29","Quant.4.0","Quant","1","4","1",0.034300638210901,2.35901383552297e-83
"30","Sigma.4.0","Sigma","2","4","1",2.58929823492786,7.46915987435503e-26
"31","Connect.4.0","Connect","3","4","1",0.623971350217507,1.15155721858791e-16
"32","Tau1.4.0","Tau1","4","4","1",3735.31140752405,0.00136724805581041
"33","Tau2.4.0","Tau2","5","4","1",6047110.31645253,5.95426039091808e-06
"34","NPQ.4.0","NPQ","6","4","1",0.058830001380547,1.22191455627227e-94
"35","qP.4.0","qP","7","4","1",0.204106133679881,4.71802767103372e-83
"36","ABQ.4.0","ABQ","8","4","1",0.394696363021044,7.46915987435503e-26
"37","qm.4.0","qm","9","4","1",0.910357630829066,2.35901383552297e-83
"38","nTau1.4.0","nTau1","10","4","1",5.28731141931764,0.00136724805581041
"39","nTau2.4.0","nTau2","11","4","1",7.99684073706014,5.95426039091808e-06
"40","nCon.4.0","nCon","12","4","1",1.92246504004221,1.15155721858791e-16
"41","Fm.4.0","Fm","13","4","1",3036.51199513421,1.22191455627227e-94
"42","Fo.4.0","Fo","14","4","1",2932.35769576605,4.71802767103372e-83
"43","Quant.5.0","Quant","1","5","1",0.0387130768693834,7.4118031997487e-86
"44","Sigma.5.0","Sigma","2","5","1",3.63656959124644,1.44555408289719e-28
"45","Connect.5.0","Connect","3","5","1",0.418540387067897,1.91307725791792e-09
"46","Tau1.5.0","Tau1","4","5","1",3494.94076240027,2.06247073735777e-05
"47","Tau2.5.0","Tau2","5","5","1",7424102.79400425,1.47397332029919e-06
"48","NPQ.5.0","NPQ","6","5","1",0.0711509106551631,1.1618784946228e-101
"49","qP.5.0","qP","7","5","1",0.238009562043462,1.48236063994974e-85
"50","ABQ.5.0","ABQ","8","5","1",0.149874367496382,1.44555408289719e-28
"51","qm.5.0","qm","9","5","1",0.898826024544199,7.4118031997487e-86
