"","uni","metric","metrix","stage","col","ASnormalized.aabr4.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.34897342312489,5.74129391929882e-58
"2","Sigma.1.0","Sigma","2","1","1",4.52215695054906,2.6915119172651e-47
"3","Connect.1.0","Connect","3","1","1",0.326651506489465,7.66218938426011e-18
"4","Tau1.1.0","Tau1","4","1","1",697.977106545349,3.35320525759832e-29
"5","Tau2.1.0","Tau2","5","1","1",1241608.92348674,5.96951119140433e-26
"6","NPQ.1.0","NPQ","6","1","1",0.648101537060384,4.91315852851668e-84
"7","qP.1.0","qP","7","1","1",1.50030511075462,1.14825878385976e-57
"8","ABQ.1.0","ABQ","8","1","1",0,2.6915119172651e-47
"9","qm.1.0","qm","9","1","1",0,5.74129391929882e-58
"10","nTau1.1.0","nTau1","10","1","1",1,3.35320525759832e-29
"11","nTau2.1.0","nTau2","11","1","1",1,5.96951119140433e-26
"12","nCon.1.0","nCon","12","1","1",1,7.66218938426011e-18
"13","Fm.1.0","Fm","13","1","1",2013.34301975633,4.91315852851668e-84
"14","Fo.1.0","Fo","14","1","1",1310.73981422736,1.14825878385976e-57
"15","Quant.3.0","Quant","1","3","1",0.047914571102085,8.37069635806142e-85
"16","Sigma.3.0","Sigma","2","3","1",2.92628492058871,3.67278689098066e-32
"17","Connect.3.0","Connect","3","3","1",0.456374025152418,2.90834443099193e-13
"18","Tau1.3.0","Tau1","4","3","1",2825.02584520214,7.40584627987228e-07
"19","Tau2.3.0","Tau2","5","3","1",8959349.60924592,0.000156374336647985
"20","NPQ.3.0","NPQ","6","3","1",0.0232080297384064,4.63657788293587e-96
"21","qP.3.0","qP","7","3","1",0.172377045729065,1.67413927160765e-84
"22","ABQ.3.0","ABQ","8","3","1",0.352900628485834,3.67278689098066e-32
"23","qm.3.0","qm","9","3","1",0.86269850960846,8.37069635806142e-85
"24","nTau1.3.0","nTau1","10","3","1",4.04744771527631,7.40584627987228e-07
"25","nTau2.3.0","nTau2","11","3","1",7.21591915116549,0.000156374336647985
"26","nCon.3.0","nCon","12","3","1",1.39712818121393,2.90834443099193e-13
"27","Fm.3.0","Fm","13","3","1",3242.93167083386,4.63657788293587e-96
"28","Fo.3.0","Fo","14","3","1",3087.54799071249,1.67413927160765e-84
"29","Quant.4.0","Quant","1","4","1",0.0291058887856539,3.857366094514e-89
"30","Sigma.4.0","Sigma","2","4","1",2.46184010456643,2.93964403343846e-28
"31","Connect.4.0","Connect","3","4","1",0.54840448448591,8.24208488237717e-15
"32","Tau1.4.0","Tau1","4","4","1",5576.58732381047,5.28905753551942e-05
"33","Tau2.4.0","Tau2","5","4","1",6078096.55827858,1.99605932733988e-05
"34","NPQ.4.0","NPQ","6","4","1",-0.00222365322871811,2.91441867777189e-99
"35","qP.4.0","qP","7","4","1",0.0668140689930455,7.71473218873656e-89
