"","uni","metric","metrix","stage","col","barefoot2025.bpv1.003","pval"
"1","Quant.1.0","Quant","1","1","1",0.406077658268574,3.37484328007751e-54
"2","Sigma.1.0","Sigma","2","1","1",4.51746754929562,1.10582994343881e-48
"3","Connect.1.0","Connect","3","1","1",0.270282709770144,1.91298303665417e-14
"4","Tau1.1.0","Tau1","4","1","1",608.49821804801,1.18874903395603e-25
"5","Tau2.1.0","Tau2","5","1","1",574641.890655244,2.26344336445681e-23
"6","NPQ.1.0","NPQ","6","1","1",0.786366688562144,3.71726136207709e-84
"7","qP.1.0","qP","7","1","1",0.973627023828151,6.74968656015502e-54
"8","ABQ.1.0","ABQ","8","1","1",0,1.10582994343881e-48
"9","qm.1.0","qm","9","1","1",0,3.37484328007751e-54
"10","nTau1.1.0","nTau1","10","1","1",1,1.18874903395603e-25
"11","nTau2.1.0","nTau2","11","1","1",1,2.26344336445681e-23
"12","nCon.1.0","nCon","12","1","1",1,1.91298303665417e-14
"13","Fm.1.0","Fm","13","1","1",2082.48090026703,3.71726136207709e-84
"14","Fo.1.0","Fo","14","1","1",1236.83193289756,6.74968656015502e-54
"15","Quant.3.0","Quant","1","3","1",0.0888071284125736,9.12104271902694e-75
"16","Sigma.3.0","Sigma","2","3","1",3.10599394583058,4.68514898043279e-30
"17","Connect.3.0","Connect","3","3","1",0.153119865482165,0.0221966576244147
"18","Tau1.3.0","Tau1","4","3","1",1186.309447727,9.02135913383807e-12
"19","Tau2.3.0","Tau2","5","3","1",2677603.09409879,2.15247585164743e-19
"20","NPQ.3.0","NPQ","6","3","1",0.184058806241027,8.3783275443171e-91
"21","qP.3.0","qP","7","3","1",0.336125267261776,1.82420854380539e-74
"22","ABQ.3.0","ABQ","8","3","1",0.312447978444278,4.68514898043279e-30
"23","qm.3.0","qm","9","3","1",0.781305061718422,9.12104271902694e-75
"24","nTau1.3.0","nTau1","10","3","1",1.94956930446328,9.02135913383807e-12
"25","nTau2.3.0","nTau2","11","3","1",4.65960302867167,2.15247585164743e-19
"26","nCon.3.0","nCon","12","3","1",0.566517427668172,0.0221966576244147
"27","Fm.3.0","Fm","13","3","1",3141.79877738831,8.3783275443171e-91
"28","Fo.3.0","Fo","14","3","1",2862.78464991832,1.82420854380539e-74
