"","uni","metric","metrix","stage","col","barefoot2025.bpv24.003","pval"
"1","Quant.1.0","Quant","1","1","1",0.413094938954321,1.57912326645363e-52
"2","Sigma.1.0","Sigma","2","1","1",4.42876542184723,1.8040911928421e-47
"3","Connect.1.0","Connect","3","1","1",0.277113933252477,2.66635624190108e-14
"4","Tau1.1.0","Tau1","4","1","1",592.721580750295,1.38279160820519e-24
"5","Tau2.1.0","Tau2","5","1","1",656031.819976305,1.72587591479718e-20
"6","NPQ.1.0","NPQ","6","1","1",0.905432162302841,6.59918797832668e-83
"7","qP.1.0","qP","7","1","1",0.974507298325361,3.15824653290727e-52
"8","ABQ.1.0","ABQ","8","1","1",0,1.8040911928421e-47
"9","qm.1.0","qm","9","1","1",0,1.57912326645363e-52
"10","nTau1.1.0","nTau1","10","1","1",1,1.38279160820519e-24
"11","nTau2.1.0","nTau2","11","1","1",1,1.72587591479718e-20
"12","nCon.1.0","nCon","12","1","1",1,2.66635624190108e-14
"13","Fm.1.0","Fm","13","1","1",1938.16614976404,6.59918797832668e-83
"14","Fo.1.0","Fo","14","1","1",1137.51952244393,3.15824653290727e-52
"15","Quant.3.0","Quant","1","3","1",0.086492981228321,3.16693436793977e-74
"16","Sigma.3.0","Sigma","2","3","1",3.2412640099755,2.70167982537686e-29
"17","Connect.3.0","Connect","3","3","1",0.134970076789633,0.0524186197391671
"18","Tau1.3.0","Tau1","4","3","1",1542.14815786994,8.29156208172712e-09
"19","Tau2.3.0","Tau2","5","3","1",2524767.50783077,2.0653637901729e-19
"20","NPQ.3.0","NPQ","6","3","1",0.216279222625131,3.59708265285984e-91
"21","qP.3.0","qP","7","3","1",0.350567975726474,6.33386873587954e-74
"22","ABQ.3.0","ABQ","8","3","1",0.268133734519725,2.70167982537686e-29
"23","qm.3.0","qm","9","3","1",0.790622026386324,3.16693436793977e-74
"24","nTau1.3.0","nTau1","10","3","1",2.60180868717115,8.29156208172712e-09
"25","nTau2.3.0","nTau2","11","3","1",3.84854427933382,2.0653637901729e-19
"26","nCon.3.0","nCon","12","3","1",0.487056263124317,0.0524186197391671
"27","Fm.3.0","Fm","13","3","1",3036.34564247201,3.59708265285984e-91
"28","Fo.3.0","Fo","14","3","1",2773.72305581498,6.33386873587954e-74
"29","Quant.4.0","Quant","1","4","1",0.0808264433075149,1.28221679405631e-77
"30","Sigma.4.0","Sigma","2","4","1",3.06714525896142,3.56100539266175e-28
"31","Connect.4.0","Connect","3","4","1",0.0805456766354634,0.304764549899767
"32","Tau1.4.0","Tau1","4","4","1",2774.05187851331,3.63039297197242e-08
"33","Tau2.4.0","Tau2","5","4","1",2233181.81233782,6.5624736707233e-20
"34","NPQ.4.0","NPQ","6","4","1",0.213313165602349,2.65146619264639e-93
"35","qP.4.0","qP","7","4","1",0.341405196539808,2.56443358811262e-77
"36","ABQ.4.0","ABQ","8","4","1",0.307449149636351,3.56100539266175e-28
"37","qm.4.0","qm","9","4","1",0.804339303908895,1.28221679405631e-77
"38","nTau1.4.0","nTau1","10","4","1",4.6801938188277,3.63039297197242e-08
"39","nTau2.4.0","nTau2","11","4","1",3.40407544929525,6.5624736707233e-20
"40","nCon.4.0","nCon","12","4","1",0.290659064631292,0.304764549899767
"41","Fm.4.0","Fm","13","4","1",3043.76827215392,2.65146619264639e-93
"42","Fo.4.0","Fo","14","4","1",2797.75130846346,2.56443358811262e-77
"43","Quant.5.0","Quant","1","5","1",0.107938581151082,9.10335393715905e-76
"44","Sigma.5.0","Sigma","2","5","1",3.1871045674042,7.52504812603996e-34
"45","Connect.5.0","Connect","3","5","1",0.125166161361297,0.0240299912214293
"46","Tau1.5.0","Tau1","4","5","1",1333.43392971927,1.73492368208524e-09
"47","Tau2.5.0","Tau2","5","5","1",1660383.67545281,2.46626195255296e-20
"48","NPQ.5.0","NPQ","6","5","1",0.305591726797899,9.80006821664716e-94
"49","qP.5.0","qP","7","5","1",0.446056099228146,1.82067078743181e-75
"50","ABQ.5.0","ABQ","8","5","1",0.280362750376861,7.52504812603996e-34
"51","qm.5.0","qm","9","5","1",0.738707568230416,9.10335393715905e-76
"52","nTau1.5.0","nTau1","10","5","1",2.24968007412747,1.73492368208524e-09
"53","nTau2.5.0","nTau2","11","5","1",2.53094990958332,2.46626195255296e-20
"54","nCon.5.0","nCon","12","5","1",0.451677618271393,0.0240299912214293
