"","uni","metric","metrix","stage","col","barefoot2025.bpv10.003","pval"
"1","Quant.1.0","Quant","1","1","1",0.388264026664728,6.87601257674297e-53
"2","Sigma.1.0","Sigma","2","1","1",4.53538868454802,7.66205279927781e-46
"3","Connect.1.0","Connect","3","1","1",0.216547726382804,1.88942547089698e-09
"4","Tau1.1.0","Tau1","4","1","1",766.671715114242,5.26479009337343e-23
"5","Tau2.1.0","Tau2","5","1","1",589460.986740724,1.64294627839924e-21
"6","NPQ.1.0","NPQ","6","1","1",0.722367837952206,8.04778350457419e-83
"7","qP.1.0","qP","7","1","1",0.953407807800094,1.37520251534859e-52
"8","ABQ.1.0","ABQ","8","1","1",0,7.66205279927781e-46
"9","qm.1.0","qm","9","1","1",0,6.87601257674297e-53
"10","nTau1.1.0","nTau1","10","1","1",1,5.26479009337343e-23
"11","nTau2.1.0","nTau2","11","1","1",1,1.64294627839924e-21
"12","nCon.1.0","nCon","12","1","1",1,1.88942547089698e-09
"13","Fm.1.0","Fm","13","1","1",2291.36104361941,8.04778350457419e-83
"14","Fo.1.0","Fo","14","1","1",1401.70797828104,1.37520251534859e-52
"15","Quant.3.0","Quant","1","3","1",0.0707956611442351,1.53222636806852e-78
"16","Sigma.3.0","Sigma","2","3","1",2.97422713227003,1.54071844890119e-29
"17","Connect.3.0","Connect","3","3","1",0.207884943963834,0.00270227275464199
"18","Tau1.3.0","Tau1","4","3","1",1990.40509251345,3.16097719607933e-10
"19","Tau2.3.0","Tau2","5","3","1",3736734.37974683,1.61884820041219e-15
"20","NPQ.3.0","NPQ","6","3","1",0.104555784644801,5.20670925118157e-93
"21","qP.3.0","qP","7","3","1",0.234723287164011,3.06445273613703e-78
"22","ABQ.3.0","ABQ","8","3","1",0.344217808188489,1.54071844890119e-29
"23","qm.3.0","qm","9","3","1",0.817661034032988,1.53222636806852e-78
"24","nTau1.3.0","nTau1","10","3","1",2.59616345989347,3.16097719607933e-10
"25","nTau2.3.0","nTau2","11","3","1",6.33923951508336,1.61884820041219e-15
"26","nCon.3.0","nCon","12","3","1",0.959995966876803,0.00270227275464199
"27","Fm.3.0","Fm","13","3","1",3572.9898132178,5.20670925118157e-93
"28","Fo.3.0","Fo","14","3","1",3320.03763712943,3.06445273613703e-78
"29","Quant.4.0","Quant","1","4","1",0.0706651100596976,8.14875502711397e-80
"30","Sigma.4.0","Sigma","2","4","1",3.00852273391454,9.96637081106912e-28
"31","Connect.4.0","Connect","3","4","1",0.1049299999341,0.191291656708157
"32","Tau1.4.0","Tau1","4","4","1",2844.17309925895,2.2223695945515e-08
"33","Tau2.4.0","Tau2","5","4","1",2937939.46617196,1.44063839446792e-15
"34","NPQ.4.0","NPQ","6","4","1",0.0831582388484687,1.027252122699e-94
"35","qP.4.0","qP","7","4","1",0.209973668878478,1.62975100542279e-79
"36","ABQ.4.0","ABQ","8","4","1",0.336656030349831,9.96637081106912e-28
"37","qm.4.0","qm","9","4","1",0.817997277093306,8.14875502711397e-80
"38","nTau1.4.0","nTau1","10","4","1",3.70976657047422,2.2223695945515e-08
"39","nTau2.4.0","nTau2","11","4","1",4.98411181105734,1.44063839446792e-15
"40","nCon.4.0","nCon","12","4","1",0.484558308169944,0.191291656708157
"41","Fm.4.0","Fm","13","4","1",3643.57341810219,1.027252122699e-94
"42","Fo.4.0","Fo","14","4","1",3386.09990150141,1.62975100542279e-79
"43","Quant.5.0","Quant","1","5","1",0.0912635441558592,3.17467146104093e-76
"44","Sigma.5.0","Sigma","2","5","1",3.27830173037693,1.28790969252775e-30
"45","Connect.5.0","Connect","3","5","1",0.0377221288915879,0.57968271226838
"46","Tau1.5.0","Tau1","4","5","1",1884.51200639625,1.54015682576351e-11
"47","Tau2.5.0","Tau2","5","5","1",2446324.86409812,1.03709275426504e-16
"48","NPQ.5.0","NPQ","6","5","1",0.133666150777902,1.36498357543188e-94
"49","qP.5.0","qP","7","5","1",0.293356757467826,6.34934292208186e-76
"50","ABQ.5.0","ABQ","8","5","1",0.277172926425019,1.28790969252775e-30
"51","qm.5.0","qm","9","5","1",0.764944630745648,3.17467146104093e-76
"52","nTau1.5.0","nTau1","10","5","1",2.45804295273296,1.54015682576351e-11
"53","nTau2.5.0","nTau2","11","5","1",4.15010478916418,1.03709275426504e-16
"54","nCon.5.0","nCon","12","5","1",0.174197760104413,0.57968271226838
"55","Fm.5.0","Fm","13","5","1",3481.2423074982,1.36498357543188e-94
"56","Fo.5.0","Fo","14","5","1",3163.53179645059,6.34934292208186e-76
"57","Quant.6.0","Quant","1","6","1",0.099425963099566,4.88828516883765e-76
"58","Sigma.6.0","Sigma","2","6","1",3.28557405034835,6.22238660776456e-32
"59","Connect.6.0","Connect","3","6","1",0.0973354187044058,0.117112299758537
"60","Tau1.6.0","Tau1","4","6","1",1504.93005348781,4.68218329939128e-13
"61","Tau2.6.0","Tau2","5","6","1",2310054.46736367,9.4588918895852e-19
"62","NPQ.6.0","NPQ","6","6","1",0.159395169185909,4.51744119008762e-94
"63","qP.6.0","qP","7","6","1",0.330067473072727,9.7765703376753e-76
"64","ABQ.6.0","ABQ","8","6","1",0.275569465183385,6.22238660776456e-32
"65","qm.6.0","qm","9","6","1",0.743921774176051,4.88828516883765e-76
"66","nTau1.6.0","nTau1","10","6","1",1.96293931785857,4.68218329939128e-13
"67","nTau2.6.0","nTau2","11","6","1",3.91892681504934,9.4588918895852e-19
"68","nCon.6.0","nCon","12","6","1",0.449487142304788,0.117112299758537
"69","Fm.6.0","Fm","13","6","1",3403.98741650599,4.51744119008762e-94
