"","uni","metric","metrix","stage","col","cclong2025.lpv3.002","pval"
"1","Quant.1.0","Quant","1","1","1",0.386054864328786,1.3148837899263e-61
"2","Sigma.1.0","Sigma","2","1","1",5.17127288998687,1.16601502297569e-52
"3","Connect.1.0","Connect","3","1","1",0.263137538478455,1.53009756465549e-18
"4","Tau1.1.0","Tau1","4","1","1",507.099788251057,1.52878486008336e-26
"5","Tau2.1.0","Tau2","5","1","1",955575.881862119,3.23553429225416e-21
"6","NPQ.1.0","NPQ","6","1","1",0.764856634242075,2.05488598009409e-88
"7","qP.1.0","qP","7","1","1",0.944553294045602,2.6297675798526e-61
"8","ABQ.1.0","ABQ","8","1","1",0,1.16601502297569e-52
"9","qm.1.0","qm","9","1","1",0,1.3148837899263e-61
"10","nTau1.1.0","nTau1","10","1","1",1,1.52878486008336e-26
"11","nTau2.1.0","nTau2","11","1","1",1,3.23553429225416e-21
"12","nCon.1.0","nCon","12","1","1",1,1.53009756465549e-18
"13","Fm.1.0","Fm","13","1","1",1982.46281154763,2.05488598009409e-88
"14","Fo.1.0","Fo","14","1","1",1217.12339979875,2.6297675798526e-61
"15","Quant.3.0","Quant","1","3","1",0.0584872953046723,1.1376006475972e-77
"16","Sigma.3.0","Sigma","2","3","1",4.1129411321546,2.77349714555927e-21
"17","Connect.3.0","Connect","3","3","1",0.0969133572470194,0.398459409459187
"18","Tau1.3.0","Tau1","4","3","1",779.058270890289,3.72975308832892e-05
"19","Tau2.3.0","Tau2","5","3","1",3987745.09229538,4.03458095403265e-13
"20","NPQ.3.0","NPQ","6","3","1",0.0715969286083358,1.59023482114475e-88
"21","qP.3.0","qP","7","3","1",0.175827637114978,2.27520129517849e-77
"22","ABQ.3.0","ABQ","8","3","1",0.20465594841872,2.77349714555927e-21
"23","qm.3.0","qm","9","3","1",0.848500043105632,1.1376006475972e-77
"24","nTau1.3.0","nTau1","10","3","1",1.53630170814544,3.72975308832892e-05
"25","nTau2.3.0","nTau2","11","3","1",4.17313283851881,4.03458095403265e-13
"26","nCon.3.0","nCon","12","3","1",0.36829924687828,0.398459409459187
"27","Fm.3.0","Fm","13","3","1",3264.99876184026,1.59023482114475e-88
"28","Fo.3.0","Fo","14","3","1",3074.03781508712,2.27520129517849e-77
"29","Quant.4.0","Quant","1","4","1",0.0741934734808237,1.26332896297655e-76
"30","Sigma.4.0","Sigma","2","4","1",4.24562193378797,5.35083564675859e-23
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",1343.04916236326,2.51499959626174e-07
"33","Tau2.4.0","Tau2","5","4","1",3250462.81648231,6.90885360949265e-14
"34","NPQ.4.0","NPQ","6","4","1",0.127348468901941,9.79380405810514e-90
"35","qP.4.0","qP","7","4","1",0.25894124404227,2.52665792595299e-76
"36","ABQ.4.0","ABQ","8","4","1",0.178998667425044,5.35083564675859e-23
"37","qm.4.0","qm","9","4","1",0.80781624495311,1.26332896297655e-76
"38","nTau1.4.0","nTau1","10","4","1",2.64849087591876,2.51499959626174e-07
"39","nTau2.4.0","nTau2","11","4","1",3.40157477619482,6.90885360949265e-14
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3103.53252930383,9.79380405810514e-90
"42","Fo.4.0","Fo","14","4","1",2873.27067089405,2.52665792595299e-76
"43","Quant.5.0","Quant","1","5","1",0.0942293053790285,1.29598187187261e-76
"44","Sigma.5.0","Sigma","2","5","1",4.44732738462042,1.13375905256765e-30
"45","Connect.5.0","Connect","3","5","1",0.0743867301453731,0.272883826650153
"46","Tau1.5.0","Tau1","4","5","1",773.151500316254,1.74047051494511e-09
"47","Tau2.5.0","Tau2","5","5","1",2558283.44411135,5.30607945099272e-15
"48","NPQ.5.0","NPQ","6","5","1",0.228543623932885,4.37301872948227e-93
