"","uni","metric","metrix","stage","col","barefoot2025.bpv22.003","pval"
"1","Quant.1.0","Quant","1","1","1",0.401296702254764,6.80410849885138e-56
"2","Sigma.1.0","Sigma","2","1","1",4.3184145382826,1.41044263620578e-49
"3","Connect.1.0","Connect","3","1","1",0.282207416411433,2.84146506892097e-16
"4","Tau1.1.0","Tau1","4","1","1",524.739634156229,1.80276482944503e-25
"5","Tau2.1.0","Tau2","5","1","1",768406.213951657,4.52258146189152e-22
"6","NPQ.1.0","NPQ","6","1","1",0.859728209730252,2.91081610309203e-85
"7","qP.1.0","qP","7","1","1",0.987804893605911,1.36082169977028e-55
"8","ABQ.1.0","ABQ","8","1","1",0,1.41044263620578e-49
"9","qm.1.0","qm","9","1","1",0,6.80410849885138e-56
"10","nTau1.1.0","nTau1","10","1","1",1,1.80276482944503e-25
"11","nTau2.1.0","nTau2","11","1","1",1,4.52258146189152e-22
"12","nCon.1.0","nCon","12","1","1",1,2.84146506892097e-16
"13","Fm.1.0","Fm","13","1","1",2034.86459915996,2.91081610309203e-85
"14","Fo.1.0","Fo","14","1","1",1218.2801459821,1.36082169977028e-55
"15","Quant.3.0","Quant","1","3","1",0.1013185568988,7.75116248031674e-74
"16","Sigma.3.0","Sigma","2","3","1",3.07483832456546,4.05424363697642e-31
"17","Connect.3.0","Connect","3","3","1",0.162934572681776,0.00996877411634509
"18","Tau1.3.0","Tau1","4","3","1",1090.40315913866,1.12097860496812e-10
"19","Tau2.3.0","Tau2","5","3","1",1967476.53951692,2.14197039451841e-23
"20","NPQ.3.0","NPQ","6","3","1",0.230386841885509,1.66754843513381e-89
"21","qP.3.0","qP","7","3","1",0.392742452648456,1.55023249606335e-73
"22","ABQ.3.0","ABQ","8","3","1",0.287970550926244,4.05424363697642e-31
"23","qm.3.0","qm","9","3","1",0.747522079475056,7.75116248031674e-74
"24","nTau1.3.0","nTau1","10","3","1",2.07798894568353,1.12097860496812e-10
"25","nTau2.3.0","nTau2","11","3","1",2.56046411884001,2.14197039451841e-23
"26","nCon.3.0","nCon","12","3","1",0.577357515098867,0.00996877411634509
"27","Fm.3.0","Fm","13","3","1",3075.69535792496,1.66754843513381e-89
"28","Fo.3.0","Fo","14","3","1",2764.07034279967,1.55023249606335e-73
"29","Quant.4.0","Quant","1","4","1",0.0954061852452469,2.78738652897591e-77
"30","Sigma.4.0","Sigma","2","4","1",2.89795318335304,1.33814284956167e-32
"31","Connect.4.0","Connect","3","4","1",0.183898606344518,0.00226559320271112
"32","Tau1.4.0","Tau1","4","4","1",1187.92449996693,3.48460245266673e-09
"33","Tau2.4.0","Tau2","5","4","1",1771967.89861042,8.88707152220208e-24
"34","NPQ.4.0","NPQ","6","4","1",0.224881198800924,8.81578850401171e-93
"35","qP.4.0","qP","7","4","1",0.380927958926654,5.57477305795182e-77
