"","uni","metric","metrix","stage","col","cclong2025.lpv23.002","pval"
"1","Quant.1.0","Quant","1","1","1",0.364804152684684,1.59353881181341e-59
"2","Sigma.1.0","Sigma","2","1","1",6.00449609060958,6.53978242427143e-50
"3","Connect.1.0","Connect","3","1","1",0.259683649948918,2.58363746200176e-15
"4","Tau1.1.0","Tau1","4","1","1",558.446579456941,3.9210700744226e-24
"5","Tau2.1.0","Tau2","5","1","1",999707.452650822,5.67593357331651e-19
"6","NPQ.1.0","NPQ","6","1","1",0.606401949814007,2.84956004768388e-87
"7","qP.1.0","qP","7","1","1",0.924104807924484,3.18707762362682e-59
"8","ABQ.1.0","ABQ","8","1","1",0,6.53978242427143e-50
"9","qm.1.0","qm","9","1","1",0,1.59353881181341e-59
"10","nTau1.1.0","nTau1","10","1","1",1,3.9210700744226e-24
"11","nTau2.1.0","nTau2","11","1","1",1,5.67593357331651e-19
"12","nCon.1.0","nCon","12","1","1",1,2.58363746200176e-15
"13","Fm.1.0","Fm","13","1","1",2411.11302629776,2.84956004768388e-87
"14","Fo.1.0","Fo","14","1","1",1531.5289817122,3.18707762362682e-59
"15","Quant.3.0","Quant","1","3","1",0.0423911892434986,8.35707085534141e-82
"16","Sigma.3.0","Sigma","2","3","1",4.78216338531074,1.93544689318734e-16
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",5146.31186166695,0.000104002966733734
"19","Tau2.3.0","Tau2","5","3","1",5694612.46964647,5.32078929942032e-08
"20","NPQ.3.0","NPQ","6","3","1",0.0240652002696165,2.73354896817826e-93
"21","qP.3.0","qP","7","3","1",0.0991912091826064,1.67141417106555e-81
"22","ABQ.3.0","ABQ","8","3","1",0.203569573008873,1.93544689318734e-16
"23","qm.3.0","qm","9","3","1",0.88379740490471,8.35707085534141e-82
"24","nTau1.3.0","nTau1","10","3","1",9.21540582569501,0.000104002966733734
"25","nTau2.3.0","nTau2","11","3","1",5.69627890093911,5.32078929942032e-08
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3782.19733045017,2.73354896817826e-93
"28","Fo.3.0","Fo","14","3","1",3621.86548765881,1.67141417106555e-81
"29","Quant.4.0","Quant","1","4","1",0.0547437129134648,3.66620650999756e-81
"30","Sigma.4.0","Sigma","2","4","1",4.95064745277326,3.32289562520102e-23
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",2489.06774847922,1.16426482819313e-06
"33","Tau2.4.0","Tau2","5","4","1",3383122.29600773,5.05115231133681e-15
"34","NPQ.4.0","NPQ","6","4","1",0.0301866118126982,8.48959203974487e-98
"35","qP.4.0","qP","7","4","1",0.126011718064239,7.33241301999511e-81
"36","ABQ.4.0","ABQ","8","4","1",0.175509921554355,3.32289562520102e-23
"37","qm.4.0","qm","9","4","1",0.849936705734866,3.66620650999756e-81
"38","nTau1.4.0","nTau1","10","4","1",4.45712775409905,1.16426482819313e-06
"39","nTau2.4.0","nTau2","11","4","1",3.38411230909307,5.05115231133681e-15
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3759.72335716092,8.48959203974487e-98
"42","Fo.4.0","Fo","14","4","1",3553.90214106245,7.33241301999511e-81
"43","Quant.5.0","Quant","1","5","1",0.081529885042684,1.6241803310003e-77
"44","Sigma.5.0","Sigma","2","5","1",4.54409688178983,1.60848993746764e-28
"45","Connect.5.0","Connect","3","5","1",0.0799616221997508,0.297130250338278
"46","Tau1.5.0","Tau1","4","5","1",1115.25752453155,3.49007912334647e-08
"47","Tau2.5.0","Tau2","5","5","1",2445425.82705742,1.63549767436299e-16
"48","NPQ.5.0","NPQ","6","5","1",0.0700320045730101,8.4077290706631e-94
"49","qP.5.0","qP","7","5","1",0.216499697290993,3.24836066200059e-77
"50","ABQ.5.0","ABQ","8","5","1",0.243217613398678,1.60848993746764e-28
"51","qm.5.0","qm","9","5","1",0.776510534645274,1.6241803310003e-77
"52","nTau1.5.0","nTau1","10","5","1",1.99707109964945,3.49007912334647e-08
"53","nTau2.5.0","nTau2","11","5","1",2.44614143925118,1.63549767436299e-16
"54","nCon.5.0","nCon","12","5","1",0.307919355783392,0.297130250338278
"55","Fm.5.0","Fm","13","5","1",3619.7203916459,8.4077290706631e-94
"56","Fo.5.0","Fo","14","5","1",3324.60500422835,3.24836066200059e-77
"57","Quant.6.0","Quant","1","6","1",0.102425131274641,7.92529975276312e-76
"58","Sigma.6.0","Sigma","2","6","1",4.49540813782204,1.49162505740614e-32
"59","Connect.6.0","Connect","3","6","1",0.130796407264181,0.0291930358251867
"60","Tau1.6.0","Tau1","4","6","1",829.54226127501,9.05181111503314e-09
"61","Tau2.6.0","Tau2","5","6","1",1988338.92965884,6.01749726627005e-16
"62","NPQ.6.0","NPQ","6","6","1",0.134741507336415,5.55756214023037e-93
"63","qP.6.0","qP","7","6","1",0.319463103982439,1.58505995055262e-75
"64","ABQ.6.0","ABQ","8","6","1",0.251326327807525,1.49162505740614e-32
"65","qm.6.0","qm","9","6","1",0.719232551162401,7.92529975276312e-76
"66","nTau1.6.0","nTau1","10","6","1",1.48544604227264,9.05181111503314e-09
"67","nTau2.6.0","nTau2","11","6","1",1.98892078316168,6.01749726627005e-16
"68","nCon.6.0","nCon","12","6","1",0.503675942978735,0.0291930358251867
"69","Fm.6.0","Fm","13","6","1",3413.30306649158,5.55756214023037e-93
"70","Fo.6.0","Fo","14","6","1",3063.69505182605,1.58505995055262e-75
"71","Quant.7.0","Quant","1","7","1",0.101914709625171,6.108123107675e-77
"72","Sigma.7.0","Sigma","2","7","1",4.48785694209194,1.03509497236804e-33
"73","Connect.7.0","Connect","3","7","1",0.105247502648709,0.0613917193804245
"74","Tau1.7.0","Tau1","4","7","1",1045.47224062368,1.4158860089326e-09
"75","Tau2.7.0","Tau2","5","7","1",2170855.90517968,2.72034226689381e-15
"76","NPQ.7.0","NPQ","6","7","1",0.18521948613222,2.36527863311187e-94
"77","qP.7.0","qP","7","7","1",0.37029699170901,1.221624621535e-76
"78","ABQ.7.0","ABQ","8","7","1",0.252583918055923,1.03509497236804e-33
"79","qm.7.0","qm","9","7","1",0.720631717388206,6.108123107675e-77
"80","nTau1.7.0","nTau1","10","7","1",1.87210787760639,1.4158860089326e-09
"81","nTau2.7.0","nTau2","11","7","1",2.17149116916498,2.72034226689381e-15
"82","nCon.7.0","nCon","12","7","1",0.405291217484861,0.0613917193804245
"83","Fm.7.0","Fm","13","7","1",3267.93198389465,2.36527863311187e-94
"84","Fo.7.0","Fo","14","7","1",2934.88164468122,1.221624621535e-76
"85","Quant.8.0","Quant","1","8","1",0.110050280962449,5.2826236083865e-77
"86","Sigma.8.0","Sigma","2","8","1",4.46496695947289,1.62797901713352e-35
"87","Connect.8.0","Connect","3","8","1",0.170847579695527,0.000839968061775959
"88","Tau1.8.0","Tau1","4","8","1",698.869879860478,3.61198776308637e-10
"89","Tau2.8.0","Tau2","5","8","1",1925212.93270396,1.25279520331832e-16
"90","NPQ.8.0","NPQ","6","8","1",0.240737141869394,3.38517637152274e-94
"91","qP.8.0","qP","7","8","1",0.432143793871133,1.0565247216773e-76
"92","ABQ.8.0","ABQ","8","8","1",0.256396058537594,1.62797901713352e-35
"93","qm.8.0","qm","9","8","1",0.6983305147363,5.2826236083865e-77
"94","nTau1.8.0","nTau1","10","8","1",1.25145341661881,3.61198776308637e-10
"95","nTau2.8.0","nTau2","11","8","1",1.92577631345957,1.25279520331832e-16
"96","nCon.8.0","nCon","12","8","1",0.657906571049562,0.000839968061775959
"97","Fm.8.0","Fm","13","8","1",3121.70606969255,3.38517637152274e-94
"98","Fo.8.0","Fo","14","8","1",2778.1614396407,1.0565247216773e-76
"99","Quant.9.0","Quant","1","9","1",0.118832626014944,5.34038796068852e-73
"100","Sigma.9.0","Sigma","2","9","1",4.55533971297138,4.2704399824038e-33
"101","Connect.9.0","Connect","3","9","1",0.0917647740669369,0.113430108712795
"102","Tau1.9.0","Tau1","4","9","1",671.418060778297,1.6788957949443e-11
"103","Tau2.9.0","Tau2","5","9","1",2078416.16509874,9.51639068925307e-15
"104","NPQ.9.0","NPQ","6","9","1",0.297105204436385,2.65961646009049e-91
"105","qP.9.0","qP","7","9","1",0.490136753816095,1.0680775921377e-72
"106","ABQ.9.0","ABQ","8","9","1",0.241345211283348,4.2704399824038e-33
"107","qm.9.0","qm","9","9","1",0.674256378003307,5.34038796068852e-73
"108","nTau1.9.0","nTau1","10","9","1",1.2022959500105,1.6788957949443e-11
"109","nTau2.9.0","nTau2","11","9","1",2.07902437816945,9.51639068925307e-15
"110","nCon.9.0","nCon","12","9","1",0.353371396639672,0.113430108712795
"111","Fm.9.0","Fm","13","9","1",2986.04666253702,2.65961646009049e-91
"112","Fo.9.0","Fo","14","9","1",2631.20689622459,1.0680775921377e-72
"113","Quant.10.0","Quant","1","10","1",0.238657132660364,2.28178566899836e-70
"114","Sigma.10.0","Sigma","2","10","1",4.90858940804657,7.73249367655206e-48
"115","Connect.10.0","Connect","3","10","1",0.171447197500687,1.92336961662827e-09
"116","Tau1.10.0","Tau1","4","10","1",773.71900156774,5.64075737719706e-18
"117","Tau2.10.0","Tau2","5","10","1",1081385.61112616,4.8957597952035e-16
"118","NPQ.10.0","NPQ","6","10","1",0.595590214216146,1.53667424713777e-93
"119","qP.10.0","qP","7","10","1",0.799166958747323,4.56357133799671e-70
"120","ABQ.10.0","ABQ","8","10","1",0.182514346920285,7.73249367655206e-48
"121","qm.10.0","qm","9","10","1",0.345793815931022,2.28178566899836e-70
"122","nTau1.10.0","nTau1","10","10","1",1.38548435970391,5.64075737719706e-18
"123","nTau2.10.0","nTau2","11","10","1",1.08170206019647,4.8957597952035e-16
"124","nCon.10.0","nCon","12","10","1",0.660215602847587,1.92336961662827e-09
"125","Fm.10.0","Fm","13","10","1",2427.45075280462,1.53667424713777e-93
"126","Fo.10.0","Fo","14","10","1",1848.12231646603,4.56357133799671e-70
"127","Quant.11.0","Quant","1","11","1",0.249710457880889,4.81382137752757e-71
"128","Sigma.11.0","Sigma","2","11","1",4.82305975754455,8.26108982084557e-50
"129","Connect.11.0","Connect","3","11","1",0.203351717671866,5.43704588402012e-13
"130","Tau1.11.0","Tau1","4","11","1",792.914284193607,1.7966373536644e-18
"131","Tau2.11.0","Tau2","5","11","1",1023582.8690612,5.95625023876371e-16
"132","NPQ.11.0","NPQ","6","11","1",0.578143805923522,4.14224923024898e-94
"133","qP.11.0","qP","7","11","1",0.801809808476173,9.62764275505513e-71
"134","ABQ.11.0","ABQ","8","11","1",0.196758614750816,8.26108982084557e-50
"135","qm.11.0","qm","9","11","1",0.315494475478944,4.81382137752757e-71
"136","nTau1.11.0","nTau1","10","11","1",1.41985699861332,1.7966373536644e-18
"137","nTau2.11.0","nTau2","11","11","1",1.02388240314411,5.95625023876371e-16
"138","nCon.11.0","nCon","12","11","1",0.78307478238182,5.43704588402012e-13
"139","Fm.11.0","Fm","13","11","1",2454.28626474257,4.14224923024898e-94
"140","Fo.11.0","Fo","14","11","1",1841.42531780293,9.62764275505513e-71
"141","Quant.12.0","Quant","1","12","1",0.252771638431335,2.44940478532933e-72
"142","Sigma.12.0","Sigma","2","12","1",4.85332951776437,1.8734974228322e-51
"143","Connect.12.0","Connect","3","12","1",0.210080173609855,1.06867888104635e-14
"144","Tau1.12.0","Tau1","4","12","1",807.607908970695,9.32480959702291e-18
"145","Tau2.12.0","Tau2","5","12","1",1020662.28005099,3.03086138177689e-15
"146","NPQ.12.0","NPQ","6","12","1",0.56684801113094,1.73793117518404e-95
"147","qP.12.0","qP","7","12","1",0.79955720426331,4.89880957065867e-72
"148","ABQ.12.0","ABQ","8","12","1",0.191717432316346,1.8734974228322e-51
"149","qm.12.0","qm","9","12","1",0.307103176948164,2.44940478532933e-72
"150","nTau1.12.0","nTau1","10","12","1",1.44616860175963,9.32480959702291e-18
"151","nTau2.12.0","nTau2","11","12","1",1.02096095947329,3.03086138177689e-15
"152","nCon.12.0","nCon","12","12","1",0.808984984812018,1.06867888104635e-14
"153","Fm.12.0","Fm","13","12","1",2471.97982136826,1.73793117518404e-95
"154","Fo.12.0","Fo","14","12","1",1847.1334317518,4.89880957065867e-72
"155","Quant.13.0","Quant","1","13","1",0.254797177045177,1.77747234177756e-70
"156","Sigma.13.0","Sigma","2","13","1",4.78234474616124,8.21637365937086e-50
"157","Connect.13.0","Connect","3","13","1",0.209253507130233,2.47938195410943e-13
"158","Tau1.13.0","Tau1","4","13","1",813.788867952807,6.54567957495721e-18
"159","Tau2.13.0","Tau2","5","13","1",1045753.59856999,4.71433639702373e-15
"160","NPQ.13.0","NPQ","6","13","1",0.558306725380448,1.8292945977141e-93
"161","qP.13.0","qP","7","13","1",0.797548587511919,3.55494468355512e-70
"162","ABQ.13.0","ABQ","8","13","1",0.203539368833907,8.21637365937086e-50
"163","qm.13.0","qm","9","13","1",0.301550776848175,1.77747234177756e-70
"164","nTau1.13.0","nTau1","10","13","1",1.45723673111969,6.54567957495721e-18
"165","nTau2.13.0","nTau2","11","13","1",1.04605962053907,4.71433639702373e-15
"166","nCon.13.0","nCon","12","13","1",0.805801625059549,2.47938195410943e-13
"167","Fm.13.0","Fm","13","13","1",2485.52907048582,1.8292945977141e-93
"168","Fo.13.0","Fo","14","13","1",1852.22327986231,3.55494468355512e-70
"169","Quant.14.0","Quant","1","14","1",0.260977854887136,1.92020408706742e-69
"170","Sigma.14.0","Sigma","2","14","1",4.79627865450216,5.05279271017919e-49
"171","Connect.14.0","Connect","3","14","1",0.195811044079726,5.93464693958454e-12
"172","Tau1.14.0","Tau1","4","14","1",785.849116200591,2.47423288444994e-18
"173","Tau2.14.0","Tau2","5","14","1",997688.562323577,1.63929175840786e-15
"174","NPQ.14.0","NPQ","6","14","1",0.553849309300119,9.38009646404652e-93
"175","qP.14.0","qP","7","14","1",0.801531601189164,3.84040817413484e-69
"176","ABQ.14.0","ABQ","8","14","1",0.20121878969943,5.05279271017919e-49
"177","qm.14.0","qm","9","14","1",0.284608322118772,1.92020408706742e-69
"178","nTau1.14.0","nTau1","10","14","1",1.40720553246971,2.47423288444994e-18
"179","nTau2.14.0","nTau2","11","14","1",0.997980518878906,1.63929175840786e-15
"180","nCon.14.0","nCon","12","14","1",0.754036860303849,5.93464693958454e-12
"181","Fm.14.0","Fm","13","14","1",2492.65912948227,9.38009646404652e-93
"182","Fo.14.0","Fo","14","14","1",1842.13029690515,3.84040817413484e-69
"183","Quant.15.0","Quant","1","15","1",0.265169836884887,1.44346368446818e-67
"184","Sigma.15.0","Sigma","2","15","1",4.86601616256188,8.48820339920057e-48
"185","Connect.15.0","Connect","3","15","1",0.203106833189234,1.44838798333191e-11
"186","Tau1.15.0","Tau1","4","15","1",811.007932256393,1.61639298545506e-17
"187","Tau2.15.0","Tau2","5","15","1",987111.714784296,2.48283161957046e-14
"188","NPQ.15.0","NPQ","6","15","1",0.547605913293722,3.24637464885013e-91
"189","qP.15.0","qP","7","15","1",0.802739081031978,2.88692736893636e-67
"190","ABQ.15.0","ABQ","8","15","1",0.189604574783247,8.48820339920057e-48
"191","qm.15.0","qm","9","15","1",0.273117274204703,1.44346368446818e-67
"192","nTau1.15.0","nTau1","10","15","1",1.45225696080913,1.61639298545506e-17
"193","nTau2.15.0","nTau2","11","15","1",0.987400576205441,2.48283161957046e-14
"194","nCon.15.0","nCon","12","15","1",0.782131771596659,1.44838798333191e-11
"195","Fm.15.0","Fm","13","15","1",2502.71508618329,3.24637464885013e-91
"196","Fo.15.0","Fo","14","15","1",1839.07053501072,2.88692736893636e-67
"197","Quant.16.0","Quant","1","16","1",0.0880821447107111,4.49100703207278e-75
"198","Sigma.16.0","Sigma","2","16","1",4.53898476841095,4.67290397185148e-27
"199","Connect.16.0","Connect","3","16","1",0.0468063951101808,0.57948062326712
"200","Tau1.16.0","Tau1","4","16","1",626.133808461893,1.24677138433491e-09
"201","Tau2.16.0","Tau2","5","16","1",3030378.85956757,1.72904661796846e-12
"202","NPQ.16.0","NPQ","6","16","1",0.206048777323907,2.67585290645646e-91
"203","qP.16.0","qP","7","16","1",0.37276906248598,8.98201406414557e-75
"204","ABQ.16.0","ABQ","8","16","1",0.244068994314201,4.67290397185148e-27
"205","qm.16.0","qm","9","16","1",0.758549500978833,4.49100703207278e-75
