"","uni","metric","metrix","stage","col","barefoot2025.bpv26.002","pval"
"1","Quant.1.0","Quant","1","1","1",0.409566170622474,3.18644214282661e-56
"2","Sigma.1.0","Sigma","2","1","1",5.77514345824456,4.1796180212459e-50
"3","Connect.1.0","Connect","3","1","1",0.27590318752404,1.6512510538436e-16
"4","Tau1.1.0","Tau1","4","1","1",528.243006444048,5.30114691301121e-21
"5","Tau2.1.0","Tau2","5","1","1",680507.681355744,1.15756540266473e-15
"6","NPQ.1.0","NPQ","6","1","1",0.943130086953383,6.60181636722682e-85
"7","qP.1.0","qP","7","1","1",0.963914925124692,6.37288428565321e-56
"8","ABQ.1.0","ABQ","8","1","1",0,4.1796180212459e-50
"9","qm.1.0","qm","9","1","1",0,3.18644214282661e-56
"10","nTau1.1.0","nTau1","10","1","1",1,5.30114691301121e-21
"11","nTau2.1.0","nTau2","11","1","1",1,1.15756540266473e-15
"12","nCon.1.0","nCon","12","1","1",1,1.6512510538436e-16
"13","Fm.1.0","Fm","13","1","1",1919.95809051669,6.60181636722682e-85
"14","Fo.1.0","Fo","14","1","1",1133.60820762813,6.37288428565321e-56
"15","Quant.3.0","Quant","1","3","1",0.0726513906723075,1.22258008905095e-73
"16","Sigma.3.0","Sigma","2","3","1",4.37415826237301,2.04123680581593e-22
"17","Connect.3.0","Connect","3","3","1",0.0528439109936114,0.628277040146527
"18","Tau1.3.0","Tau1","4","3","1",849.080678391338,9.87095281078022e-06
"19","Tau2.3.0","Tau2","5","3","1",2654694.26572403,6.76357306542598e-16
"20","NPQ.3.0","NPQ","6","3","1",0.169066506663887,2.15426309852994e-87
"21","qP.3.0","qP","7","3","1",0.286292441452607,2.44516017810188e-73
"22","ABQ.3.0","ABQ","8","3","1",0.242588812901524,2.04123680581593e-22
"23","qm.3.0","qm","9","3","1",0.822613790191975,1.22258008905095e-73
"24","nTau1.3.0","nTau1","10","3","1",1.60736757142713,9.87095281078022e-06
"25","nTau2.3.0","nTau2","11","3","1",3.90104966990998,6.76357306542598e-16
"26","nCon.3.0","nCon","12","3","1",0.191530628797128,0.628277040146527
"27","Fm.3.0","Fm","13","3","1",3191.20281875046,2.15426309852994e-87
"28","Fo.3.0","Fo","14","3","1",2959.35749605085,2.44516017810188e-73
"29","Quant.4.0","Quant","1","4","1",0.0949562520942673,7.12688016415924e-75
"30","Sigma.4.0","Sigma","2","4","1",4.42455912910361,5.27603945862022e-28
"31","Connect.4.0","Connect","3","4","1",0.0254740295267669,0.752712040184049
"32","Tau1.4.0","Tau1","4","4","1",722.987819320869,4.36334597127437e-07
"33","Tau2.4.0","Tau2","5","4","1",1880582.3958206,1.73402520326067e-19
"34","NPQ.4.0","NPQ","6","4","1",0.231847713738652,9.76648804307084e-91
"35","qP.4.0","qP","7","4","1",0.367342002425136,1.42537603283185e-74
"36","ABQ.4.0","ABQ","8","4","1",0.233861606885776,5.27603945862022e-28
"37","qm.4.0","qm","9","4","1",0.768154064213973,7.12688016415924e-75
"38","nTau1.4.0","nTau1","10","4","1",1.36866519859444,4.36334597127437e-07
"39","nTau2.4.0","nTau2","11","4","1",2.76349914533515,1.73402520326067e-19
"40","nCon.4.0","nCon","12","4","1",0.0923295948675739,0.752712040184049
"41","Fm.4.0","Fm","13","4","1",3028.56293823025,9.76648804307084e-91
"42","Fo.4.0","Fo","14","4","1",2740.9819523843,1.42537603283185e-74
"43","Quant.5.0","Quant","1","5","1",0.122466676527702,2.96488257954597e-73
"44","Sigma.5.0","Sigma","2","5","1",4.27339411698514,2.88050987237229e-33
"45","Connect.5.0","Connect","3","5","1",0.128206672443325,0.0268561354515202
"46","Tau1.5.0","Tau1","4","5","1",851.96167526035,6.534111723997e-11
"47","Tau2.5.0","Tau2","5","5","1",1567883.57589146,2.33966867985177e-19
"48","NPQ.5.0","NPQ","6","5","1",0.348949164063074,7.26669167225471e-90
"49","qP.5.0","qP","7","5","1",0.483892489030091,5.92976515909195e-73
"50","ABQ.5.0","ABQ","8","5","1",0.260036716337415,2.88050987237229e-33
"51","qm.5.0","qm","9","5","1",0.700984394434794,2.96488257954597e-73
"52","nTau1.5.0","nTau1","10","5","1",1.61282149478034,6.534111723997e-11
