"","uni","metric","metrix","stage","col","cclong2025.lpv11.002","pval"
"1","Quant.1.0","Quant","1","1","1",0.374300742013338,1.08324319639114e-60
"2","Sigma.1.0","Sigma","2","1","1",5.81402509290694,1.77172967254745e-51
"3","Connect.1.0","Connect","3","1","1",0.256633381952717,1.59812599275505e-16
"4","Tau1.1.0","Tau1","4","1","1",529.198035998189,2.55118690941379e-25
"5","Tau2.1.0","Tau2","5","1","1",839202.841170702,2.26469196575636e-19
"6","NPQ.1.0","NPQ","6","1","1",0.725664997242297,2.53271204237815e-88
"7","qP.1.0","qP","7","1","1",1.00936846296973,2.16648639278228e-60
"8","ABQ.1.0","ABQ","8","1","1",0,1.77172967254745e-51
"9","qm.1.0","qm","9","1","1",0,1.08324319639114e-60
"10","nTau1.1.0","nTau1","10","1","1",1,2.55118690941379e-25
"11","nTau2.1.0","nTau2","11","1","1",1,2.26469196575636e-19
"12","nCon.1.0","nCon","12","1","1",1,1.59812599275505e-16
"13","Fm.1.0","Fm","13","1","1",1975.37658858563,2.53271204237815e-88
"14","Fo.1.0","Fo","14","1","1",1235.99166572225,2.16648639278228e-60
"15","Quant.3.0","Quant","1","3","1",0.0545416253551118,1.10807299691408e-77
"16","Sigma.3.0","Sigma","2","3","1",4.09322294408564,8.8691846071997e-22
"17","Connect.3.0","Connect","3","3","1",0.216957287732766,0.0481725973951724
"18","Tau1.3.0","Tau1","4","3","1",873.515452913086,3.07224171739743e-05
"19","Tau2.3.0","Tau2","5","3","1",3395423.15978786,1.09320510106749e-14
"20","NPQ.3.0","NPQ","6","3","1",0.0873515285378477,1.16525646034122e-88
"21","qP.3.0","qP","7","3","1",0.206641971104375,2.2161459938165e-77
"22","ABQ.3.0","ABQ","8","3","1",0.295974324383406,8.8691846071997e-22
"23","qm.3.0","qm","9","3","1",0.854283950756453,1.10807299691408e-77
"24","nTau1.3.0","nTau1","10","3","1",1.65064001279868,3.07224171739743e-05
"25","nTau2.3.0","nTau2","11","3","1",4.04601008625183,1.09320510106749e-14
"26","nCon.3.0","nCon","12","3","1",0.845397765800937,0.0481725973951724
"27","Fm.3.0","Fm","13","3","1",3134.99190080503,1.16525646034122e-88
"28","Fo.3.0","Fo","14","3","1",2964.00434706001,2.2161459938165e-77
"29","Quant.4.0","Quant","1","4","1",0.0666864657861257,2.28041922061174e-82
"30","Sigma.4.0","Sigma","2","4","1",4.10837886316047,3.90674925568424e-30
"31","Connect.4.0","Connect","3","4","1",0.184331465191127,0.0082215624338629
"32","Tau1.4.0","Tau1","4","4","1",2002.8798680019,3.43568074054632e-06
"33","Tau2.4.0","Tau2","5","4","1",2980940.417796,2.76580202183148e-14
"34","NPQ.4.0","NPQ","6","4","1",0.0995726841360243,2.8598171932686e-96
"35","qP.4.0","qP","7","4","1",0.239435574228871,4.56083844122346e-82
"36","ABQ.4.0","ABQ","8","4","1",0.29336753840766,3.90674925568424e-30
"37","qm.4.0","qm","9","4","1",0.821837206553683,2.28041922061174e-82
"38","nTau1.4.0","nTau1","10","4","1",3.7847454672125,3.43568074054632e-06
"39","nTau2.4.0","nTau2","11","4","1",3.55210953961683,2.76580202183148e-14
"40","nCon.4.0","nCon","12","4","1",0.718267685164545,0.0082215624338629
"41","Fm.4.0","Fm","13","4","1",3100.14816162205,2.8598171932686e-96
"42","Fo.4.0","Fo","14","4","1",2893.41023731012,4.56083844122346e-82
"43","Quant.5.0","Quant","1","5","1",0.0796994441916535,7.5967227248093e-77
"44","Sigma.5.0","Sigma","2","5","1",4.24740925333586,4.1244206686154e-29
"45","Connect.5.0","Connect","3","5","1",0.208452109611573,0.00396072401099168
"46","Tau1.5.0","Tau1","4","5","1",1006.59463936107,1.45221480035986e-07
"47","Tau2.5.0","Tau2","5","5","1",2183486.12921696,3.47858951045908e-17
"48","NPQ.5.0","NPQ","6","5","1",0.145874500014287,3.18952936671299e-92
"49","qP.5.0","qP","7","5","1",0.311730245538453,1.51934454496186e-76
"50","ABQ.5.0","ABQ","8","5","1",0.269454605808692,4.1244206686154e-29
"51","qm.5.0","qm","9","5","1",0.7870711028705,7.5967227248093e-77
"52","nTau1.5.0","nTau1","10","5","1",1.90211333166118,1.45221480035986e-07
"53","nTau2.5.0","nTau2","11","5","1",2.60185740812193,3.47858951045908e-17
"54","nCon.5.0","nCon","12","5","1",0.812256410391609,0.00396072401099168
"55","Fm.5.0","Fm","13","5","1",2974.87921692264,3.18952936671299e-92
"56","Fo.5.0","Fo","14","5","1",2737.7829967966,1.51934454496186e-76
"57","Quant.6.0","Quant","1","6","1",0.106583712712431,4.88405310707115e-76
"58","Sigma.6.0","Sigma","2","6","1",4.3898313938859,2.48038189974422e-34
"59","Connect.6.0","Connect","3","6","1",0.149853518457438,0.00547008732103215
"60","Tau1.6.0","Tau1","4","6","1",815.903344811041,4.62717869066965e-10
"61","Tau2.6.0","Tau2","5","6","1",1864423.48799489,5.80694370100279e-17
"62","NPQ.6.0","NPQ","6","6","1",0.207615926863855,2.32428143144915e-93
"63","qP.6.0","qP","7","6","1",0.412006353699967,9.76810621414231e-76
"64","ABQ.6.0","ABQ","8","6","1",0.244958299330106,2.48038189974422e-34
"65","qm.6.0","qm","9","6","1",0.715245788348897,4.88405310707115e-76
"66","nTau1.6.0","nTau1","10","6","1",1.54177319133859,4.62717869066965e-10
"67","nTau2.6.0","nTau2","11","6","1",2.22166012378364,5.80694370100279e-17
"68","nCon.6.0","nCon","12","6","1",0.583920600341259,0.00547008732103215
"69","Fm.6.0","Fm","13","6","1",2822.78343591143,2.32428143144915e-93
"70","Fo.6.0","Fo","14","6","1",2521.92069712884,9.76810621414231e-76
"71","Quant.7.0","Quant","1","7","1",0.114593162837387,8.73257179113981e-75
"72","Sigma.7.0","Sigma","2","7","1",4.55028841132969,3.17940027914521e-34
"73","Connect.7.0","Connect","3","7","1",0.136290876808294,0.0120376010136397
"74","Tau1.7.0","Tau1","4","7","1",1057.13709973724,6.06318520380249e-11
"75","Tau2.7.0","Tau2","5","7","1",1933213.82030607,7.39976306133594e-16
