"","uni","metric","metrix","stage","col","cclong2025.lpv25.004","pval"
"1","Quant.1.0","Quant","1","1","1",0.396256825798156,3.58376862319297e-58
"2","Sigma.1.0","Sigma","2","1","1",4.04308959197549,2.95052034743376e-50
"3","Connect.1.0","Connect","3","1","1",0.254123966720239,6.13613950344673e-16
"4","Tau1.1.0","Tau1","4","1","1",503.048774682677,4.55128532547726e-27
"5","Tau2.1.0","Tau2","5","1","1",785687.195987748,3.10302466786482e-23
"6","NPQ.1.0","NPQ","6","1","1",0.687805805648182,3.82565480873799e-86
"7","qP.1.0","qP","7","1","1",0.937019848774706,7.16753724638595e-58
"8","ABQ.1.0","ABQ","8","1","1",0,2.95052034743376e-50
"9","qm.1.0","qm","9","1","1",0,3.58376862319297e-58
"10","nTau1.1.0","nTau1","10","1","1",1,4.55128532547726e-27
"11","nTau2.1.0","nTau2","11","1","1",1,3.10302466786482e-23
"12","nCon.1.0","nCon","12","1","1",1,6.13613950344673e-16
"13","Fm.1.0","Fm","13","1","1",1918.90628983042,3.82565480873799e-86
"14","Fo.1.0","Fo","14","1","1",1158.5265744181,7.16753724638595e-58
"15","Quant.3.0","Quant","1","3","1",0.0887298987287549,2.34873518925947e-70
"16","Sigma.3.0","Sigma","2","3","1",3.15874485761161,2.68770048335189e-23
"17","Connect.3.0","Connect","3","3","1",0.121079026509594,0.236040425407014
"18","Tau1.3.0","Tau1","4","3","1",1287.21174925862,5.20609376046636e-09
"19","Tau2.3.0","Tau2","5","3","1",2620015.30350752,3.47865768700421e-19
"20","NPQ.3.0","NPQ","6","3","1",0.189932911558086,1.71597171163829e-83
"21","qP.3.0","qP","7","3","1",0.341643709648422,4.69747037851877e-70
"22","ABQ.3.0","ABQ","8","3","1",0.218729937649437,2.68770048335189e-23
"23","qm.3.0","qm","9","3","1",0.776079822599821,2.34873518925947e-70
"24","nTau1.3.0","nTau1","10","3","1",2.55882096138808,5.20609376046636e-09
"25","nTau2.3.0","nTau2","11","3","1",3.33467990427628,3.47865768700421e-19
"26","nCon.3.0","nCon","12","3","1",0.47645654234135,0.236040425407014
"27","Fm.3.0","Fm","13","3","1",2721.78468635666,1.71597171163829e-83
"28","Fo.3.0","Fo","14","3","1",2480.28100677475,4.69747037851877e-70
"29","Quant.4.0","Quant","1","4","1",0.0821781721777098,1.57370137243631e-71
"30","Sigma.4.0","Sigma","2","4","1",3.12886958782028,2.6162819483411e-20
"31","Connect.4.0","Connect","3","4","1",0.108571253152978,0.382054752626238
"32","Tau1.4.0","Tau1","4","4","1",2108.33935372067,2.05293816117674e-07
"33","Tau2.4.0","Tau2","5","4","1",2492400.01845183,9.78957614940975e-20
"34","NPQ.4.0","NPQ","6","4","1",0.179028766031911,1.17030753190256e-83
"35","qP.4.0","qP","7","4","1",0.323204352152594,3.14740274487145e-71
"36","ABQ.4.0","ABQ","8","4","1",0.226119155501701,2.6162819483411e-20
"37","qm.4.0","qm","9","4","1",0.792613863465485,1.57370137243631e-71
"38","nTau1.4.0","nTau1","10","4","1",4.19112312727649,2.05293816117674e-07
"39","nTau2.4.0","nTau2","11","4","1",3.17225485050503,9.78957614940975e-20
"40","nCon.4.0","nCon","12","4","1",0.427237361962409,0.382054752626238
"41","Fm.4.0","Fm","13","4","1",2746.95687652368,1.17030753190256e-83
"42","Fo.4.0","Fo","14","4","1",2521.21698135997,3.14740274487145e-71
"43","Quant.5.0","Quant","1","5","1",0.103113779394988,5.42697288962626e-69
"44","Sigma.5.0","Sigma","2","5","1",3.3141694435809,8.36465335621998e-24
"45","Connect.5.0","Connect","3","5","1",0.0515770592393235,0.614937384762521
"46","Tau1.5.0","Tau1","4","5","1",1000.96522252794,5.18342481840444e-11
"47","Tau2.5.0","Tau2","5","5","1",1985120.95743004,1.52802454972465e-22
"48","NPQ.5.0","NPQ","6","5","1",0.284674482515903,8.40074733128046e-85
"49","qP.5.0","qP","7","5","1",0.440370739151232,1.08539457792525e-68
"50","ABQ.5.0","ABQ","8","5","1",0.180287904042817,8.36465335621998e-24
"51","qm.5.0","qm","9","5","1",0.739780433593055,5.42697288962626e-69
"52","nTau1.5.0","nTau1","10","5","1",1.98979755622971,5.18342481840444e-11
"53","nTau2.5.0","nTau2","11","5","1",2.52660469404034,1.52802454972465e-22
"54","nCon.5.0","nCon","12","5","1",0.202960231988287,0.614937384762521
"55","Fm.5.0","Fm","13","5","1",2521.05978638873,8.40074733128046e-85
"56","Fo.5.0","Fo","14","5","1",2261.10378373346,1.08539457792525e-68
"57","Quant.6.0","Quant","1","6","1",0.125505368373344,5.71418877079274e-68
"58","Sigma.6.0","Sigma","2","6","1",3.22850724881831,8.23855898143891e-28
"59","Connect.6.0","Connect","3","6","1",0.130767146494216,0.0981549938447311
"60","Tau1.6.0","Tau1","4","6","1",921.060767938772,4.40469087267223e-12
"61","Tau2.6.0","Tau2","5","6","1",1781691.95324491,9.9944090652693e-20
"62","NPQ.6.0","NPQ","6","6","1",0.413637367493804,4.04122317780771e-84
"63","qP.6.0","qP","7","6","1",0.556394251505411,1.14283775415855e-67
"64","ABQ.6.0","ABQ","8","6","1",0.201475214591812,8.23855898143891e-28
"65","qm.6.0","qm","9","6","1",0.683272665094043,5.71418877079274e-68
"66","nTau1.6.0","nTau1","10","6","1",1.83095718406188,4.40469087267223e-12
"67","nTau2.6.0","nTau2","11","6","1",2.26768612539881,9.9944090652693e-20
"68","nCon.6.0","nCon","12","6","1",0.514580140479923,0.0981549938447311
"69","Fm.6.0","Fm","13","6","1",2291.06930174919,4.04122317780771e-84
"70","Fo.6.0","Fo","14","6","1",2003.52780506429,1.14283775415855e-67
"71","Quant.7.0","Quant","1","7","1",0.145415244294915,1.68784442855257e-69
"72","Sigma.7.0","Sigma","2","7","1",3.30170493832634,5.50142271888962e-33
"73","Connect.7.0","Connect","3","7","1",0.15295937278015,0.00909223496012786
"74","Tau1.7.0","Tau1","4","7","1",767.942387837313,6.15026931460556e-15
"75","Tau2.7.0","Tau2","5","7","1",1744795.34379463,2.92202816333595e-19
"76","NPQ.7.0","NPQ","6","7","1",0.524012421596547,7.90878427066154e-87
"77","qP.7.0","qP","7","7","1",0.640814076031265,3.37568885710514e-69
"78","ABQ.7.0","ABQ","8","7","1",0.183370819959224,5.50142271888962e-33
"79","qm.7.0","qm","9","7","1",0.633027786961111,1.68784442855257e-69
"80","nTau1.7.0","nTau1","10","7","1",1.5265764007113,6.15026931460556e-15
"81","nTau2.7.0","nTau2","11","7","1",2.22072518516878,2.92202816333595e-19
"82","nCon.7.0","nCon","12","7","1",0.601908488814596,0.00909223496012786
"83","Fm.7.0","Fm","13","7","1",2125.14093098907,7.90878427066154e-87
"84","Fo.7.0","Fo","14","7","1",1816.11304334817,3.37568885710514e-69
