"","uni","metric","metrix","stage","col","ASnormalized.icra11.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.275189734907368,0.0000000000000000000000000000000000000000000000000000000000000000251644343913167
"2","Sigma.1.0","Sigma","2","1","1",5.39053096555327,0.00000000000000000000000000000000000000000000000183515846071362
"3","Connect.1.0","Connect","3","1","1",0.268194508436527,0.00000000000000640421295891952
"4","Tau1.1.0","Tau1","4","1","1",610.530653252632,0.000000000000000000000000000940244202421126
"5","Tau2.1.0","Tau2","5","1","1",1750884.71981191,0.000000000000000000000226820516597489
"6","NPQ.1.0","NPQ","6","1","1",0.492030993048402,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000523214977649032
"7","qP.1.0","qP","7","1","1",1.13355048451177,0.0000000000000000000000000000000000000000000000000000000000000000503288687826335
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000183515846071362
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000000000251644343913167
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000940244202421126
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000226820516597489
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000640421295891952
"13","Fm.1.0","Fm","13","1","1",2068.95087160517,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000523214977649032
"14","Fo.1.0","Fo","14","1","1",1499.59682971177,0.0000000000000000000000000000000000000000000000000000000000000000503288687826335
"15","Quant.3.0","Quant","1","3","1",0.054767187077804,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000233287258032776
"16","Sigma.3.0","Sigma","2","3","1",3.28356524807789,0.0000000000000000000000000000000651164103935501
"17","Connect.3.0","Connect","3","3","1",0.45688067704962,0.0000000000000988018258107796
"18","Tau1.3.0","Tau1","4","3","1",2253.55629269322,0.0000000236720139995346
"19","Tau2.3.0","Tau2","5","3","1",5047316.51012952,0.00000000196736727588341
"20","NPQ.3.0","NPQ","6","3","1",0.0673911127537912,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000272638247321751
"21","qP.3.0","qP","7","3","1",0.252288689612994,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000466574516065549
"22","ABQ.3.0","ABQ","8","3","1",0.390864226722631,0.0000000000000000000000000000000651164103935501
"23","qm.3.0","qm","9","3","1",0.800983902629075,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000233287258032776
"24","nTau1.3.0","nTau1","10","3","1",3.69114356615394,0.0000000236720139995346
"25","nTau2.3.0","nTau2","11","3","1",2.88272349002607,0.00000000196736727588341
"26","nCon.3.0","nCon","12","3","1",1.70354225264739,0.0000000000000988018258107796
"27","Fm.3.0","Fm","13","3","1",2892.04096478313,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000272638247321751
"28","Fo.3.0","Fo","14","3","1",2733.65201622818,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000466574516065549
"29","Quant.4.0","Quant","1","4","1",0.0538281394828371,0.000000000000000000000000000000000000000000000000000000000000000000000000000000376929409439623
"30","Sigma.4.0","Sigma","2","4","1",3.26441565648984,0.00000000000000000000000000000795107030041059
"31","Connect.4.0","Connect","3","4","1",0.439307106000519,0.00000000000426470550951574
"32","Tau1.4.0","Tau1","4","4","1",1305.3101555103,0.0000000000563855999704181
"33","Tau2.4.0","Tau2","5","4","1",7117797.6813704,0.000000664421250328368
"34","NPQ.4.0","NPQ","6","4","1",0.111633311792311,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000184952028799185
"35","qP.4.0","qP","7","4","1",0.32812072349061,0.000000000000000000000000000000000000000000000000000000000000000000000000000000753858818879246
"36","ABQ.4.0","ABQ","8","4","1",0.394416676696561,0.00000000000000000000000000000795107030041059
"37","qm.4.0","qm","9","4","1",0.804396266812219,0.000000000000000000000000000000000000000000000000000000000000000000000000000000376929409439623
"38","nTau1.4.0","nTau1","10","4","1",2.13799282403953,0.0000000000563855999704181
"39","nTau2.4.0","nTau2","11","4","1",4.06525775274058,0.000000664421250328368
"40","nCon.4.0","nCon","12","4","1",1.63801678327239,0.00000000000426470550951574
"41","Fm.4.0","Fm","13","4","1",2776.93983329114,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000184952028799185
"42","Fo.4.0","Fo","14","4","1",2627.46232860929,0.000000000000000000000000000000000000000000000000000000000000000000000000000000753858818879246
"43","Quant.5.0","Quant","1","5","1",0.0540465936436699,0.000000000000000000000000000000000000000000000000000000000000000000000000000000142531515439857
"44","Sigma.5.0","Sigma","2","5","1",4.01410393187466,0.000000000000000000000000000139083609243467
"45","Connect.5.0","Connect","3","5","1",0.21293125953826,0.0017071239713765
"46","Tau1.5.0","Tau1","4","5","1",1381.13570580892,0.00000000011177061212756
"47","Tau2.5.0","Tau2","5","5","1",14092994.6852367,0.00383879784159165
"48","NPQ.5.0","NPQ","6","5","1",0.155936141156547,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141346942348263
"49","qP.5.0","qP","7","5","1",0.400449844183757,0.000000000000000000000000000000000000000000000000000000000000000000000000000000285063030879714
