"","uni","metric","metrix","stage","col","cclong2025.nah9.005","pval"
"1","Quant.1.0","Quant","1","1","1",0.354583054119078,5.85785689466313e-58
"2","Sigma.1.0","Sigma","2","1","1",4.54353228007908,2.00845827045156e-46
"3","Connect.1.0","Connect","3","1","1",0.189730052786889,2.05226661879253e-09
"4","Tau1.1.0","Tau1","4","1","1",560.616018526007,6.16936308772199e-28
"5","Tau2.1.0","Tau2","5","1","1",1661577.28820096,3.82881006245913e-18
"6","NPQ.1.0","NPQ","6","1","1",0.654017647395863,4.17710547550637e-86
"7","qP.1.0","qP","7","1","1",0.861661728552786,1.17157137893263e-57
"8","ABQ.1.0","ABQ","8","1","1",0,2.00845827045156e-46
"9","qm.1.0","qm","9","1","1",0,5.85785689466313e-58
"10","nTau1.1.0","nTau1","10","1","1",1,6.16936308772199e-28
"11","nTau2.1.0","nTau2","11","1","1",1,3.82881006245913e-18
"12","nCon.1.0","nCon","12","1","1",1,2.05226661879253e-09
"13","Fm.1.0","Fm","13","1","1",2149.46553149909,4.17710547550637e-86
"14","Fo.1.0","Fo","14","1","1",1387.30147861646,1.17157137893263e-57
"15","Quant.3.0","Quant","1","3","1",0.0886816488597738,1.73970518833029e-66
"16","Sigma.3.0","Sigma","2","3","1",3.75921044808312,5.08214240627055e-16
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",727.731449737985,1.822785161387e-09
"19","Tau2.3.0","Tau2","5","3","1",4059199.05207673,2.6905848622049e-13
"20","NPQ.3.0","NPQ","6","3","1",0.0510635040057394,3.21616890413543e-79
"21","qP.3.0","qP","7","3","1",0.187873477236384,3.47941037666025e-66
"22","ABQ.3.0","ABQ","8","3","1",0.172623805367199,5.08214240627055e-16
"23","qm.3.0","qm","9","3","1",0.749898795699379,1.73970518833029e-66
"24","nTau1.3.0","nTau1","10","3","1",1.2980925012656,1.822785161387e-09
"25","nTau2.3.0","nTau2","11","3","1",2.44297937923293,2.6905848622049e-13
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3382.53008311971,3.21616890413543e-79
"28","Fo.3.0","Fo","14","3","1",3082.56173803087,3.47941037666025e-66
"29","Quant.4.0","Quant","1","4","1",0.0758464564721585,1.25309953884545e-68
"30","Sigma.4.0","Sigma","2","4","1",4.20749511167203,5.87460615148002e-12
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",1643.55258140743,2.55977833122345e-06
"33","Tau2.4.0","Tau2","5","4","1",3981645.05654321,3.83183954209786e-13
"34","NPQ.4.0","NPQ","6","4","1",0.0216909214889211,1.48078749402842e-81
"35","qP.4.0","qP","7","4","1",0.134899151806834,2.50619907769075e-68
"36","ABQ.4.0","ABQ","8","4","1",0.0739594543831876,5.87460615148002e-12
"37","qm.4.0","qm","9","4","1",0.786096781583117,1.25309953884545e-68
"38","nTau1.4.0","nTau1","10","4","1",2.93169036755091,2.55977833122345e-06
"39","nTau2.4.0","nTau2","11","4","1",2.39630445409749,3.83183954209786e-13
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3479.77440808373,1.48078749402842e-81
"42","Fo.4.0","Fo","14","4","1",3215.84584990807,2.50619907769075e-68
"43","Quant.5.0","Quant","1","5","1",0.0802066174194274,6.48240605413335e-69
"44","Sigma.5.0","Sigma","2","5","1",3.78827457996563,1.67690657309872e-13
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",1138.43756655897,7.59951664331793e-07
"47","Tau2.5.0","Tau2","5","5","1",3150726.77154542,4.88198200638447e-16
"48","NPQ.5.0","NPQ","6","5","1",0.0977076423820022,1.29177170062513e-80
"49","qP.5.0","qP","7","5","1",0.229024396344908,1.29648121082538e-68
"50","ABQ.5.0","ABQ","8","5","1",0.166226991150663,1.67690657309872e-13
"51","qm.5.0","qm","9","5","1",0.773800195785747,6.48240605413335e-69
"52","nTau1.5.0","nTau1","10","5","1",2.03069039937923,7.59951664331793e-07
"53","nTau2.5.0","nTau2","11","5","1",1.89622643130661,4.88198200638447e-16
"54","nCon.5.0","nCon","12","5","1",0,1
"55","Fm.5.0","Fm","13","5","1",3238.79855100016,1.29177170062513e-80
"56","Fo.5.0","Fo","14","5","1",2979.02547472149,1.29648121082538e-68
"57","Quant.6.0","Quant","1","6","1",0.0975045472583869,9.41995479720704e-66
"58","Sigma.6.0","Sigma","2","6","1",4.14535240776277,4.77687083778632e-16
"59","Connect.6.0","Connect","3","6","1",0,1
"60","Tau1.6.0","Tau1","4","6","1",839.097775004682,9.003935194468e-09
"61","Tau2.6.0","Tau2","5","6","1",2468712.75087494,1.00659577117169e-18
"62","NPQ.6.0","NPQ","6","6","1",0.197651170908378,6.61983240699166e-81
"63","qP.6.0","qP","7","6","1",0.348239904302419,1.88399095944141e-65
"64","ABQ.6.0","ABQ","8","6","1",0.0876366333000674,4.77687083778632e-16
"65","qm.6.0","qm","9","6","1",0.72501633643879,9.41995479720704e-66
"66","nTau1.6.0","nTau1","10","6","1",1.49674241776193,9.003935194468e-09
"67","nTau2.6.0","nTau2","11","6","1",1.48576462160715,1.00659577117169e-18
"68","nCon.6.0","nCon","12","6","1",0,1
"69","Fm.6.0","Fm","13","6","1",2968.52206045278,6.61983240699166e-81
"70","Fo.6.0","Fo","14","6","1",2679.0776609218,1.88399095944141e-65
"71","Quant.7.0","Quant","1","7","1",0.111806676519775,4.69359849773001e-65
"72","Sigma.7.0","Sigma","2","7","1",3.79936683571437,3.91530068898466e-18
"73","Connect.7.0","Connect","3","7","1",0,1
"74","Tau1.7.0","Tau1","4","7","1",866.715111826881,6.53677076730663e-10
"75","Tau2.7.0","Tau2","5","7","1",2297282.06021794,1.84820446277203e-17
"76","NPQ.7.0","NPQ","6","7","1",0.305510652188054,2.79893102015358e-79
"77","qP.7.0","qP","7","7","1",0.451693328226569,9.38719699546e-65
"78","ABQ.7.0","ABQ","8","7","1",0.163785662451981,3.91530068898466e-18
"79","qm.7.0","qm","9","7","1",0.684681275032879,4.69359849773001e-65
"80","nTau1.7.0","nTau1","10","7","1",1.54600490029821,6.53677076730663e-10
"81","nTau2.7.0","nTau2","11","7","1",1.38259115391814,1.84820446277203e-17
"82","nCon.7.0","nCon","12","7","1",0,1
"83","Fm.7.0","Fm","13","7","1",2723.2668807489,2.79893102015358e-79
"84","Fo.7.0","Fo","14","7","1",2418.78746153599,9.38719699546e-65
"85","Quant.8.0","Quant","1","8","1",0.120855886695362,9.92371398579926e-66
"86","Sigma.8.0","Sigma","2","8","1",3.61497313419703,5.00475215163234e-21
"87","Connect.8.0","Connect","3","8","1",0,1
"88","Tau1.8.0","Tau1","4","8","1",896.852714601555,2.42210652364357e-10
"89","Tau2.8.0","Tau2","5","8","1",2271988.43746549,2.55934930904331e-16
"90","NPQ.8.0","NPQ","6","8","1",0.398246516694524,5.31668543171907e-80
"91","qP.8.0","qP","7","8","1",0.524598410488407,1.98474279715985e-65
"92","ABQ.8.0","ABQ","8","8","1",0.20436943959951,5.00475215163234e-21
"93","qm.8.0","qm","9","8","1",0.659160568190109,9.92371398579926e-66
"94","nTau1.8.0","nTau1","10","8","1",1.59976291251826,2.42210652364357e-10
"95","nTau2.8.0","nTau2","11","8","1",1.36736849594606,2.55934930904331e-16
"96","nCon.8.0","nCon","12","8","1",0,1
"97","Fm.8.0","Fm","13","8","1",2542.65172780355,5.31668543171907e-80
"98","Fo.8.0","Fo","14","8","1",2235.35729868236,1.98474279715985e-65
"99","Quant.9.0","Quant","1","9","1",0.120012650320392,2.98894067213823e-65
"100","Sigma.9.0","Sigma","2","9","1",3.56714594801859,4.35286360102841e-22
"101","Connect.9.0","Connect","3","9","1",0,1
"102","Tau1.9.0","Tau1","4","9","1",704.708032281089,6.49146949804087e-13
"103","Tau2.9.0","Tau2","5","9","1",2183399.3258562,1.01382261778431e-18
"104","NPQ.9.0","NPQ","6","9","1",0.479496651063683,4.16846893242175e-81
"105","qP.9.0","qP","7","9","1",0.57258453765513,5.97788134427647e-65
"106","ABQ.9.0","ABQ","8","9","1",0.214895872170077,4.35286360102841e-22
"107","qm.9.0","qm","9","9","1",0.661538674998021,2.98894067213823e-65
"108","nTau1.9.0","nTau1","10","9","1",1.25702443204162,6.49146949804087e-13
"109","nTau2.9.0","nTau2","11","9","1",1.31405222095941,1.01382261778431e-18
"110","nCon.9.0","nCon","12","9","1",0,1
"111","Fm.9.0","Fm","13","9","1",2403.0158628697,4.16846893242175e-81
"112","Fo.9.0","Fo","14","9","1",2114.62356040476,5.97788134427647e-65
"113","Quant.10.0","Quant","1","10","1",0.209942888350766,9.38017074680107e-64
"114","Sigma.10.0","Sigma","2","10","1",3.63807650021668,5.06044179379671e-36
"115","Connect.10.0","Connect","3","10","1",0.159510500196819,0.00114679679883654
"116","Tau1.10.0","Tau1","4","10","1",743.492141391856,8.37481124149649e-19
"117","Tau2.10.0","Tau2","5","10","1",1280805.37571984,7.3166127649271e-19
