"","uni","metric","metrix","stage","col","cclong2025.nah3.005","pval"
"1","Quant.1.0","Quant","1","1","1",0.376355074191049,2.22344114220654e-55
"2","Sigma.1.0","Sigma","2","1","1",4.97413584828635,2.64413538308055e-46
"3","Connect.1.0","Connect","3","1","1",0.206079321328182,6.28336931422549e-10
"4","Tau1.1.0","Tau1","4","1","1",668.277324964051,2.55268651397991e-27
"5","Tau2.1.0","Tau2","5","1","1",1216704.11408195,1.47875466627088e-21
"6","NPQ.1.0","NPQ","6","1","1",0.639405917695223,5.2977211009257e-85
"7","qP.1.0","qP","7","1","1",0.861411326543364,4.44688228441309e-55
"8","ABQ.1.0","ABQ","8","1","1",0,2.64413538308055e-46
"9","qm.1.0","qm","9","1","1",0,2.22344114220654e-55
"10","nTau1.1.0","nTau1","10","1","1",1,2.55268651397991e-27
"11","nTau2.1.0","nTau2","11","1","1",1,1.47875466627088e-21
"12","nCon.1.0","nCon","12","1","1",1,6.28336931422549e-10
"13","Fm.1.0","Fm","13","1","1",2309.96577952543,5.2977211009257e-85
"14","Fo.1.0","Fo","14","1","1",1440.59843719335,4.44688228441309e-55
"15","Quant.3.0","Quant","1","3","1",0.0829779818904014,4.29303664253132e-66
"16","Sigma.3.0","Sigma","2","3","1",4.20207378440184,1.0658623510774e-13
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",803.069865010163,3.42876276419512e-07
"19","Tau2.3.0","Tau2","5","3","1",5618888.29957143,3.51357058151055e-09
"20","NPQ.3.0","NPQ","6","3","1",0.0633249982418248,1.26574185312398e-79
"21","qP.3.0","qP","7","3","1",0.191290188110841,8.58607328506252e-66
"22","ABQ.3.0","ABQ","8","3","1",0.155215315269385,1.0658623510774e-13
"23","qm.3.0","qm","9","3","1",0.779522085443495,4.29303664253132e-66
"24","nTau1.3.0","nTau1","10","3","1",1.20170150177303,3.42876276419512e-07
"25","nTau2.3.0","nTau2","11","3","1",4.61812221602544,3.51357058151055e-09
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3561.44318518712,1.26574185312398e-79
"28","Fo.3.0","Fo","14","3","1",3265.92181706297,8.58607328506252e-66
"29","Quant.4.0","Quant","1","4","1",0.0681394484522687,3.44409480351833e-65
"30","Sigma.4.0","Sigma","2","4","1",5.86411033177895,4.24941316686657e-08
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",2591.87046082342,5.10414952498734e-05
"33","Tau2.4.0","Tau2","5","4","1",5048715.62217253,3.75386839093892e-09
"34","NPQ.4.0","NPQ","6","4","1",0.0245387534481901,9.64622340622889e-83
"35","qP.4.0","qP","7","4","1",0.125763540323429,6.88818960703666e-65
"36","ABQ.4.0","ABQ","8","4","1",-0.178920421684745,4.24941316686657e-08
"37","qm.4.0","qm","9","4","1",0.818949037425017,3.44409480351833e-65
"38","nTau1.4.0","nTau1","10","4","1",3.87843543990191,5.10414952498734e-05
"39","nTau2.4.0","nTau2","11","4","1",4.14950156224463,3.75386839093892e-09
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3696.26971735526,9.64622340622889e-83
"42","Fo.4.0","Fo","14","4","1",3444.40793748385,6.88818960703666e-65
"43","Quant.5.0","Quant","1","5","1",0.074545084752689,5.14449614481875e-68
"44","Sigma.5.0","Sigma","2","5","1",4.61721302151517,1.31968265097942e-11
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",690.265905469063,4.00739367598142e-05
"47","Tau2.5.0","Tau2","5","5","1",2806770.88118023,2.1345439724725e-16
"48","NPQ.5.0","NPQ","6","5","1",0.089958725066844,1.07468817170004e-82
"49","qP.5.0","qP","7","5","1",0.209831871361723,1.02889922896375e-67
"50","ABQ.5.0","ABQ","8","5","1",0.0717557456526128,1.31968265097942e-11
"51","qm.5.0","qm","9","5","1",0.801928843624817,5.14449614481875e-68
"52","nTau1.5.0","nTau1","10","5","1",1.03290337661269,4.00739367598142e-05
"53","nTau2.5.0","nTau2","11","5","1",2.30686396856482,2.1345439724725e-16
"54","nCon.5.0","nCon","12","5","1",0,1
"55","Fm.5.0","Fm","13","5","1",3474.41740823278,1.07468817170004e-82
"56","Fo.5.0","Fo","14","5","1",3215.41666806985,1.02889922896375e-67
"57","Quant.6.0","Quant","1","6","1",0.0917942324930169,3.87322180972493e-67
"58","Sigma.6.0","Sigma","2","6","1",4.24616195067011,3.40162845095702e-16
"59","Connect.6.0","Connect","3","6","1",0,1
"60","Tau1.6.0","Tau1","4","6","1",696.00646984821,7.41710197911089e-07
"61","Tau2.6.0","Tau2","5","6","1",2421634.45921114,1.72261487130572e-17
"62","NPQ.6.0","NPQ","6","6","1",0.177469084689257,1.67678397397219e-82
"63","qP.6.0","qP","7","6","1",0.317931254867793,7.74644361944987e-67
"64","ABQ.6.0","ABQ","8","6","1",0.146351832724278,3.40162845095702e-16
"65","qm.6.0","qm","9","6","1",0.756096732081207,3.87322180972493e-67
"66","nTau1.6.0","nTau1","10","6","1",1.04149346962453,7.41710197911089e-07
"67","nTau2.6.0","nTau2","11","6","1",1.99032322746632,1.72261487130572e-17
"68","nCon.6.0","nCon","12","6","1",0,1
"69","Fm.6.0","Fm","13","6","1",3216.19617692711,1.67678397397219e-82
