"","uni","metric","metrix","stage","col","cclong2025.nah12.004","pval"
"1","Quant.1.0","Quant","1","1","1",0.347551937282051,1.52558576136098e-58
"2","Sigma.1.0","Sigma","2","1","1",4.89379447351913,8.83399367364739e-48
"3","Connect.1.0","Connect","3","1","1",0.242028013242368,8.88470687258069e-13
"4","Tau1.1.0","Tau1","4","1","1",614.386682667058,1.51104029749516e-27
"5","Tau2.1.0","Tau2","5","1","1",1561935.86808752,4.34279876996623e-18
"6","NPQ.1.0","NPQ","6","1","1",0.556942941563406,2.52267533632163e-87
"7","qP.1.0","qP","7","1","1",0.82674721461272,3.05117152272197e-58
"8","ABQ.1.0","ABQ","8","1","1",0,8.83399367364739e-48
"9","qm.1.0","qm","9","1","1",0,1.52558576136098e-58
"10","nTau1.1.0","nTau1","10","1","1",1,1.51104029749516e-27
"11","nTau2.1.0","nTau2","11","1","1",1,4.34279876996623e-18
"12","nCon.1.0","nCon","12","1","1",1,8.88470687258069e-13
"13","Fm.1.0","Fm","13","1","1",2097.55567954507,2.52267533632163e-87
"14","Fo.1.0","Fo","14","1","1",1368.54613956221,3.05117152272197e-58
"15","Quant.3.0","Quant","1","3","1",0.0896398850277376,3.27180896140299e-66
"16","Sigma.3.0","Sigma","2","3","1",3.91572486714264,2.51346392234856e-17
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",937.60923126514,7.22226011006966e-10
"19","Tau2.3.0","Tau2","5","3","1",4034155.09231763,4.00294509988957e-12
"20","NPQ.3.0","NPQ","6","3","1",0.00196737984105948,9.39607601420228e-82
"21","qP.3.0","qP","7","3","1",0.130111492543966,6.54361792280598e-66
"22","ABQ.3.0","ABQ","8","3","1",0.199859150536243,2.51346392234856e-17
"23","qm.3.0","qm","9","3","1",0.742082044690225,3.27180896140299e-66
"24","nTau1.3.0","nTau1","10","3","1",1.52608977003696,7.22226011006966e-10
"25","nTau2.3.0","nTau2","11","3","1",2.58279176164714,4.00294509988957e-12
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3259.36210650088,9.39607601420228e-82
"28","Fo.3.0","Fo","14","3","1",2967.19326201038,6.54361792280598e-66
"29","Quant.4.0","Quant","1","4","1",0.069368952330667,8.76404769290527e-72
"30","Sigma.4.0","Sigma","2","4","1",3.74652986790757,1.67070490907557e-14
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",1234.28415868725,1.80392632481586e-06
"33","Tau2.4.0","Tau2","5","4","1",3863192.51644609,5.3117230504359e-13
"34","NPQ.4.0","NPQ","6","4","1",-0.0372522220817825,4.72359506702118e-85
"35","qP.4.0","qP","7","4","1",0.0474742512857338,1.75280953858101e-71
"36","ABQ.4.0","ABQ","8","4","1",0.234432527115623,1.67070490907557e-14
"37","qm.4.0","qm","9","4","1",0.800406946733916,8.76404769290527e-72
"38","nTau1.4.0","nTau1","10","4","1",2.00896958464205,1.80392632481586e-06
"39","nTau2.4.0","nTau2","11","4","1",2.47333619476726,5.3117230504359e-13
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3392.13923387662,4.72359506702118e-85
"42","Fo.4.0","Fo","14","4","1",3156.83008906285,1.75280953858101e-71
"43","Quant.5.0","Quant","1","5","1",0.0817937472066844,6.71288310133368e-71
"44","Sigma.5.0","Sigma","2","5","1",3.64391202368712,4.75264540462938e-18
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",1247.66999868473,7.296856916475e-07
"47","Tau2.5.0","Tau2","5","5","1",2864926.20530253,5.22586091056292e-15
"48","NPQ.5.0","NPQ","6","5","1",0.0352124852339595,3.30227963569211e-85
"49","qP.5.0","qP","7","5","1",0.160849168187727,1.34257662026673e-70
"50","ABQ.5.0","ABQ","8","5","1",0.255401500123322,4.75264540462938e-18
"51","qm.5.0","qm","9","5","1",0.764657484442949,6.71288310133368e-71
"52","nTau1.5.0","nTau1","10","5","1",2.03075690584403,7.296856916475e-07
"53","nTau2.5.0","nTau2","11","5","1",1.83421500449338,5.22586091056292e-15
"54","nCon.5.0","nCon","12","5","1",0,1
"55","Fm.5.0","Fm","13","5","1",3154.69003357881,3.30227963569211e-85
"56","Fo.5.0","Fo","14","5","1",2896.65611445682,1.34257662026673e-70
"57","Quant.6.0","Quant","1","6","1",0.10091071424939,5.01154439493603e-68
"58","Sigma.6.0","Sigma","2","6","1",3.75471998234161,5.30814839937702e-20
"59","Connect.6.0","Connect","3","6","1",0,1
"60","Tau1.6.0","Tau1","4","6","1",1198.37301394845,2.2001969917518e-09
"61","Tau2.6.0","Tau2","5","6","1",2421241.1789159,4.89453380340677e-16
"62","NPQ.6.0","NPQ","6","6","1",0.130249433345413,9.85934198519576e-84
"63","qP.6.0","qP","7","6","1",0.291056960833075,1.00230887898721e-67
"64","ABQ.6.0","ABQ","8","6","1",0.232758955722636,5.30814839937702e-20
"65","qm.6.0","qm","9","6","1",0.709652850625612,5.01154439493603e-68
"66","nTau1.6.0","nTau1","10","6","1",1.95051918890284,2.2001969917518e-09
"67","nTau2.6.0","nTau2","11","6","1",1.55015402897465,4.89453380340677e-16
"68","nCon.6.0","nCon","12","6","1",0,1
"69","Fm.6.0","Fm","13","6","1",2889.42813281277,9.85934198519576e-84
"70","Fo.6.0","Fo","14","6","1",2597.85387615835,1.00230887898721e-67
"71","Quant.7.0","Quant","1","7","1",0.108688783708577,1.41013317436089e-67
"72","Sigma.7.0","Sigma","2","7","1",3.66045696425551,2.12102467048008e-22
"73","Connect.7.0","Connect","3","7","1",0,1
"74","Tau1.7.0","Tau1","4","7","1",1236.34922180626,7.4192404722698e-12
"75","Tau2.7.0","Tau2","5","7","1",2281456.58796459,1.06431426215663e-17
"76","NPQ.7.0","NPQ","6","7","1",0.227307816315441,1.90497051043548e-84
"77","qP.7.0","qP","7","7","1",0.389601578453114,2.82026634872177e-67
"78","ABQ.7.0","ABQ","8","7","1",0.252020700079937,2.12102467048008e-22
"79","qm.7.0","qm","9","7","1",0.687273261779082,1.41013317436089e-67
"80","nTau1.7.0","nTau1","10","7","1",2.01233076283369,7.4192404722698e-12
"81","nTau2.7.0","nTau2","11","7","1",1.46065957929378,1.06431426215663e-17
"82","nCon.7.0","nCon","12","7","1",0,1
"83","Fm.7.0","Fm","13","7","1",2660.9253737243,1.90497051043548e-84
"84","Fo.7.0","Fo","14","7","1",2371.71263131492,2.82026634872177e-67
"85","Quant.8.0","Quant","1","8","1",0.111867520800201,8.72059093846305e-69
"86","Sigma.8.0","Sigma","2","8","1",3.54773965498746,7.37027891863615e-25
"87","Connect.8.0","Connect","3","8","1",0,1
"88","Tau1.8.0","Tau1","4","8","1",1059.87875426628,9.63248301528787e-11
"89","Tau2.8.0","Tau2","5","8","1",2130089.13510915,9.02986808240025e-16
"90","NPQ.8.0","NPQ","6","8","1",0.315772824924022,5.73945571416429e-86
"91","qP.8.0","qP","7","8","1",0.462526994452196,1.74411818769261e-68
"92","ABQ.8.0","ABQ","8","8","1",0.27505340197986,7.37027891863615e-25
"93","qm.8.0","qm","9","8","1",0.678127183882113,8.72059093846305e-69
"94","nTau1.8.0","nTau1","10","8","1",1.72510046875583,9.63248301528787e-11
"95","nTau2.8.0","nTau2","11","8","1",1.36374942059387,9.02986808240025e-16
"96","nCon.8.0","nCon","12","8","1",0,1
"97","Fm.8.0","Fm","13","8","1",2482.02003259377,5.73945571416429e-86
"98","Fo.8.0","Fo","14","8","1",2204.36260497107,1.74411818769261e-68
"99","Quant.9.0","Quant","1","9","1",0.118952571934698,9.39374133601751e-68
"100","Sigma.9.0","Sigma","2","9","1",3.38324393531891,1.19474586421651e-25
"101","Connect.9.0","Connect","3","9","1",0.0333666590613008,0.717601555398206
"102","Tau1.9.0","Tau1","4","9","1",903.015397000485,8.04130780740814e-12
"103","Tau2.9.0","Tau2","5","9","1",2106107.16342969,4.92413570589887e-17
"104","NPQ.9.0","NPQ","6","9","1",0.395326541915888,1.29278946164908e-84
"105","qP.9.0","qP","7","9","1",0.52452036714372,1.8787482672035e-67
"106","ABQ.9.0","ABQ","8","9","1",0.308666525816313,1.19474586421651e-25
"107","qm.9.0","qm","9","9","1",0.657741594350074,9.39374133601751e-68
"108","nTau1.9.0","nTau1","10","9","1",1.46978348078849,8.04130780740814e-12
"109","nTau2.9.0","nTau2","11","9","1",1.348395415241,4.92413570589887e-17
"110","nCon.9.0","nCon","12","9","1",0.137862797840212,0.717601555398206
"111","Fm.9.0","Fm","13","9","1",2340.50912936822,1.29278946164908e-84
"112","Fo.9.0","Fo","14","9","1",2062.09954879323,1.8787482672035e-67
"113","Quant.10.0","Quant","1","10","1",0.222261142172038,3.73655506270791e-64
"114","Sigma.10.0","Sigma","2","10","1",3.75872368484688,3.3515819856764e-38
"115","Connect.10.0","Connect","3","10","1",0.0871492658843945,0.0413658338390871
"116","Tau1.10.0","Tau1","4","10","1",916.571934585438,5.47733724855062e-16
"117","Tau2.10.0","Tau2","5","10","1",1264409.76604432,1.23161900184714e-14
"118","NPQ.10.0","NPQ","6","10","1",0.728429718922919,9.48199501992765e-87
"119","qP.10.0","qP","7","10","1",0.782756926195147,7.47311012541581e-64
"120","ABQ.10.0","ABQ","8","10","1",0.231940837485973,3.3515819856764e-38
"121","qm.10.0","qm","9","10","1",0.360495171138507,3.73655506270791e-64
"122","nTau1.10.0","nTau1","10","10","1",1.49184863611723,5.47733724855062e-16
"123","nTau2.10.0","nTau2","11","10","1",0.8095145209723,1.23161900184714e-14
"124","nCon.10.0","nCon","12","10","1",0.360079251640689,0.0413658338390871
"125","Fm.10.0","Fm","13","10","1",1889.44593699708,9.48199501992765e-87
"126","Fo.10.0","Fo","14","10","1",1469.4955249678,7.47311012541581e-64
"127","Quant.11.0","Quant","1","11","1",0.224589176029216,2.35657050533512e-65
"128","Sigma.11.0","Sigma","2","11","1",3.64808595149685,2.08564510739356e-40
"129","Connect.11.0","Connect","3","11","1",0.139062274025996,0.000278785271857242
"130","Tau1.11.0","Tau1","4","11","1",889.503925660814,3.01475127224072e-17
"131","Tau2.11.0","Tau2","5","11","1",1291125.79002646,8.55681726925202e-14
"132","NPQ.11.0","NPQ","6","11","1",0.764925352516443,8.03420483927528e-88
"133","qP.11.0","qP","7","11","1",0.797875553229305,4.71314101067023e-65
"134","ABQ.11.0","ABQ","8","11","1",0.254548597977081,2.08564510739356e-40
"135","qm.11.0","qm","9","11","1",0.353796794270339,2.35657050533512e-65
"136","nTau1.11.0","nTau1","10","11","1",1.44779167705828,3.01475127224072e-17
"137","nTau2.11.0","nTau2","11","11","1",0.826618951780238,8.55681726925202e-14
"138","nCon.11.0","nCon","12","11","1",0.574570985246815,0.000278785271857242
"139","Fm.11.0","Fm","13","11","1",1850.37543097648,8.03420483927528e-88
"140","Fo.11.0","Fo","14","11","1",1434.80113758876,4.71314101067023e-65
