"","uni","metric","metrix","stage","col","cclong2025.nah8.004","pval"
"1","Quant.1.0","Quant","1","1","1",0.372418314007536,1.76238561324679e-55
"2","Sigma.1.0","Sigma","2","1","1",4.44410822214319,6.07588374959256e-46
"3","Connect.1.0","Connect","3","1","1",0.21174199819698,3.78716250007217e-10
"4","Tau1.1.0","Tau1","4","1","1",567.190294014411,4.95311537430035e-30
"5","Tau2.1.0","Tau2","5","1","1",1579776.97749092,1.41556842118305e-18
"6","NPQ.1.0","NPQ","6","1","1",0.651439308351547,2.1577849457681e-84
"7","qP.1.0","qP","7","1","1",0.885435842729761,3.52477122649359e-55
"8","ABQ.1.0","ABQ","8","1","1",0,6.07588374959256e-46
"9","qm.1.0","qm","9","1","1",0,1.76238561324679e-55
"10","nTau1.1.0","nTau1","10","1","1",1,4.95311537430035e-30
"11","nTau2.1.0","nTau2","11","1","1",1,1.41556842118305e-18
"12","nCon.1.0","nCon","12","1","1",1,3.78716250007217e-10
"13","Fm.1.0","Fm","13","1","1",2036.10505367288,2.1577849457681e-84
"14","Fo.1.0","Fo","14","1","1",1277.8222424418,3.52477122649359e-55
"15","Quant.3.0","Quant","1","3","1",0.0821730190963064,8.80249411555447e-69
"16","Sigma.3.0","Sigma","2","3","1",3.4273391457332,3.09310470920763e-17
"17","Connect.3.0","Connect","3","3","1",0.0307750379880896,0.832827406864414
"18","Tau1.3.0","Tau1","4","3","1",801.581787164369,1.79383494383896e-11
"19","Tau2.3.0","Tau2","5","3","1",5623631.25149003,3.37190077421462e-11
"20","NPQ.3.0","NPQ","6","3","1",0.00280408262078422,5.75709441097716e-81
"21","qP.3.0","qP","7","3","1",0.121022458045681,1.76049882311032e-68
"22","ABQ.3.0","ABQ","8","3","1",0.228790350186308,3.09310470920763e-17
"23","qm.3.0","qm","9","3","1",0.779352905038275,8.80249411555447e-69
"24","nTau1.3.0","nTau1","10","3","1",1.4132501836218,1.79383494383896e-11
"25","nTau2.3.0","nTau2","11","3","1",3.5597627586786,3.37190077421462e-11
"26","nCon.3.0","nCon","12","3","1",0.145342153423244,0.832827406864414
"27","Fm.3.0","Fm","13","3","1",3353.10154779274,5.75709441097716e-81
"28","Fo.3.0","Fo","14","3","1",3077.56707027411,1.76049882311032e-68
"29","Quant.4.0","Quant","1","4","1",0.0647557829588919,3.37701303591794e-72
"30","Sigma.4.0","Sigma","2","4","1",3.74557537265933,3.05638296815512e-11
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",2154.95671762292,4.53938521789933e-07
"33","Tau2.4.0","Tau2","5","4","1",4953161.61184152,3.46918531676999e-11
