"","uni","metric","metrix","stage","col","cclong2025.nah1.005","pval"
"1","Quant.1.0","Quant","1","1","1",0.370001753545711,1.89909390875277e-57
"2","Sigma.1.0","Sigma","2","1","1",4.52998893653498,3.44533068443398e-47
"3","Connect.1.0","Connect","3","1","1",0.224863151527734,3.00361763302188e-12
"4","Tau1.1.0","Tau1","4","1","1",520.768074767512,3.86717404439849e-26
"5","Tau2.1.0","Tau2","5","1","1",1427106.27673103,1.35915554276337e-18
"6","NPQ.1.0","NPQ","6","1","1",0.697768596578886,5.81746993670955e-86
"7","qP.1.0","qP","7","1","1",0.933498623153501,3.79818781750553e-57
"8","ABQ.1.0","ABQ","8","1","1",0,3.44533068443398e-47
"9","qm.1.0","qm","9","1","1",0,1.89909390875277e-57
"10","nTau1.1.0","nTau1","10","1","1",1,3.86717404439849e-26
"11","nTau2.1.0","nTau2","11","1","1",1,1.35915554276337e-18
"12","nCon.1.0","nCon","12","1","1",1,3.00361763302188e-12
"13","Fm.1.0","Fm","13","1","1",2316.49793670668,5.81746993670955e-86
"14","Fo.1.0","Fo","14","1","1",1459.38963804019,3.79818781750553e-57
"15","Quant.3.0","Quant","1","3","1",0.0933063077755631,2.81773031361062e-64
"16","Sigma.3.0","Sigma","2","3","1",3.81514582379576,1.30216376083474e-15
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",653.749691942443,9.77307422716168e-11
"19","Tau2.3.0","Tau2","5","3","1",3879789.05703488,1.24877922503838e-13
"20","NPQ.3.0","NPQ","6","3","1",0.0806193277297623,4.69002388652317e-78
"21","qP.3.0","qP","7","3","1",0.238893970535866,5.6354606272212e-64
"22","ABQ.3.0","ABQ","8","3","1",0.157802397037642,1.30216376083474e-15
"23","qm.3.0","qm","9","3","1",0.747821984946253,2.81773031361062e-64
"24","nTau1.3.0","nTau1","10","3","1",1.25535670026297,9.77307422716168e-11
"25","nTau2.3.0","nTau2","11","3","1",2.71864059481403,1.24877922503838e-13
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3639.46613766649,4.69002388652317e-78
"28","Fo.3.0","Fo","14","3","1",3299.88099008664,5.6354606272212e-64
"29","Quant.4.0","Quant","1","4","1",0.0854023703177198,4.63143197978878e-67
"30","Sigma.4.0","Sigma","2","4","1",4.24061152326701,4.18935441469503e-14
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",1002.09754172014,1.29925337286251e-07
"33","Tau2.4.0","Tau2","5","4","1",2831701.6681746,2.1309092209832e-18
"34","NPQ.4.0","NPQ","6","4","1",0.0377003931425024,1.16126924871511e-81
"35","qP.4.0","qP","7","4","1",0.176080045494933,9.26286395957754e-67
"36","ABQ.4.0","ABQ","8","4","1",0.0638803796923422,4.18935441469503e-14
"37","qm.4.0","qm","9","4","1",0.769183876834873,4.63143197978878e-67
"38","nTau1.4.0","nTau1","10","4","1",1.92426838409307,1.29925337286251e-07
"39","nTau2.4.0","nTau2","11","4","1",1.98422620259297,2.1309092209832e-18
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3789.99321670326,1.16126924871511e-81
"42","Fo.4.0","Fo","14","4","1",3466.31881250872,9.26286395957754e-67
"43","Quant.5.0","Quant","1","5","1",0.0991144551443706,5.23200763883511e-68
"44","Sigma.5.0","Sigma","2","5","1",3.80178725564117,9.65396090802411e-19
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",827.08104849892,3.18725791263486e-08
"47","Tau2.5.0","Tau2","5","5","1",2301795.61928377,3.59432893180852e-18
"48","NPQ.5.0","NPQ","6","5","1",0.0950042214476902,4.32745841052944e-82
"49","qP.5.0","qP","7","5","1",0.263127263510693,1.04640152776702e-67
"50","ABQ.5.0","ABQ","8","5","1",0.160751315532089,9.65396090802411e-19
"51","qm.5.0","qm","9","5","1",0.732124363750818,5.23200763883511e-68
"52","nTau1.5.0","nTau1","10","5","1",1.5881946082585,3.18725791263486e-08
