"","uni","metric","metrix","stage","col","cclong2025.nah7.004","pval"
"1","Quant.1.0","Quant","1","1","1",0.347889170709193,1.85442165996899e-57
"2","Sigma.1.0","Sigma","2","1","1",4.98947992312982,1.14174246484901e-46
"3","Connect.1.0","Connect","3","1","1",0.220616763137979,1.01862092716646e-10
"4","Tau1.1.0","Tau1","4","1","1",644.334621640567,3.43808292719463e-26
"5","Tau2.1.0","Tau2","5","1","1",1452645.86187792,2.42613866810078e-19
"6","NPQ.1.0","NPQ","6","1","1",0.641975109967394,1.13938627233975e-86
"7","qP.1.0","qP","7","1","1",0.860631404988627,3.70884331993798e-57
"8","ABQ.1.0","ABQ","8","1","1",0,1.14174246484901e-46
"9","qm.1.0","qm","9","1","1",0,1.85442165996899e-57
"10","nTau1.1.0","nTau1","10","1","1",1,3.43808292719463e-26
"11","nTau2.1.0","nTau2","11","1","1",1,2.42613866810078e-19
"12","nCon.1.0","nCon","12","1","1",1,1.01862092716646e-10
"13","Fm.1.0","Fm","13","1","1",2048.74317137758,1.13938627233975e-86
"14","Fo.1.0","Fo","14","1","1",1336.00760849091,3.70884331993798e-57
"15","Quant.3.0","Quant","1","3","1",0.0800276611271401,3.69662392053566e-67
"16","Sigma.3.0","Sigma","2","3","1",4.31150974746468,8.59256602708716e-15
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",893.428193164587,2.47289270811917e-09
"19","Tau2.3.0","Tau2","5","3","1",5247471.442496,7.3143168117489e-11
"20","NPQ.3.0","NPQ","6","3","1",0.0333576677173982,1.50477846435926e-82
"21","qP.3.0","qP","7","3","1",0.15664419451165,7.39324784107132e-67
"22","ABQ.3.0","ABQ","8","3","1",0.135879928591807,8.59256602708716e-15
"23","qm.3.0","qm","9","3","1",0.769962195247415,3.69662392053566e-67
"24","nTau1.3.0","nTau1","10","3","1",1.38659038822063,2.47289270811917e-09
"25","nTau2.3.0","nTau2","11","3","1",3.61235424283816,7.3143168117489e-11
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3255.39297690451,1.50477846435926e-82
"28","Fo.3.0","Fo","14","3","1",2994.87149091313,7.39324784107132e-67
"29","Quant.4.0","Quant","1","4","1",0.0637113533977633,2.60592787687294e-70
"30","Sigma.4.0","Sigma","2","4","1",4.30849435063401,1.01571463504415e-10
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",897.886098068372,1.83951505279864e-05
"33","Tau2.4.0","Tau2","5","4","1",4348849.77031581,3.4110384250726e-13
"34","NPQ.4.0","NPQ","6","4","1",-0.0142603813548192,1.85474756412407e-84
"35","qP.4.0","qP","7","4","1",0.0716177589631979,5.21185575374586e-70
"36","ABQ.4.0","ABQ","8","4","1",0.13648427952159,1.01571463504415e-10
"37","qm.4.0","qm","9","4","1",0.816863073754541,2.60592787687294e-70
"38","nTau1.4.0","nTau1","10","4","1",1.39350900589856,1.83951505279864e-05
"39","nTau2.4.0","nTau2","11","4","1",2.99374395676438,3.4110384250726e-13
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3412.65099879132,1.85474756412407e-84
"42","Fo.4.0","Fo","14","4","1",3195.22638498409,5.21185575374586e-70
"43","Quant.5.0","Quant","1","5","1",0.0646990282741314,9.98622667312196e-72
"44","Sigma.5.0","Sigma","2","5","1",3.94242131361175,8.49624102988281e-12
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",1975.3528291244,2.15308890091194e-06
"47","Tau2.5.0","Tau2","5","5","1",4032176.20946748,7.46169730277801e-13
"48","NPQ.5.0","NPQ","6","5","1",0.0395528711728974,2.75289024565125e-84
"49","qP.5.0","qP","7","5","1",0.143167849154485,1.99724533462412e-71
"50","ABQ.5.0","ABQ","8","5","1",0.20985325638133,8.49624102988281e-12
"51","qm.5.0","qm","9","5","1",0.814024023391592,9.98622667312196e-72
"52","nTau1.5.0","nTau1","10","5","1",3.0657251104944,2.15308890091194e-06
"53","nTau2.5.0","nTau2","11","5","1",2.7757461851403,7.46169730277801e-13
"54","nCon.5.0","nCon","12","5","1",0,1
"55","Fm.5.0","Fm","13","5","1",3235.99249966205,2.75289024565125e-84
"56","Fo.5.0","Fo","14","5","1",3026.62692943154,1.99724533462412e-71
"57","Quant.6.0","Quant","1","6","1",0.0840977037711541,9.25562804588961e-68
"58","Sigma.6.0","Sigma","2","6","1",4.1427120928609,3.14374965413679e-14
"59","Connect.6.0","Connect","3","6","1",0,1
"60","Tau1.6.0","Tau1","4","6","1",1404.67395704815,5.96247265242239e-07
