"","uni","metric","metrix","stage","col","ASnormalized.icra3.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.310221246313027,0.00000000000000000000000000000000000000000000000000000000000146527106818766
"2","Sigma.1.0","Sigma","2","1","1",4.84574510746488,0.000000000000000000000000000000000000000000000147141641450034
"3","Connect.1.0","Connect","3","1","1",0.294672495312917,0.00000000000000189871208880226
"4","Tau1.1.0","Tau1","4","1","1",767.402695455685,0.0000000000000000000000000000596963030121475
"5","Tau2.1.0","Tau2","5","1","1",1790019.48381546,0.000000000000000000179999870993286
"6","NPQ.1.0","NPQ","6","1","1",0.596444837872212,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000299324679390458
"7","qP.1.0","qP","7","1","1",1.43009773843271,0.00000000000000000000000000000000000000000000000000000000000293054213637533
"8","ABQ.1.0","ABQ","8","1","1",0,0.000000000000000000000000000000000000000000000147141641450034
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000000146527106818766
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000596963030121475
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000179999870993286
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000189871208880226
"13","Fm.1.0","Fm","13","1","1",1916.41631993636,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000299324679390458
"14","Fo.1.0","Fo","14","1","1",1321.90326071108,0.00000000000000000000000000000000000000000000000000000000000293054213637533
"15","Quant.3.0","Quant","1","3","1",0.0448488337377177,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000378180045828476
"16","Sigma.3.0","Sigma","2","3","1",2.97632028276932,0.0000000000000000000000000000012765675771955
"17","Connect.3.0","Connect","3","3","1",0.55521120719031,0.0000000000000000393841820903421
"18","Tau1.3.0","Tau1","4","3","1",3530.11789122816,0.00000169122393617851
"19","Tau2.3.0","Tau2","5","3","1",5622021.00364329,0.000000016218785838089
"20","NPQ.3.0","NPQ","6","3","1",0.0144481815714572,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000356550383757362
"21","qP.3.0","qP","7","3","1",0.147188958525009,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000756360091656596
"22","ABQ.3.0","ABQ","8","3","1",0.385786867290172,0.0000000000000000000000000000012765675771955
"23","qm.3.0","qm","9","3","1",0.855429522411037,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000378180045828476
"24","nTau1.3.0","nTau1","10","3","1",4.60008534258792,0.00000169122393617851
"25","nTau2.3.0","nTau2","11","3","1",3.14075967020195,0.000000016218785838089
"26","nCon.3.0","nCon","12","3","1",1.88416365972916,0.0000000000000000393841820903421
"27","Fm.3.0","Fm","13","3","1",3015.87897416026,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000356550383757362
"28","Fo.3.0","Fo","14","3","1",2880.62031947507,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000756360091656596
"29","Quant.4.0","Quant","1","4","1",0.0517737678518885,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000114875879538551
"30","Sigma.4.0","Sigma","2","4","1",2.82228391443346,0.0000000000000000000000000000000707393202673063
"31","Connect.4.0","Connect","3","4","1",0.456840495180875,0.000000000000352929215098999
"32","Tau1.4.0","Tau1","4","4","1",2001.88109431674,0.000000310159364278514
