"","uni","metric","metrix","stage","col","ASnormalized.t4_aabr2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.377401747887436,0.00000000000000000000000000000000000000000000000000000000024654744663489
"2","Sigma.1.0","Sigma","2","1","1",4.53241630661773,0.000000000000000000000000000000000000000000000000174532627709641
"3","Connect.1.0","Connect","3","1","1",0.32451478240668,0.0000000000000000000975593655962781
"4","Tau1.1.0","Tau1","4","1","1",615.326475759174,0.00000000000000000000000000189560079590999
"5","Tau2.1.0","Tau2","5","1","1",1039643.65500258,0.000000000000000000000000149863174595213
"6","NPQ.1.0","NPQ","6","1","1",0.778711983150558,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000609854720560948
"7","qP.1.0","qP","7","1","1",1.4052819643613,0.00000000000000000000000000000000000000000000000000000000049309489326978
"8","ABQ.1.0","ABQ","8","1","1",0,0.000000000000000000000000000000000000000000000000174532627709641
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000024654744663489
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000189560079590999
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000000149863174595213
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000000975593655962781
"13","Fm.1.0","Fm","13","1","1",1903.42535625089,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000609854720560948
"14","Fo.1.0","Fo","14","1","1",1185.06929982854,0.00000000000000000000000000000000000000000000000000000000049309489326978
"15","Quant.3.0","Quant","1","3","1",0.0446734413308375,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000824428350185533
"16","Sigma.3.0","Sigma","2","3","1",2.97655534307699,0.0000000000000000000000000000146850131875178
"17","Connect.3.0","Connect","3","3","1",0.468899500559696,0.000000000000861726918366376
"18","Tau1.3.0","Tau1","4","3","1",3185.89673538718,0.00000204984686942427
"19","Tau2.3.0","Tau2","5","3","1",5223802.52974315,0.0000000144862576416314
"20","NPQ.3.0","NPQ","6","3","1",0.090648248149071,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000136224796036089
"21","qP.3.0","qP","7","3","1",0.26825711479008,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000164885670037093
"22","ABQ.3.0","ABQ","8","3","1",0.343274063609084,0.0000000000000000000000000000146850131875178
"23","qm.3.0","qm","9","3","1",0.881628949571898,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000824428350185533
"24","nTau1.3.0","nTau1","10","3","1",5.17757135585057,0.00000204984686942427
"25","nTau2.3.0","nTau2","11","3","1",5.02460867683569,0.0000000144862576416314
"26","nCon.3.0","nCon","12","3","1",1.44492493402681,0.000000000000861726918366376
"27","Fm.3.0","Fm","13","3","1",3104.25061053536,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000136224796036089
"28","Fo.3.0","Fo","14","3","1",2965.5730530094,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000164885670037093
"29","Quant.4.0","Quant","1","4","1",0.0454663097159537,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000373913888968271
"30","Sigma.4.0","Sigma","2","4","1",2.91116356459597,0.00000000000000000000000000000054667814539703
"31","Connect.4.0","Connect","3","4","1",0.479162793019947,0.000000000000033999795105723
"32","Tau1.4.0","Tau1","4","4","1",2956.60461271552,0.00000220991756837833
"33","Tau2.4.0","Tau2","5","4","1",6122605.3440901,0.0000000373252799664111
"34","NPQ.4.0","NPQ","6","4","1",0.119261543498071,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000209442190668102
"35","qP.4.0","qP","7","4","1",0.318202802687789,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000074782777793652
"36","ABQ.4.0","ABQ","8","4","1",0.357701639113466,0.00000000000000000000000000000054667814539703
"37","qm.4.0","qm","9","4","1",0.879528089176962,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000373913888968271
"38","nTau1.4.0","nTau1","10","4","1",4.80493645112171,0.00000220991756837833
"39","nTau2.4.0","nTau2","11","4","1",5.88913837412387,0.0000000373252799664111
"40","nCon.4.0","nCon","12","4","1",1.47655151320492,0.000000000000033999795105723
"41","Fm.4.0","Fm","13","4","1",3024.89217990532,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000209442190668102
"42","Fo.4.0","Fo","14","4","1",2887.36149519638,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000074782777793652
"43","Quant.5.0","Quant","1","5","1",0.0433802679764538,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033453294994167
"44","Sigma.5.0","Sigma","2","5","1",3.23077356512804,0.000000000000000000000000158987457497956
"45","Connect.5.0","Connect","3","5","1",0.316608819115649,0.0000575621300552382
"46","Tau1.5.0","Tau1","4","5","1",2506.41762576687,0.0000000000321264638076192
"47","Tau2.5.0","Tau2","5","5","1",7895347.92928753,0.000000000324699844658745
"48","NPQ.5.0","NPQ","6","5","1",0.125002387597115,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000268912272189122
"49","qP.5.0","qP","7","5","1",0.323602936916879,0.000000000000000000000000000000000000000000000000000000000000000000000000000000066906589988334
"50","ABQ.5.0","ABQ","8","5","1",0.287185168668017,0.000000000000000000000000158987457497956
"51","qm.5.0","qm","9","5","1",0.885055466172901,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033453294994167
"52","nTau1.5.0","nTau1","10","5","1",4.07331347586582,0.0000000000321264638076192
"53","nTau2.5.0","nTau2","11","5","1",7.59428280189708,0.000000000324699844658745
"54","nCon.5.0","nCon","12","5","1",0.975637586576493,0.0000575621300552382
"55","Fm.5.0","Fm","13","5","1",3009.4562709573,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000268912272189122
"56","Fo.5.0","Fo","14","5","1",2878.90525145976,0.000000000000000000000000000000000000000000000000000000000000000000000000000000066906589988334
"57","Quant.6.0","Quant","1","6","1",0.0437469269322524,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000190929098023078
"58","Sigma.6.0","Sigma","2","6","1",3.4963511826635,0.0000000000000000000000000000107480553178152
"59","Connect.6.0","Connect","3","6","1",0.241874083907233,0.00015102411402045
"60","Tau1.6.0","Tau1","4","6","1",1838.17510789138,0.000000000208775758601797
"61","Tau2.6.0","Tau2","5","6","1",9046795.46001138,0.00000256313211556555
"62","NPQ.6.0","NPQ","6","6","1",0.148032485118867,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000316457328716987
"63","qP.6.0","qP","7","6","1",0.361173892527611,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000381858196046157
"64","ABQ.6.0","ABQ","8","6","1",0.228590017744283,0.0000000000000000000000000000107480553178152
"65","qm.6.0","qm","9","6","1",0.884083931308923,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000190929098023078
"66","nTau1.6.0","nTau1","10","6","1",2.98731678272659,0.000000000208775758601797
"67","nTau2.6.0","nTau2","11","6","1",8.70182337619221,0.00000256313211556555
"68","nCon.6.0","nCon","12","6","1",0.745340727203354,0.00015102411402045
"69","Fm.6.0","Fm","13","6","1",2949.08509478765,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000316457328716987
"70","Fo.6.0","Fo","14","6","1",2820.07168462898,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000381858196046157
"71","Quant.7.0","Quant","1","7","1",0.0426537397128941,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000820355111636659
"72","Sigma.7.0","Sigma","2","7","1",3.47313109184745,0.00000000000000000000000000000344159735556079
"73","Connect.7.0","Connect","3","7","1",0.344618539026141,0.0000000307461328495246
"74","Tau1.7.0","Tau1","4","7","1",1530.27380644708,0.000000000169801362960664
"75","Tau2.7.0","Tau2","5","7","1",12498818.3488303,0.00366325103551955
"76","NPQ.7.0","NPQ","6","7","1",0.191039859622624,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000234940232817895
"77","qP.7.0","qP","7","7","1",0.424217974269114,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000164071022327332
"78","ABQ.7.0","ABQ","8","7","1",0.233713132931684,0.00000000000000000000000000000344159735556079
"79","qm.7.0","qm","9","7","1",0.886980545395842,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000820355111636659
"80","nTau1.7.0","nTau1","10","7","1",2.48692989288178,0.000000000169801362960664
"81","nTau2.7.0","nTau2","11","7","1",12.022213850571,0.00366325103551955
"82","nCon.7.0","nCon","12","7","1",1.06195020291639,0.0000000307461328495246
"83","Fm.7.0","Fm","13","7","1",2842.59629335059,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000234940232817895
"84","Fo.7.0","Fo","14","7","1",2721.34893094518,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000164071022327332
"85","Quant.8.0","Quant","1","8","1",0.0448622677253839,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000306720225628491
"86","Sigma.8.0","Sigma","2","8","1",3.05980752843305,0.000000000000000000000000000000948676619316794
"87","Connect.8.0","Connect","3","8","1",0.496614746047041,0.00000000000000879000273134734
"88","Tau1.8.0","Tau1","4","8","1",1765.60399733557,0.000000000000515526360670287
"89","Tau2.8.0","Tau2","5","8","1",14925057.5257486,0.00342002166554623
"90","NPQ.8.0","NPQ","6","8","1",0.226933211484923,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000392367206556671
"91","qP.8.0","qP","7","8","1",0.478949639284261,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000613440451256979
"92","ABQ.8.0","ABQ","8","8","1",0.324905895346493,0.000000000000000000000000000000948676619316794
"93","qm.8.0","qm","9","8","1",0.881128616980426,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000306720225628491
"94","nTau1.8.0","nTau1","10","8","1",2.86937758554468,0.000000000000515526360670287
"95","nTau2.8.0","nTau2","11","8","1",14.3559357611926,0.00342002166554623
"96","nCon.8.0","nCon","12","8","1",1.53033012044637,0.00000000000000879000273134734
"97","Fm.8.0","Fm","13","8","1",2759.43748078881,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000392367206556671
"98","Fo.8.0","Fo","14","8","1",2635.6428577542,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000613440451256979
"99","Quant.9.0","Quant","1","9","1",0.0538210025347592,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000121468448458435
"100","Sigma.9.0","Sigma","2","9","1",3.51331050673127,0.000000000000000000000000000281463543411622
"101","Connect.9.0","Connect","3","9","1",0.286936402689216,0.0000605111525149595
"102","Tau1.9.0","Tau1","4","9","1",1728.03660733691,0.0000000000542623575479367
"103","Tau2.9.0","Tau2","5","9","1",11703574.9324178,0.0040016437205204
"104","NPQ.9.0","NPQ","6","9","1",0.260624380398413,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033196737042891
"105","qP.9.0","qP","7","9","1",0.539297074356721,0.000000000000000000000000000000000000000000000000000000000000000000000000000000024293689691687
"106","ABQ.9.0","ABQ","8","9","1",0.22484823346842,0.000000000000000000000000000281463543411622
"107","qm.9.0","qm","9","9","1",0.857390690859196,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000121468448458435
"108","nTau1.9.0","nTau1","10","9","1",2.80832480872029,0.0000000000542623575479367
"109","nTau2.9.0","nTau2","11","9","1",11.2572946279258,0.0040016437205204
"110","nCon.9.0","nCon","12","9","1",0.884201331480884,0.0000605111525149595
"111","Fm.9.0","Fm","13","9","1",2685.68936381039,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033196737042891
"112","Fo.9.0","Fo","14","9","1",2541.14286975317,0.000000000000000000000000000000000000000000000000000000000000000000000000000000024293689691687
"113","Quant.10.0","Quant","1","10","1",0.0832165975967152,0.0000000000000000000000000000000000000000000000000000000000000000000000000000238124854230856
"114","Sigma.10.0","Sigma","2","10","1",4.60049088844394,0.0000000000000000000000000000000000173949728786046
"115","Connect.10.0","Connect","3","10","1",0.304898018060339,0.0000000012541914785946
"116","Tau1.10.0","Tau1","4","10","1",1257.57148963269,0.00000000000000627652632200775
"117","Tau2.10.0","Tau2","5","10","1",4069892.03771071,0.00000000271894423931615
"118","NPQ.10.0","NPQ","6","10","1",0.318292154938147,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000773098705572589
"119","qP.10.0","qP","7","10","1",0.658494108067624,0.0000000000000000000000000000000000000000000000000000000000000000000000000000476249708461712
"120","ABQ.10.0","ABQ","8","10","1",-0.0150194900955629,0.0000000000000000000000000000000000173949728786046
"121","qm.10.0","qm","9","10","1",0.779501292554863,0.0000000000000000000000000000000000000000000000000000000000000000000000000000238124854230856
"122","nTau1.10.0","nTau1","10","10","1",2.04374675749347,0.00000000000000627652632200775
"123","nTau2.10.0","nTau2","11","10","1",3.91469905878529,0.00000000271894423931615
"124","nCon.10.0","nCon","12","10","1",0.939550475325475,0.0000000012541914785946
"125","Fm.10.0","Fm","13","10","1",2568.20574825838,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000773098705572589
"126","Fo.10.0","Fo","14","10","1",2354.48840395999,0.0000000000000000000000000000000000000000000000000000000000000000000000000000476249708461712
"127","Quant.11.0","Quant","1","11","1",0.0937678131431325,0.00000000000000000000000000000000000000000000000000000000000000000000000000000447182031460708
"128","Sigma.11.0","Sigma","2","11","1",4.38771235456075,0.000000000000000000000000000000000000063088616270115
"129","Connect.11.0","Connect","3","11","1",0.254529326528616,0.0000000110146653182017
"130","Tau1.11.0","Tau1","4","11","1",1558.54420470473,0.0000000000000000149924017087973
"131","Tau2.11.0","Tau2","5","11","1",4398401.40980995,0.0000000630323473596321
"132","NPQ.11.0","NPQ","6","11","1",0.303754258796473,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000466758830083688
"133","qP.11.0","qP","7","11","1",0.659225580567042,0.00000000000000000000000000000000000000000000000000000000000000000000000000000894364062921417
"134","ABQ.11.0","ABQ","8","11","1",0.0319264476755349,0.000000000000000000000000000000000000063088616270115
"135","qm.11.0","qm","9","11","1",0.751543776180126,0.00000000000000000000000000000000000000000000000000000000000000000000000000000447182031460708
"136","nTau1.11.0","nTau1","10","11","1",2.53287363067198,0.0000000000000000149924017087973
"137","nTau2.11.0","nTau2","11","11","1",4.2306817231516,0.0000000630323473596321
"138","nCon.11.0","nCon","12","11","1",0.784338157543903,0.0000000110146653182017
"139","Fm.11.0","Fm","13","11","1",2596.84328342785,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000466758830083688
"140","Fo.11.0","Fo","14","11","1",2353.34296766539,0.00000000000000000000000000000000000000000000000000000000000000000000000000000894364062921417
"141","Quant.12.0","Quant","1","12","1",0.10019629036793,0.00000000000000000000000000000000000000000000000000000000000000000000000000188786532167103
"142","Sigma.12.0","Sigma","2","12","1",4.5401924921412,0.000000000000000000000000000000000000522132133111641
"143","Connect.12.0","Connect","3","12","1",0.290804698863247,0.000000000764141945940564
"144","Tau1.12.0","Tau1","4","12","1",1433.8360973403,0.0000000000000000757915724209684
"145","Tau2.12.0","Tau2","5","12","1",4269798.96884914,0.0000000173878215373632
"146","NPQ.12.0","NPQ","6","12","1",0.301774953370595,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000565146533723281
"147","qP.12.0","qP","7","12","1",0.667617355877682,0.00000000000000000000000000000000000000000000000000000000000000000000000000377573064334206
"148","ABQ.12.0","ABQ","8","12","1",-0.00171568209922013,0.000000000000000000000000000000000000522132133111641
"149","qm.12.0","qm","9","12","1",0.734510264118293,0.00000000000000000000000000000000000000000000000000000000000000000000000000188786532167103
"150","nTau1.12.0","nTau1","10","12","1",2.33020380859002,0.0000000000000000757915724209684
"151","nTau2.12.0","nTau2","11","12","1",4.10698314591121,0.0000000173878215373632
"152","nCon.12.0","nCon","12","12","1",0.896121577903382,0.000000000764141945940564
"153","Fm.12.0","Fm","13","12","1",2600.7916970824,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000565146533723281
"154","Fo.12.0","Fo","14","12","1",2340.20201701503,0.00000000000000000000000000000000000000000000000000000000000000000000000000377573064334206
"155","Quant.13.0","Quant","1","13","1",0.10665435858384,0.0000000000000000000000000000000000000000000000000000000000000000000000000648032782656678
"156","Sigma.13.0","Sigma","2","13","1",4.99839140486961,0.000000000000000000000000000000000000959331596817438
"157","Connect.13.0","Connect","3","13","1",0.300780438179065,0.000000000411279599961481
"158","Tau1.13.0","Tau1","4","13","1",1682.03800017172,0.0000000000000000103942187515434
"159","Tau2.13.0","Tau2","5","13","1",5068687.80991212,0.0000166047240944553
"160","NPQ.13.0","NPQ","6","13","1",0.295095794440593,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000960862951477194
"161","qP.13.0","qP","7","13","1",0.670691344820659,0.000000000000000000000000000000000000000000000000000000000000000000000000129606556531336
"162","ABQ.13.0","ABQ","8","13","1",-0.102809421449551,0.000000000000000000000000000000000000959331596817438
"163","qm.13.0","qm","9","13","1",0.717398344917971,0.0000000000000000000000000000000000000000000000000000000000000000000000000648032782656678
"164","nTau1.13.0","nTau1","10","13","1",2.73357000947581,0.0000000000000000103942187515434
"165","nTau2.13.0","nTau2","11","13","1",4.87540878600325,0.0000166047240944553
"166","nCon.13.0","nCon","12","13","1",0.926862055245696,0.000000000411279599961481
"167","Fm.13.0","Fm","13","13","1",2614.20468256441,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000960862951477194
"168","Fo.13.0","Fo","14","13","1",2335.38835893863,0.000000000000000000000000000000000000000000000000000000000000000000000000129606556531336
"169","Quant.14.0","Quant","1","14","1",0.115352180579123,0.0000000000000000000000000000000000000000000000000000000000000000000000433201175728918
"170","Sigma.14.0","Sigma","2","14","1",4.79354214539155,0.0000000000000000000000000000000000249440321331287
"171","Connect.14.0","Connect","3","14","1",0.285903787123981,0.0000000200328159199803
"172","Tau1.14.0","Tau1","4","14","1",1497.822358332,0.000000000000000899697109471437
"173","Tau2.14.0","Tau2","5","14","1",3884364.51400868,0.00000341955263717255
"174","NPQ.14.0","NPQ","6","14","1",0.283180615059485,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000182243049998702
"175","qP.14.0","qP","7","14","1",0.671498148721973,0.0000000000000000000000000000000000000000000000000000000000000000000000866402351457836
"176","ABQ.14.0","ABQ","8","14","1",-0.0576129422163973,0.0000000000000000000000000000000000249440321331287
"177","qm.14.0","qm","9","14","1",0.694351758504499,0.0000000000000000000000000000000000000000000000000000000000000000000000433201175728918
"178","nTau1.14.0","nTau1","10","14","1",2.43419130711713,0.000000000000000899697109471437
"179","nTau2.14.0","nTau2","11","14","1",3.73624606404108,0.00000341955263717255
"180","nCon.14.0","nCon","12","14","1",0.881019302121309,0.0000000200328159199803
"181","Fm.14.0","Fm","13","14","1",2638.47929937683,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000182243049998702
"182","Fo.14.0","Fo","14","14","1",2334.12495878083,0.0000000000000000000000000000000000000000000000000000000000000000000000866402351457836
"183","Quant.15.0","Quant","1","15","1",0.119703684982943,0.000000000000000000000000000000000000000000000000000000000000000000000000767213467233828
"184","Sigma.15.0","Sigma","2","15","1",4.63921354719335,0.0000000000000000000000000000000000000312682427601346
"185","Connect.15.0","Connect","3","15","1",0.329939849234866,0.00000000000305205890165753
"186","Tau1.15.0","Tau1","4","15","1",1297.30916894788,0.0000000000000000345930785603492
"187","Tau2.15.0","Tau2","5","15","1",3367117.96210732,0.0000000561886722488425
"188","NPQ.15.0","NPQ","6","15","1",0.273734016897648,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114442569835466
"189","qP.15.0","qP","7","15","1",0.667829764651282,0.00000000000000000000000000000000000000000000000000000000000000000000000153442693446766
"190","ABQ.15.0","ABQ","8","15","1",-0.0235629812777098,0.0000000000000000000000000000000000000312682427601346
"191","qm.15.0","qm","9","15","1",0.682821593559112,0.000000000000000000000000000000000000000000000000000000000000000000000000767213467233828
"192","nTau1.15.0","nTau1","10","15","1",2.10832658768224,0.0000000000000000345930785603492
"193","nTau2.15.0","nTau2","11","15","1",3.23872313932311,0.0000000561886722488425
"194","nCon.15.0","nCon","12","15","1",1.01671747212239,0.00000000000305205890165753
"195","Fm.15.0","Fm","13","15","1",2658.0474771666,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114442569835466
"196","Fo.15.0","Fo","14","15","1",2339.86939929015,0.00000000000000000000000000000000000000000000000000000000000000000000000153442693446766
"197","Quant.16.0","Quant","1","16","1",0.0471174253082102,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000505482615738616
"198","Sigma.16.0","Sigma","2","16","1",3.39472573325058,0.000000000000000000000000000000812874286001149
"199","Connect.16.0","Connect","3","16","1",0.508596426051064,0.00000000000000107452879677198
"200","Tau1.16.0","Tau1","4","16","1",1315.47012960551,0.0000000000353347305871576
"201","Tau2.16.0","Tau2","5","16","1",8810499.31011852,0.00000453042002495392
