"","uni","metric","metrix","stage","col","ASnormalized.t9_aabr1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.368883536926347,0.00000000000000000000000000000000000000000000000000000000000000564123930513283
"2","Sigma.1.0","Sigma","2","1","1",4.49799160746436,0.0000000000000000000000000000000000000000000000000000163562805581156
"3","Connect.1.0","Connect","3","1","1",0.344075098762738,0.00000000000000000000000432877778107712
"4","Tau1.1.0","Tau1","4","1","1",607.817725428751,0.0000000000000000000000000000314483894374828
"5","Tau2.1.0","Tau2","5","1","1",1154014.77764599,0.000000000000000000000000216539207445693
"6","NPQ.1.0","NPQ","6","1","1",0.774953173096382,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000001578089658796
"7","qP.1.0","qP","7","1","1",1.22086624348664,0.0000000000000000000000000000000000000000000000000000000000000112824786102657
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000000000163562805581156
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000000000564123930513283
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000314483894374828
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000000216539207445693
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000000000432877778107712
"13","Fm.1.0","Fm","13","1","1",1874.16686918529,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000001578089658796
"14","Fo.1.0","Fo","14","1","1",1182.81756569004,0.0000000000000000000000000000000000000000000000000000000000000112824786102657
"15","Quant.3.0","Quant","1","3","1",0.0587301241140841,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000141699738679424
"16","Sigma.3.0","Sigma","2","3","1",3.01762309265232,0.000000000000000000000000000000000225214720477909
"17","Connect.3.0","Connect","3","3","1",0.474959837042742,0.000000000000000173864323185377
"18","Tau1.3.0","Tau1","4","3","1",3317.75950042743,0.000000619175242976749
"19","Tau2.3.0","Tau2","5","3","1",3801713.41857931,0.0000000000378051603445059
"20","NPQ.3.0","NPQ","6","3","1",0.123663011706325,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000451713927805643
"21","qP.3.0","qP","7","3","1",0.307512915005393,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000283399477358804
"22","ABQ.3.0","ABQ","8","3","1",0.329117669396134,0.000000000000000000000000000000000225214720477909
"23","qm.3.0","qm","9","3","1",0.840789522342358,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000141699738679424
"24","nTau1.3.0","nTau1","10","3","1",5.45847770083885,0.000000619175242976749
"25","nTau2.3.0","nTau2","11","3","1",3.29433685964942,0.0000000000378051603445059
"26","nCon.3.0","nCon","12","3","1",1.38039584599598,0.000000000000000173864323185377
"27","Fm.3.0","Fm","13","3","1",2960.45913829721,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000451713927805643
"28","Fo.3.0","Fo","14","3","1",2786.59100567034,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000283399477358804
"29","Quant.4.0","Quant","1","4","1",0.0540053020495523,0.000000000000000000000000000000000000000000000000000000000000000000000000000000144987170832035
