"","uni","metric","metrix","stage","col","ASnormalized.aglo10.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.385739078054792,0.0000000000000000000000000000000000000000000000000000000296432583105938
"2","Sigma.1.0","Sigma","2","1","1",4.45537272856286,0.00000000000000000000000000000000000000000000000273766153408522
"3","Connect.1.0","Connect","3","1","1",0.315858828768506,0.00000000000000000590222787123673
"4","Tau1.1.0","Tau1","4","1","1",643.578506393263,0.00000000000000000000000000205545048005942
"5","Tau2.1.0","Tau2","5","1","1",822666.321536567,0.00000000000000000000000000912722375942664
"6","NPQ.1.0","NPQ","6","1","1",0.779516512917398,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000344258513707225
"7","qP.1.0","qP","7","1","1",1.25670071341735,0.0000000000000000000000000000000000000000000000000000000592865166211876
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000273766153408522
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000296432583105938
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000205545048005942
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000000000000912722375942664
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000590222787123673
"13","Fm.1.0","Fm","13","1","1",2015.44157786297,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000344258513707225
"14","Fo.1.0","Fo","14","1","1",1238.00700174481,0.0000000000000000000000000000000000000000000000000000000592865166211876
"15","Quant.3.0","Quant","1","3","1",0.0609972697698757,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000377788187979261
"16","Sigma.3.0","Sigma","2","3","1",3.08508532374689,0.000000000000000000000000000000000869693128647076
"17","Connect.3.0","Connect","3","3","1",0.371253745109498,0.0000000000138855146750302
"18","Tau1.3.0","Tau1","4","3","1",2531.1553341949,0.000000431093939360455
"19","Tau2.3.0","Tau2","5","3","1",6099875.68988243,0.000014117998225567
"20","NPQ.3.0","NPQ","6","3","1",0.128628644328243,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000281933648093498
"21","qP.3.0","qP","7","3","1",0.322447717885333,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000755576375958519
"22","ABQ.3.0","ABQ","8","3","1",0.307558421774955,0.000000000000000000000000000000000869693128647076
"23","qm.3.0","qm","9","3","1",0.841869094317659,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000377788187979261
"24","nTau1.3.0","nTau1","10","3","1",3.93293950784648,0.000000431093939360455
"25","nTau2.3.0","nTau2","11","3","1",7.41476286337959,0.000014117998225567
"26","nCon.3.0","nCon","12","3","1",1.17537871762828,0.0000000000138855146750302
"27","Fm.3.0","Fm","13","3","1",3177.76053855353,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000281933648093498
"28","Fo.3.0","Fo","14","3","1",2983.92582171931,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000755576375958519
"29","Quant.4.0","Quant","1","4","1",0.0394480807721662,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000162309321732994
"30","Sigma.4.0","Sigma","2","4","1",2.92121760304265,0.0000000000000000000000000164109114243551
"31","Connect.4.0","Connect","3","4","1",0.403872651623969,0.000000053239380103743
"32","Tau1.4.0","Tau1","4","4","1",4600.11654015224,0.0000011344473753593
"33","Tau2.4.0","Tau2","5","4","1",5029087.84657824,0.000000189086084517771
"34","NPQ.4.0","NPQ","6","4","1",0.112020753148331,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000386132184388241
"35","qP.4.0","qP","7","4","1",0.261410530391407,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000324618643465983
"36","ABQ.4.0","ABQ","8","4","1",0.344338222408403,0.0000000000000000000000000164109114243551
"37","qm.4.0","qm","9","4","1",0.897733771307031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000162309321732994
"38","nTau1.4.0","nTau1","10","4","1",7.14771623734324,0.0000011344473753593
"39","nTau2.4.0","nTau2","11","4","1",6.11315634896171,0.000000189086084517771
"40","nCon.4.0","nCon","12","4","1",1.2786492408606,0.000000053239380103743
"41","Fm.4.0","Fm","13","4","1",3225.21999564612,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000386132184388241
"42","Fo.4.0","Fo","14","4","1",3097.99125674986,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000324618643465983
"43","Quant.5.0","Quant","1","5","1",0.0385769916894467,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000562710697172205
"44","Sigma.5.0","Sigma","2","5","1",3.45045286541717,0.0000000000000000000000000409595775148618
"45","Connect.5.0","Connect","3","5","1",0.29965723258785,0.0000295827631171071
"46","Tau1.5.0","Tau1","4","5","1",2104.7290767315,0.0000000132612690626688
"47","Tau2.5.0","Tau2","5","5","1",8903149.04710186,0.00000000889229435484836
"48","NPQ.5.0","NPQ","6","5","1",0.144662903893932,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000395906912191309
"49","qP.5.0","qP","7","5","1",0.307223983353019,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000112542139434441
"50","ABQ.5.0","ABQ","8","5","1",0.225552366629905,0.0000000000000000000000000409595775148618
"51","qm.5.0","qm","9","5","1",0.899992005259143,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000562710697172205
"52","nTau1.5.0","nTau1","10","5","1",3.27035327597685,0.0000000132612690626688
"53","nTau2.5.0","nTau2","11","5","1",10.8223088924713,0.00000000889229435484836
"54","nCon.5.0","nCon","12","5","1",0.948706210797323,0.0000295827631171071
"55","Fm.5.0","Fm","13","5","1",3133.2469641733,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000395906912191309
"56","Fo.5.0","Fo","14","5","1",3012.3757220754,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000112542139434441
"57","Quant.6.0","Quant","1","6","1",0.0431379405192953,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000577768098751934
"58","Sigma.6.0","Sigma","2","6","1",4.07768998037718,0.0000000000000000000000000000412506165150673
"59","Connect.6.0","Connect","3","6","1",0.119310156069777,0.0722741077209039
"60","Tau1.6.0","Tau1","4","6","1",2001.33169892473,0.0000000461030224614082
"61","Tau2.6.0","Tau2","5","6","1",11597191.0320759,0.00900272184735673
"62","NPQ.6.0","NPQ","6","6","1",0.187328360138131,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000494926401216399
"63","qP.6.0","qP","7","6","1",0.372519728741339,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000115553619750387
"64","ABQ.6.0","ABQ","8","6","1",0.0847701800041094,0.0000000000000000000000000000412506165150673
"65","qm.6.0","qm","9","6","1",0.888168083107287,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000577768098751934
"66","nTau1.6.0","nTau1","10","6","1",3.10969319056439,0.0000000461030224614082
"67","nTau2.6.0","nTau2","11","6","1",14.0970776710718,0.00900272184735673
"68","nCon.6.0","nCon","12","6","1",0.377732534926922,0.0722741077209039
"69","Fm.6.0","Fm","13","6","1",3020.65687053092,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000494926401216399
"70","Fo.6.0","Fo","14","6","1",2890.35195412075,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000115553619750387
"71","Quant.7.0","Quant","1","7","1",0.0488835296309391,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000516811834678362
"72","Sigma.7.0","Sigma","2","7","1",3.81771925888663,0.0000000000000000000000000000479463813187494
"73","Connect.7.0","Connect","3","7","1",0.338645694410856,0.000000090968242120683
"74","Tau1.7.0","Tau1","4","7","1",1443.66388712085,0.00000000000000000892701706436886
"75","Tau2.7.0","Tau2","5","7","1",8509974.13565244,0.00000000417370480024184
"76","NPQ.7.0","NPQ","6","7","1",0.225066040736626,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000263750377808275
"77","qP.7.0","qP","7","7","1",0.429164520371233,0.000000000000000000000000000000000000000000000000000000000000000000000000000000103362366935672
"78","ABQ.7.0","ABQ","8","7","1",0.143120117782359,0.0000000000000000000000000000479463813187494
"79","qm.7.0","qm","9","7","1",0.873273068734832,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000516811834678362
"80","nTau1.7.0","nTau1","10","7","1",2.24318225792129,0.00000000000000000892701706436886
"81","nTau2.7.0","nTau2","11","7","1",10.3443813279698,0.00000000417370480024184
"82","nCon.7.0","nCon","12","7","1",1.07214256359777,0.000000090968242120683
"83","Fm.7.0","Fm","13","7","1",2927.60671618234,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000263750377808275
"84","Fo.7.0","Fo","14","7","1",2784.4949665241,0.000000000000000000000000000000000000000000000000000000000000000000000000000000103362366935672
"85","Quant.8.0","Quant","1","8","1",0.051335207316514,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000686386392337299
"86","Sigma.8.0","Sigma","2","8","1",3.86829395883807,0.000000000000000000000000000000222898341597015
"87","Connect.8.0","Connect","3","8","1",0.31287361039301,0.0000000619544425349025
"88","Tau1.8.0","Tau1","4","8","1",1846.24437009994,0.0000000000056119494232369
"89","Tau2.8.0","Tau2","5","8","1",11056406.9629751,0.000533309471816282
"90","NPQ.8.0","NPQ","6","8","1",0.260258525337478,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000295325188052287
"91","qP.8.0","qP","7","8","1",0.474506054653002,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000013727727846746
"92","ABQ.8.0","ABQ","8","8","1",0.131768721831306,0.000000000000000000000000000000222898341597015
"93","qm.8.0","qm","9","8","1",0.866917275855515,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000686386392337299
"94","nTau1.8.0","nTau1","10","8","1",2.86871663947674,0.0000000000056119494232369
"95","nTau2.8.0","nTau2","11","8","1",13.4397223680242,0.000533309471816282
"96","nCon.8.0","nCon","12","8","1",0.990548884173557,0.0000000619544425349025
"97","Fm.8.0","Fm","13","8","1",2845.85384389051,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000295325188052287
"98","Fo.8.0","Fo","14","8","1",2699.76134682189,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000013727727846746
"99","Quant.9.0","Quant","1","9","1",0.0565494563858809,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000854369481353328
"100","Sigma.9.0","Sigma","2","9","1",4.00735486840808,0.0000000000000000000000000000000000466866709164523
"101","Connect.9.0","Connect","3","9","1",0.333355773911268,0.0000000000418820791119541
"102","Tau1.9.0","Tau1","4","9","1",1601.60951241666,0.0000000000182105544054514
"103","Tau2.9.0","Tau2","5","9","1",9397795.57202983,0.000379677621939456
"104","NPQ.9.0","NPQ","6","9","1",0.292418478807826,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116889839881392
