"","uni","metric","metrix","stage","col","ASnormalized.t10_ahya1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.381477626199656,0.0000000000000000000000000000000000000000000000000000000000799071853889774
"2","Sigma.1.0","Sigma","2","1","1",4.50687207939853,0.0000000000000000000000000000000000000000000000000219956632748086
"3","Connect.1.0","Connect","3","1","1",0.324209685223179,0.0000000000000000000276459321428742
"4","Tau1.1.0","Tau1","4","1","1",674.629277353826,0.0000000000000000000000000000081145796101788
"5","Tau2.1.0","Tau2","5","1","1",916147.067519465,0.000000000000000000000000000000220550605329676
"6","NPQ.1.0","NPQ","6","1","1",0.770686285840685,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000284477383416216
"7","qP.1.0","qP","7","1","1",1.4083097683615,0.000000000000000000000000000000000000000000000000000000000159814370777955
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000000219956632748086
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000799071853889774
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000081145796101788
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000000000000220550605329676
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000000276459321428742
"13","Fm.1.0","Fm","13","1","1",1974.58024316416,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000284477383416216
"14","Fo.1.0","Fo","14","1","1",1221.32205926116,0.000000000000000000000000000000000000000000000000000000000159814370777955
"15","Quant.3.0","Quant","1","3","1",0.0398375990842563,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000172966212409345
"16","Sigma.3.0","Sigma","2","3","1",2.73303139447355,0.0000000000000000000000000000757908770370449
"17","Connect.3.0","Connect","3","3","1",0.525251503534141,0.00000000000000672093067222257
"18","Tau1.3.0","Tau1","4","3","1",6031.84372969468,0.00171264540125139
"19","Tau2.3.0","Tau2","5","3","1",7077445.0382176,0.000361109339120401
"20","NPQ.3.0","NPQ","6","3","1",0.0731368149072748,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000347955312167041
"21","qP.3.0","qP","7","3","1",0.22785079615597,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000345932424818342
"22","ABQ.3.0","ABQ","8","3","1",0.393585762736295,0.0000000000000000000000000000757908770370449
"23","qm.3.0","qm","9","3","1",0.895570286831432,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000172966212409345
"24","nTau1.3.0","nTau1","10","3","1",8.94097533589715,0.00171264540125139
"25","nTau2.3.0","nTau2","11","3","1",7.72522806559901,0.000361109339120401
"26","nCon.3.0","nCon","12","3","1",1.62009812622522,0.00000000000000672093067222257
"27","Fm.3.0","Fm","13","3","1",3258.07679719277,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000347955312167041
"28","Fo.3.0","Fo","14","3","1",3128.28283996049,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000345932424818342
"29","Quant.4.0","Quant","1","4","1",0.0413618359753206,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000391440154693524
"30","Sigma.4.0","Sigma","2","4","1",2.55410472063797,0.00000000000000000000000000394656865935084
"31","Connect.4.0","Connect","3","4","1",0.640814325744654,0.000000000000000000847812847368649
"32","Tau1.4.0","Tau1","4","4","1",3963.59173705839,0.000619603394475271
"33","Tau2.4.0","Tau2","5","4","1",4793811.61988768,0.000000274567721064347
"34","NPQ.4.0","NPQ","6","4","1",0.0916677196222416,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161486606758974
