"","uni","metric","metrix","stage","col","ASnormalized.ahya5.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.386953639523494,0.0000000000000000000000000000000000000000000000000000000000206987857490239
"2","Sigma.1.0","Sigma","2","1","1",4.29184488159164,0.00000000000000000000000000000000000000000000000000320885341362907
"3","Connect.1.0","Connect","3","1","1",0.33561865955913,0.000000000000000000000692512473771714
"4","Tau1.1.0","Tau1","4","1","1",807.311515374387,0.00000000000000000000000000000141106543066005
"5","Tau2.1.0","Tau2","5","1","1",866330.159749269,0.00000000000000000000000000000000205146746394089
"6","NPQ.1.0","NPQ","6","1","1",0.775547443786205,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000021138067600976
"7","qP.1.0","qP","7","1","1",1.410213814858,0.0000000000000000000000000000000000000000000000000000000000413975714980478
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000000320885341362907
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000206987857490239
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000000141106543066005
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000000000000000000205146746394089
"12","nCon.1.0","nCon","12","1","1",1,0.000000000000000000000692512473771714
"13","Fm.1.0","Fm","13","1","1",1926.85283596563,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000021138067600976
"14","Fo.1.0","Fo","14","1","1",1181.25011826256,0.0000000000000000000000000000000000000000000000000000000000413975714980478
"15","Quant.3.0","Quant","1","3","1",0.0335120967488106,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000197116682840679
"16","Sigma.3.0","Sigma","2","3","1",2.86307620204829,0.000000000000000000000000000807248652235274
"17","Connect.3.0","Connect","3","3","1",0.588480844407743,0.0000000000000000454571569469272
"18","Tau1.3.0","Tau1","4","3","1",6907.55841954876,0.000351681590179432
"19","Tau2.3.0","Tau2","5","3","1",8274757.72362293,0.00000125481466157403
"20","NPQ.3.0","NPQ","6","3","1",0.0426678941860514,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000771416358082577
"21","qP.3.0","qP","7","3","1",0.157368858887173,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000394233365681281
"22","ABQ.3.0","ABQ","8","3","1",0.332903149801978,0.000000000000000000000000000807248652235274
"23","qm.3.0","qm","9","3","1",0.913395059960986,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000197116682840679
"24","nTau1.3.0","nTau1","10","3","1",8.55624909096634,0.000351681590179432
"25","nTau2.3.0","nTau2","11","3","1",9.55150600553695,0.00000125481466157403
"26","nCon.3.0","nCon","12","3","1",1.75342111544327,0.0000000000000000454571569469272
"27","Fm.3.0","Fm","13","3","1",3281.21604830052,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000771416358082577
"28","Fo.3.0","Fo","14","3","1",3171.25561863612,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000394233365681281
"29","Quant.4.0","Quant","1","4","1",0.0354881128935138,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000205816161692739
"30","Sigma.4.0","Sigma","2","4","1",2.46226892598817,0.0000000000000000000000000575716706517434
"31","Connect.4.0","Connect","3","4","1",0.596120213109561,0.00000000000000137604179861614
"32","Tau1.4.0","Tau1","4","4","1",5149.42775835487,0.00122070676397171
