"","uni","metric","metrix","stage","col","ASnormalized.t4_ahya1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.371923602445074,0.00000000000000000000000000000000000000000000000000000000000148859715146987
"2","Sigma.1.0","Sigma","2","1","1",4.53960483895185,0.0000000000000000000000000000000000000000000000000027125956949835
"3","Connect.1.0","Connect","3","1","1",0.317993309187384,0.0000000000000000000142494138736844
"4","Tau1.1.0","Tau1","4","1","1",626.191817027317,0.000000000000000000000000000000168856869154742
"5","Tau2.1.0","Tau2","5","1","1",1066839.78125592,0.000000000000000000000000000001947003261134
"6","NPQ.1.0","NPQ","6","1","1",0.819366654282345,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000125413852815629
"7","qP.1.0","qP","7","1","1",1.42723540849184,0.00000000000000000000000000000000000000000000000000000000000297719430293973
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000000027125956949835
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000000148859715146987
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000000168856869154742
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000000000001947003261134
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000000142494138736844
"13","Fm.1.0","Fm","13","1","1",1895.66107573849,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000125413852815629
"14","Fo.1.0","Fo","14","1","1",1190.61997943493,0.00000000000000000000000000000000000000000000000000000000000297719430293973
"15","Quant.3.0","Quant","1","3","1",0.0374234384628494,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000140509500211004
"16","Sigma.3.0","Sigma","2","3","1",2.51700595541973,0.00000000000000000000000000000425333481917829
"17","Connect.3.0","Connect","3","3","1",0.595667150336607,0.00000000000000000429322084128687
"18","Tau1.3.0","Tau1","4","3","1",7199.18451041902,0.000178268068302833
"19","Tau2.3.0","Tau2","5","3","1",8145298.13302909,0.00122327646103504
"20","NPQ.3.0","NPQ","6","3","1",0.0551325476935713,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000590170194425279
"21","qP.3.0","qP","7","3","1",0.191203459118859,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000281018999831838
"22","ABQ.3.0","ABQ","8","3","1",0.445545142206501,0.00000000000000000000000000000425333481917829
"23","qm.3.0","qm","9","3","1",0.899378694396315,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000140509500211004
"24","nTau1.3.0","nTau1","10","3","1",11.4967719389807,0.000178268068302833
"25","nTau2.3.0","nTau2","11","3","1",7.63497788153358,0.00122327646103504
"26","nCon.3.0","nCon","12","3","1",1.87320655223471,0.00000000000000000429322084128687
"27","Fm.3.0","Fm","13","3","1",3268.69127159295,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000590170194425279
"28","Fo.3.0","Fo","14","3","1",3146.36560493644,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000281018999831838
