"","uni","metric","metrix","stage","col","ASnormalized.t3_ahya1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.365773691361877,0.00000000000000000000000000000000000000000000000000000000243309369266166
"2","Sigma.1.0","Sigma","2","1","1",5.10052048972002,0.0000000000000000000000000000000000000000000000047442978060794
"3","Connect.1.0","Connect","3","1","1",0.289435643955261,0.000000000000000656748607496737
"4","Tau1.1.0","Tau1","4","1","1",645.59092026463,0.0000000000000000000000000000000613496591743853
"5","Tau2.1.0","Tau2","5","1","1",993840.950559941,0.000000000000000000000000000000030092945978504
"6","NPQ.1.0","NPQ","6","1","1",0.747588537159351,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000532784797718173
"7","qP.1.0","qP","7","1","1",1.30854638750509,0.00000000000000000000000000000000000000000000000000000000486618738532332
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000047442978060794
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000243309369266166
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000000613496591743853
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000000000000030092945978504
"12","nCon.1.0","nCon","12","1","1",1,0.000000000000000656748607496737
"13","Fm.1.0","Fm","13","1","1",2006.07334608195,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000532784797718173
"14","Fo.1.0","Fo","14","1","1",1272.30449314289,0.00000000000000000000000000000000000000000000000000000000486618738532332
"15","Quant.3.0","Quant","1","3","1",0.042867737890762,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000952796448474221
"16","Sigma.3.0","Sigma","2","3","1",2.74871531940086,0.00000000000000000000000000000600815574979436
"17","Connect.3.0","Connect","3","3","1",0.567445245154125,0.0000000000000000203339139820874
"18","Tau1.3.0","Tau1","4","3","1",5690.86833812037,0.00000801613913619485
"19","Tau2.3.0","Tau2","5","3","1",5696968.88229365,0.0000000027577278641421
"20","NPQ.3.0","NPQ","6","3","1",0.0658659123771381,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000546252449231109
"21","qP.3.0","qP","7","3","1",0.209533381303295,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000190559289694298
"22","ABQ.3.0","ABQ","8","3","1",0.461091211192891,0.00000000000000000000000000000600815574979436
"23","qm.3.0","qm","9","3","1",0.882802566441688,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000952796448474221
"24","nTau1.3.0","nTau1","10","3","1",8.81497579889702,0.00000801613913619485
"25","nTau2.3.0","nTau2","11","3","1",5.73227424275878,0.0000000027577278641421
