"","uni","metric","metrix","stage","col","ASnormalized.t5_ahya1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.382332200569733,0.0000000000000000000000000000000000000000000000000000000000000157681805597931
"2","Sigma.1.0","Sigma","2","1","1",4.1450504638228,0.0000000000000000000000000000000000000000000000000000123033579158014
"3","Connect.1.0","Connect","3","1","1",0.330508201203103,0.0000000000000000000000075612419787522
"4","Tau1.1.0","Tau1","4","1","1",647.257695583834,0.0000000000000000000000000000000632975662106876
"5","Tau2.1.0","Tau2","5","1","1",973052.993419976,0.0000000000000000000000000000000386485545624919
"6","NPQ.1.0","NPQ","6","1","1",0.81462135126742,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000083495021390666
"7","qP.1.0","qP","7","1","1",1.42201561556024,0.0000000000000000000000000000000000000000000000000000000000000315363611195862
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000000000123033579158014
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000000157681805597931
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000000632975662106876
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000000000386485545624919
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000000000075612419787522
"13","Fm.1.0","Fm","13","1","1",1927.0716128603,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000083495021390666
"14","Fo.1.0","Fo","14","1","1",1190.29008245996,0.0000000000000000000000000000000000000000000000000000000000000315363611195862
"15","Quant.3.0","Quant","1","3","1",0.0347187323231238,0.000000000000000000000000000000000000000000000000000000000000000000000000000000155497637351855
"16","Sigma.3.0","Sigma","2","3","1",3.12903774935087,0.00000000000000000000000816574721266374
"17","Connect.3.0","Connect","3","3","1",0.462468777934669,0.00000000598542660983046
"18","Tau1.3.0","Tau1","4","3","1",4885.63932528307,0.0000166148682330571
"19","Tau2.3.0","Tau2","5","3","1",6318551.14243928,0.0000000663533686444207
"20","NPQ.3.0","NPQ","6","3","1",0.0666006486197509,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000604069863134324
"21","qP.3.0","qP","7","3","1",0.204787652878488,0.000000000000000000000000000000000000000000000000000000000000000000000000000000310995274703709
"22","ABQ.3.0","ABQ","8","3","1",0.24511467914311,0.00000000000000000000000816574721266374
"23","qm.3.0","qm","9","3","1",0.909192235779807,0.000000000000000000000000000000000000000000000000000000000000000000000000000000155497637351855
"24","nTau1.3.0","nTau1","10","3","1",7.54821357647384,0.0000166148682330571
"25","nTau2.3.0","nTau2","11","3","1",6.49353240282583,0.0000000663533686444207
"26","nCon.3.0","nCon","12","3","1",1.39926566497052,0.00000000598542660983046
"27","Fm.3.0","Fm","13","3","1",3278.5516290871,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000604069863134324
"28","Fo.3.0","Fo","14","3","1",3164.72447266929,0.000000000000000000000000000000000000000000000000000000000000000000000000000000310995274703709
"29","Quant.4.0","Quant","1","4","1",0.0375133944864201,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000203554359686658
"30","Sigma.4.0","Sigma","2","4","1",2.53309851657831,0.000000000000000000000000000047311190192213
"31","Connect.4.0","Connect","3","4","1",0.53434745124572,0.0000000000000011687855984581
"32","Tau1.4.0","Tau1","4","4","1",3717.38453151154,0.0000284701588647286
"33","Tau2.4.0","Tau2","5","4","1",6195261.89693751,0.000000111776446887345
"34","NPQ.4.0","NPQ","6","4","1",0.0901287724764487,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000388784774886585
"35","qP.4.0","qP","7","4","1",0.252423306019072,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000407108719372928
"36","ABQ.4.0","ABQ","8","4","1",0.388885964432351,0.000000000000000000000000000047311190192213
"37","qm.4.0","qm","9","4","1",0.901882722850653,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000203554359686658
"38","nTau1.4.0","nTau1","10","4","1",5.7432836362933,0.0000284701588647286
"39","nTau2.4.0","nTau2","11","4","1",6.36682887656828,0.000000111776446887345
"40","nCon.4.0","nCon","12","4","1",1.61674490769248,0.0000000000000011687855984581
