"","uni","metric","metrix","stage","col","ASnormalized.t3_aabr1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.380915879698682,0.00000000000000000000000000000000000000000000000000000000637650731920476
"2","Sigma.1.0","Sigma","2","1","1",4.62579567792056,0.00000000000000000000000000000000000000000000000164686578011473
"3","Connect.1.0","Connect","3","1","1",0.309914554957769,0.0000000000000000062758800217186
"4","Tau1.1.0","Tau1","4","1","1",649.321374220252,0.0000000000000000000000000000194680941449412
"5","Tau2.1.0","Tau2","5","1","1",939176.325461244,0.00000000000000000000000000081403164408907
"6","NPQ.1.0","NPQ","6","1","1",0.727099938713271,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000545758657372473
"7","qP.1.0","qP","7","1","1",1.30083608494297,0.0000000000000000000000000000000000000000000000000000000127530146384095
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000164686578011473
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000637650731920476
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000194680941449412
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000000000000081403164408907
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000062758800217186
"13","Fm.1.0","Fm","13","1","1",2111.99944825696,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000545758657372473
"14","Fo.1.0","Fo","14","1","1",1307.50532050103,0.0000000000000000000000000000000000000000000000000000000127530146384095
"15","Quant.3.0","Quant","1","3","1",0.0402780287603004,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000329037296236968
"16","Sigma.3.0","Sigma","2","3","1",2.7008548658477,0.000000000000000000000000000159742167569351
"17","Connect.3.0","Connect","3","3","1",0.478642269693611,0.00000000000208687017809704
"18","Tau1.3.0","Tau1","4","3","1",5402.96129673693,0.00000395290988187632
"19","Tau2.3.0","Tau2","5","3","1",6358477.92939357,0.0000000000473809539724376
"20","NPQ.3.0","NPQ","6","3","1",0.0621667165035459,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168258840853609
"21","qP.3.0","qP","7","3","1",0.195564977459314,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000658074592472253
"22","ABQ.3.0","ABQ","8","3","1",0.416131828143821,0.000000000000000000000000000159742167569351
"23","qm.3.0","qm","9","3","1",0.89426004294659,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000329037296236968
"24","nTau1.3.0","nTau1","10","3","1",8.32093553554303,0.00000395290988187632
"25","nTau2.3.0","nTau2","11","3","1",6.77027066911085,0.0000000000473809539724376
"26","nCon.3.0","nCon","12","3","1",1.54443301237928,0.00000000000208687017809704
"27","Fm.3.0","Fm","13","3","1",3434.1446224698,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168258840853609
"28","Fo.3.0","Fo","14","3","1",3295.82404659893,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000658074592472253
"29","Quant.4.0","Quant","1","4","1",0.0408173448926611,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000016209969359819
"30","Sigma.4.0","Sigma","2","4","1",2.69757059216164,0.000000000000000000000000000150633703023637
"31","Connect.4.0","Connect","3","4","1",0.54472521155601,0.00000000000000610168879168381
"32","Tau1.4.0","Tau1","4","4","1",2093.91446569331,0.0000455595684235335
"33","Tau2.4.0","Tau2","5","4","1",4521967.40602963,0.00000000339018222450362
"34","NPQ.4.0","NPQ","6","4","1",0.0982933301899041,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000532246173285131
"35","qP.4.0","qP","7","4","1",0.256824348949318,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000324199387195848
"36","ABQ.4.0","ABQ","8","4","1",0.416841819227459,0.000000000000000000000000000150633703023637
"37","qm.4.0","qm","9","4","1",0.892844202439265,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000016209969359819
"38","nTau1.4.0","nTau1","10","4","1",3.22477366189865,0.0000455595684235335
"39","nTau2.4.0","nTau2","11","4","1",4.81482260938469,0.00000000339018222450362
"40","nCon.4.0","nCon","12","4","1",1.75766256486482,0.00000000000000610168879168381
"41","Fm.4.0","Fm","13","4","1",3321.18389266404,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000532246173285131
"42","Fo.4.0","Fo","14","4","1",3185.62198426522,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000324199387195848
"43","Quant.5.0","Quant","1","5","1",0.0471841170942927,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000884710232232037
"44","Sigma.5.0","Sigma","2","5","1",3.41196444811612,0.0000000000000000000000000000150364003382329
"45","Connect.5.0","Connect","3","5","1",0.440353681279121,0.000000000131086676864648
"46","Tau1.5.0","Tau1","4","5","1",1854.56867727638,0.00000000434026638377359
"47","Tau2.5.0","Tau2","5","5","1",4845709.01378974,0.0000000000915391899349751
"48","NPQ.5.0","NPQ","6","5","1",0.124091219896532,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000349904708106543
"49","qP.5.0","qP","7","5","1",0.308949401987834,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000176942046446407
"50","ABQ.5.0","ABQ","8","5","1",0.262404851904332,0.0000000000000000000000000000150364003382329
"51","qm.5.0","qm","9","5","1",0.876129823908583,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000884710232232037
"52","nTau1.5.0","nTau1","10","5","1",2.85616452947274,0.00000000434026638377359
"53","nTau2.5.0","nTau2","11","5","1",5.15953062531675,0.0000000000915391899349751
"54","nCon.5.0","nCon","12","5","1",1.42088738406987,0.000000000131086676864648
"55","Fm.5.0","Fm","13","5","1",3244.96273352514,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000349904708106543
"56","Fo.5.0","Fo","14","5","1",3091.85203193987,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000176942046446407
"57","Quant.6.0","Quant","1","6","1",0.0416573805267211,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000273448312272245
"58","Sigma.6.0","Sigma","2","6","1",3.45199081318311,0.0000000000000000000000000000010295081720335
"59","Connect.6.0","Connect","3","6","1",0.345937082556985,0.00000000882399083681819
"60","Tau1.6.0","Tau1","4","6","1",1849.43784258222,0.000000000263169390804141
"61","Tau2.6.0","Tau2","5","6","1",10540486.7630422,0.00000770344654732864
"62","NPQ.6.0","NPQ","6","6","1",0.179376323914013,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000376515529987073
"63","qP.6.0","qP","7","6","1",0.380014511478849,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000546896624544491
"64","ABQ.6.0","ABQ","8","6","1",0.253751991325548,0.0000000000000000000000000000010295081720335
"65","qm.6.0","qm","9","6","1",0.89063889759683,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000273448312272245
"66","nTau1.6.0","nTau1","10","6","1",2.84826268779947,0.000000000263169390804141
"67","nTau2.6.0","nTau2","11","6","1",11.2231180421478,0.00000770344654732864
"68","nCon.6.0","nCon","12","6","1",1.11623373934188,0.00000000882399083681819
"69","Fm.6.0","Fm","13","6","1",3092.85004598159,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000376515529987073
"70","Fo.6.0","Fo","14","6","1",2964.01001470405,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000546896624544491
"71","Quant.7.0","Quant","1","7","1",0.04903892844927,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000124521590238589
"72","Sigma.7.0","Sigma","2","7","1",3.41328880018359,0.000000000000000000000000000037934150682345
"73","Connect.7.0","Connect","3","7","1",0.396117588743388,0.00000000105684221574857
"74","Tau1.7.0","Tau1","4","7","1",1614.17448133806,0.0000000000102513879162063
"75","Tau2.7.0","Tau2","5","7","1",10689536.0489864,0.000237606152537908
"76","NPQ.7.0","NPQ","6","7","1",0.226237335649111,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000291869975981917
"77","qP.7.0","qP","7","7","1",0.455185390266072,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000249043180477178
"78","ABQ.7.0","ABQ","8","7","1",0.262118554765487,0.000000000000000000000000000037934150682345
"79","qm.7.0","qm","9","7","1",0.871260477541494,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000124521590238589
"80","nTau1.7.0","nTau1","10","7","1",2.48594077667082,0.0000000000102513879162063
"81","nTau2.7.0","nTau2","11","7","1",11.3818201749672,0.000237606152537908
"82","nCon.7.0","nCon","12","7","1",1.27815096905457,0.00000000105684221574857
"83","Fm.7.0","Fm","13","7","1",2974.65589376805,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000291869975981917
"84","Fo.7.0","Fo","14","7","1",2828.78195623236,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000249043180477178
"85","Quant.8.0","Quant","1","8","1",0.0519752215460598,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000645880933418668
"86","Sigma.8.0","Sigma","2","8","1",3.75089245355544,0.00000000000000000000000000000453772382358347
"87","Connect.8.0","Connect","3","8","1",0.343204899375902,0.0000000808950954227153
"88","Tau1.8.0","Tau1","4","8","1",1734.61160357907,0.000000000000000161185983447231
"89","Tau2.8.0","Tau2","5","8","1",17293589.2524165,0.0004827685635758
"90","NPQ.8.0","NPQ","6","8","1",0.276535753318767,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000515488574302381
"91","qP.8.0","qP","7","8","1",0.521808301190842,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000129176186683734
"92","ABQ.8.0","ABQ","8","8","1",0.189135726106782,0.00000000000000000000000000000453772382358347
"93","qm.8.0","qm","9","8","1",0.863551969565632,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000645880933418668
"94","nTau1.8.0","nTau1","10","8","1",2.67142230711581,0.000000000000000161185983447231
"95","nTau2.8.0","nTau2","11","8","1",18.4135702568134,0.0004827685635758
"96","nCon.8.0","nCon","12","8","1",1.10741781528354,0.0000000808950954227153
"97","Fm.8.0","Fm","13","8","1",2857.44767286295,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000515488574302381
"98","Fo.8.0","Fo","14","8","1",2708.93119700962,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000129176186683734
"99","Quant.9.0","Quant","1","9","1",0.0551855619699723,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000381033696402244
"100","Sigma.9.0","Sigma","2","9","1",3.95346654616877,0.00000000000000000000000000000309018023535764
"101","Connect.9.0","Connect","3","9","1",0.389878785086285,0.000000000728918822177732
"102","Tau1.9.0","Tau1","4","9","1",1483.47216544402,0.00000000000447717814353197
"103","Tau2.9.0","Tau2","5","9","1",10401675.0044204,0.000622427279686978
"104","NPQ.9.0","NPQ","6","9","1",0.307931490592219,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000193366962428444
"105","qP.9.0","qP","7","9","1",0.562931734575144,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000762067392804488
"106","ABQ.9.0","ABQ","8","9","1",0.145343456253569,0.00000000000000000000000000000309018023535764
