"","uni","metric","metrix","stage","col","ASnormalized.t5_icra10.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.301193148184085,0.0000000000000000000000000000000000000000000000000000000000000124897777284771
"2","Sigma.1.0","Sigma","2","1","1",4.58962540080745,0.0000000000000000000000000000000000000000000000198944835798711
"3","Connect.1.0","Connect","3","1","1",0.278311902348691,0.00000000000000235299253331857
"4","Tau1.1.0","Tau1","4","1","1",668.116247054497,0.000000000000000000000000000030873405149207
"5","Tau2.1.0","Tau2","5","1","1",2092074.34873157,0.0000000000000000149307088061872
"6","NPQ.1.0","NPQ","6","1","1",0.527503554081896,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000182317098452465
"7","qP.1.0","qP","7","1","1",1.16418146186847,0.0000000000000000000000000000000000000000000000000000000000000249795554569543
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000198944835798711
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000000124897777284771
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000030873405149207
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000149307088061872
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000235299253331857
"13","Fm.1.0","Fm","13","1","1",1899.49854883163,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000182317098452465
"14","Fo.1.0","Fo","14","1","1",1327.38260093793,0.0000000000000000000000000000000000000000000000000000000000000249795554569543
"15","Quant.3.0","Quant","1","3","1",0.0485437715101215,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000119812016459827
"16","Sigma.3.0","Sigma","2","3","1",2.64197291193771,0.00000000000000000000000000000000153989539550304
"17","Connect.3.0","Connect","3","3","1",0.607187372362141,0.000000000000000000000492796441158505
"18","Tau1.3.0","Tau1","4","3","1",3455.23878289508,0.0000000370238289564604
"19","Tau2.3.0","Tau2","5","3","1",8191989.49841385,0.00000154927172272418
"20","NPQ.3.0","NPQ","6","3","1",-0.00906991315177872,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000187654672648334
"21","qP.3.0","qP","7","3","1",0.0854818400145516,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000239624032900888
"22","ABQ.3.0","ABQ","8","3","1",0.424359793835699,0.00000000000000000000000000000000153989539550304
"23","qm.3.0","qm","9","3","1",0.83882843350589,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000119812016459827
"24","nTau1.3.0","nTau1","10","3","1",5.17161317080386,0.0000000370238289564604
"25","nTau2.3.0","nTau2","11","3","1",3.91572579788126,0.00000154927172272418
"26","nCon.3.0","nCon","12","3","1",2.18167950144442,0.000000000000000000000492796441158505
"27","Fm.3.0","Fm","13","3","1",2928.04792469495,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000187654672648334
"28","Fo.3.0","Fo","14","3","1",2785.90943526788,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000239624032900888
"29","Quant.4.0","Quant","1","4","1",0.0459088671554172,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000199498232931304
"30","Sigma.4.0","Sigma","2","4","1",2.72273029088067,0.0000000000000000000000000000700354618290888
"31","Connect.4.0","Connect","3","4","1",0.523816930142769,0.00000000000000233757967001259
"32","Tau1.4.0","Tau1","4","4","1",1990.6850637263,0.0000000573435813714667
"33","Tau2.4.0","Tau2","5","4","1",6452419.69143287,0.00000395140113929605
"34","NPQ.4.0","NPQ","6","4","1",0.0328690318128163,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000502204664802747
"35","qP.4.0","qP","7","4","1",0.163669002570971,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000398996465862603
"36","ABQ.4.0","ABQ","8","4","1",0.406764157614767,0.0000000000000000000000000000700354618290888
"37","qm.4.0","qm","9","4","1",0.847576654939845,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000199498232931304
"38","nTau1.4.0","nTau1","10","4","1",2.97954895200134,0.0000000573435813714667
"39","nTau2.4.0","nTau2","11","4","1",3.08422102462323,0.00000395140113929605
"40","nCon.4.0","nCon","12","4","1",1.88212191330031,0.00000000000000233757967001259
"41","Fm.4.0","Fm","13","4","1",2809.15652899501,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000502204664802747
"42","Fo.4.0","Fo","14","4","1",2680.1913350866,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000398996465862603
"43","Quant.5.0","Quant","1","5","1",0.0559100362954693,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000119990060167116
"44","Sigma.5.0","Sigma","2","5","1",3.4586024175687,0.0000000000000000000000000000000008203837627701
"45","Connect.5.0","Connect","3","5","1",0.388068637125191,0.00000000000931564447204432
"46","Tau1.5.0","Tau1","4","5","1",1570.38488010865,0.000000000000692030386540912
"47","Tau2.5.0","Tau2","5","5","1",7367458.98059357,0.00000000588727985735775
"48","NPQ.5.0","NPQ","6","5","1",0.123201841945072,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000374661847126874
"49","qP.5.0","qP","7","5","1",0.342195173171539,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000239980120334231
"50","ABQ.5.0","ABQ","8","5","1",0.246430347679306,0.0000000000000000000000000000000008203837627701
"51","qm.5.0","qm","9","5","1",0.814371486760058,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000119990060167116
"52","nTau1.5.0","nTau1","10","5","1",2.35046653487617,0.000000000000692030386540912
"53","nTau2.5.0","nTau2","11","5","1",3.52160475800512,0.00000000588727985735775
"54","nCon.5.0","nCon","12","5","1",1.39436593925828,0.00000000000931564447204432
"55","Fm.5.0","Fm","13","5","1",2583.23186088188,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000374661847126874
"56","Fo.5.0","Fo","14","5","1",2438.80327378036,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000239980120334231
"57","Quant.6.0","Quant","1","6","1",0.057600899415892,0.000000000000000000000000000000000000000000000000000000000000000000000000000000641391545245272
"58","Sigma.6.0","Sigma","2","6","1",3.37990512663565,0.00000000000000000000000000000913046904702791
"59","Connect.6.0","Connect","3","6","1",0.323422072280407,0.000000323937625518936
"60","Tau1.6.0","Tau1","4","6","1",1118.97801051764,0.0000000000000310013842037278
"61","Tau2.6.0","Tau2","5","6","1",7271172.68851127,0.00000354853665941054
