"","uni","metric","metrix","stage","col","ASnormalized.t10_ahya2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.374184486284686,0.0000000000000000000000000000000000000000000000000000000000169034506114791
"2","Sigma.1.0","Sigma","2","1","1",4.50700887238699,0.0000000000000000000000000000000000000000000000000183100603079462
"3","Connect.1.0","Connect","3","1","1",0.315545436592996,0.0000000000000000000848518493677293
"4","Tau1.1.0","Tau1","4","1","1",722.745961550914,0.0000000000000000000000000000915566075810267
"5","Tau2.1.0","Tau2","5","1","1",920803.551724263,0.000000000000000000000000000000428216211769721
"6","NPQ.1.0","NPQ","6","1","1",0.755075263002033,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000104142986122255
"7","qP.1.0","qP","7","1","1",1.4981489826104,0.0000000000000000000000000000000000000000000000000000000000338069012229582
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000000183100603079462
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000169034506114791
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000915566075810267
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000000000000428216211769721
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000000848518493677293
"13","Fm.1.0","Fm","13","1","1",1917.56080229584,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000104142986122255
"14","Fo.1.0","Fo","14","1","1",1200.03929856912,0.0000000000000000000000000000000000000000000000000000000000338069012229582
"15","Quant.3.0","Quant","1","3","1",0.0359201326614097,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000113732302774486
"16","Sigma.3.0","Sigma","2","3","1",2.72665709495801,0.0000000000000000000000000000690858557674829
"17","Connect.3.0","Connect","3","3","1",0.600512523007685,0.00000000000000000387506352283039
"18","Tau1.3.0","Tau1","4","3","1",5899.72145122206,0.0000263580944671638
"19","Tau2.3.0","Tau2","5","3","1",9750458.39021821,0.00000519821184780543
"20","NPQ.3.0","NPQ","6","3","1",0.0496920458330739,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110266233071285
"21","qP.3.0","qP","7","3","1",0.189902438775171,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000227464605547869
"22","ABQ.3.0","ABQ","8","3","1",0.395018476297357,0.0000000000000000000000000000690858557674829
"23","qm.3.0","qm","9","3","1",0.904004217229677,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000113732302774486
"24","nTau1.3.0","nTau1","10","3","1",8.1629255161275,0.0000263580944671638
"25","nTau2.3.0","nTau2","11","3","1",10.5890755655317,0.00000519821184780543
"26","nCon.3.0","nCon","12","3","1",1.90309367009561,0.00000000000000000387506352283039
"27","Fm.3.0","Fm","13","3","1",3206.14369021041,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110266233071285
"28","Fo.3.0","Fo","14","3","1",3090.97858352651,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000227464605547869
