"","uni","metric","metrix","stage","col","ASnormalized.t11_aglo1.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.405867858374983,0.0000000000000000000000000000000000000000000000000000118166356050536
"2","Sigma.1.0","Sigma","2","1","1",4.87529457463268,0.00000000000000000000000000000000000000000000000890693086521514
"3","Connect.1.0","Connect","3","1","1",0.311822761152495,0.000000000000000057573076726588
"4","Tau1.1.0","Tau1","4","1","1",654.92086307651,0.000000000000000000000106301506768549
"5","Tau2.1.0","Tau2","5","1","1",583571.142009551,0.00000000000000000000011261980532287
"6","NPQ.1.0","NPQ","6","1","1",0.878943798775022,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000221375808396553
"7","qP.1.0","qP","7","1","1",1.38873016307395,0.0000000000000000000000000000000000000000000000000000236332712101071
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000890693086521514
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000118166356050536
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000106301506768549
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000000011261980532287
"12","nCon.1.0","nCon","12","1","1",1,0.000000000000000057573076726588
"13","Fm.1.0","Fm","13","1","1",1856.62890759338,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000221375808396553
"14","Fo.1.0","Fo","14","1","1",1103.08290907137,0.0000000000000000000000000000000000000000000000000000236332712101071
"15","Quant.3.0","Quant","1","3","1",0.0660934640036245,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000258699663776443
"16","Sigma.3.0","Sigma","2","3","1",3.09853551717273,0.0000000000000000000000000000000000250934904292576
"17","Connect.3.0","Connect","3","3","1",0.368731348926183,0.00000000000479483902615854
"18","Tau1.3.0","Tau1","4","3","1",1967.83496996602,0.000000611194788298668
"19","Tau2.3.0","Tau2","5","3","1",3437241.62572781,0.000000000000164864698351929
"20","NPQ.3.0","NPQ","6","3","1",0.191490376887839,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141792517213362
"21","qP.3.0","qP","7","3","1",0.439056353235246,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000517399327552872
"22","ABQ.3.0","ABQ","8","3","1",0.364441374825811,0.0000000000000000000000000000000000250934904292576
"23","qm.3.0","qm","9","3","1",0.837155215324884,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000258699663776443
"24","nTau1.3.0","nTau1","10","3","1",3.00469122440543,0.000000611194788298668
"25","nTau2.3.0","nTau2","11","3","1",5.89001302204822,0.000000000000164864698351929
"26","nCon.3.0","nCon","12","3","1",1.18250299485308,0.00000000000479483902615854
"27","Fm.3.0","Fm","13","3","1",2927.8468716306,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141792517213362
"28","Fo.3.0","Fo","14","3","1",2734.33532981235,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000517399327552872
"29","Quant.4.0","Quant","1","4","1",0.0448795480171983,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000641686532911028
"30","Sigma.4.0","Sigma","2","4","1",3.22888414347514,0.000000000000000000000000000000000270363082276558
"31","Connect.4.0","Connect","3","4","1",0.317412394923941,0.00000000117568994993176
"32","Tau1.4.0","Tau1","4","4","1",4319.73253981336,0.0000000011692722809254
"33","Tau2.4.0","Tau2","5","4","1",4416926.52431579,0.000000000121878114543912
"34","NPQ.4.0","NPQ","6","4","1",0.155520632539604,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000420600252714845
"35","qP.4.0","qP","7","4","1",0.352218849538139,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000128337306582206
"36","ABQ.4.0","ABQ","8","4","1",0.337704810643485,0.000000000000000000000000000000000270363082276558
"37","qm.4.0","qm","9","4","1",0.88942325170343,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000641686532911028
"38","nTau1.4.0","nTau1","10","4","1",6.59580841496069,0.0000000011692722809254
"39","nTau2.4.0","nTau2","11","4","1",7.56878845843186,0.000000000121878114543912
"40","nCon.4.0","nCon","12","4","1",1.01792567595382,0.00000000117568994993176
"41","Fm.4.0","Fm","13","4","1",3018.98665788597,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000420600252714845
"42","Fo.4.0","Fo","14","4","1",2883.49590121009,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000128337306582206
"43","Quant.5.0","Quant","1","5","1",0.0427292095654255,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000156146283015332
"44","Sigma.5.0","Sigma","2","5","1",3.61770633344378,0.00000000000000000000000000132108563230258
"45","Connect.5.0","Connect","3","5","1",0.318937710035555,0.00000184905922535184
"46","Tau1.5.0","Tau1","4","5","1",2094.83322124473,0.0000000000629414706414705
"47","Tau2.5.0","Tau2","5","5","1",7061010.77285118,0.000000204040894184184
"48","NPQ.5.0","NPQ","6","5","1",0.149129569726961,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205100173800241
"49","qP.5.0","qP","7","5","1",0.339082102170098,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000312292566030664
"50","ABQ.5.0","ABQ","8","5","1",0.257951231856314,0.00000000000000000000000000132108563230258
"51","qm.5.0","qm","9","5","1",0.894721376222042,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000156146283015332
"52","nTau1.5.0","nTau1","10","5","1",3.19860511299669,0.0000000000629414706414705
"53","nTau2.5.0","nTau2","11","5","1",12.0996572046663,0.000000204040894184184
"54","nCon.5.0","nCon","12","5","1",1.02281728523204,0.00000184905922535184
"55","Fm.5.0","Fm","13","5","1",3035.77722169129,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205100173800241
"56","Fo.5.0","Fo","14","5","1",2906.0608605917,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000312292566030664
"57","Quant.6.0","Quant","1","6","1",0.0442085950013795,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000659219667039489
"58","Sigma.6.0","Sigma","2","6","1",4.24586852892761,0.000000000000000000000000000269647216493978
"59","Connect.6.0","Connect","3","6","1",0.240509264108593,0.000242390822471079
"60","Tau1.6.0","Tau1","4","6","1",1325.63630957935,0.000000000134021340479291
"61","Tau2.6.0","Tau2","5","6","1",9549355.96355407,0.0000416250539044475
"62","NPQ.6.0","NPQ","6","6","1",0.16064268984357,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000506314758571761
"63","qP.6.0","qP","7","6","1",0.35845310114543,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000131843933407898
"64","ABQ.6.0","ABQ","8","6","1",0.129105233759644,0.000000000000000000000000000269647216493978
"65","qm.6.0","qm","9","6","1",0.891076383386499,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000659219667039489
"66","nTau1.6.0","nTau1","10","6","1",2.02411678160951,0.000000000134021340479291
"67","nTau2.6.0","nTau2","11","6","1",16.3636535053301,0.0000416250539044475
"68","nCon.6.0","nCon","12","6","1",0.771301181541949,0.000242390822471079
"69","Fm.6.0","Fm","13","6","1",3005.66350270917,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000506314758571761
"70","Fo.6.0","Fo","14","6","1",2872.78734220747,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000131843933407898
"71","Quant.7.0","Quant","1","7","1",0.0497135068492352,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000114564491815466
"72","Sigma.7.0","Sigma","2","7","1",3.99514915268269,0.00000000000000000000000000000156146193480499
"73","Connect.7.0","Connect","3","7","1",0.227158602904183,0.00012303248588069
"74","Tau1.7.0","Tau1","4","7","1",1917.15790889702,0.0000000000000035701970025875
"75","Tau2.7.0","Tau2","5","7","1",8911243.82627579,0.00000194462728659169
"76","NPQ.7.0","NPQ","6","7","1",0.188211411254664,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000833314387684561
"77","qP.7.0","qP","7","7","1",0.406666501700925,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000229128983630933
"78","ABQ.7.0","ABQ","8","7","1",0.18053174192378,0.00000000000000000000000000000156146193480499
"79","qm.7.0","qm","9","7","1",0.877513072731902,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000114564491815466
"80","nTau1.7.0","nTau1","10","7","1",2.92731231662268,0.0000000000000035701970025875
"81","nTau2.7.0","nTau2","11","7","1",15.2701927576294,0.00000194462728659169
"82","nCon.7.0","nCon","12","7","1",0.728486278758503,0.00012303248588069
"83","Fm.7.0","Fm","13","7","1",2935.92650222524,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000833314387684561
