"","uni","metric","metrix","stage","col","ASnormalized.t7_aabr1.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.373515303150403,0.0000000000000000000000000000000000000000000000000000000000158797662301222
"2","Sigma.1.0","Sigma","2","1","1",3.90006250967952,0.0000000000000000000000000000000000000000000000000417265585498243
"3","Connect.1.0","Connect","3","1","1",0.355852371909166,0.000000000000000000000151474465932955
"4","Tau1.1.0","Tau1","4","1","1",628.410272223803,0.000000000000000000000000000481097544492263
"5","Tau2.1.0","Tau2","5","1","1",1038367.73393197,0.0000000000000000000000000242381998939956
"6","NPQ.1.0","NPQ","6","1","1",0.821370760135178,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000211043629476257
"7","qP.1.0","qP","7","1","1",1.28788208138955,0.0000000000000000000000000000000000000000000000000000000000317595324602444
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000000417265585498243
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000158797662301222
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000481097544492263
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000242381998939956
"12","nCon.1.0","nCon","12","1","1",1,0.000000000000000000000151474465932955
"13","Fm.1.0","Fm","13","1","1",1926.32916078149,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000211043629476257
"14","Fo.1.0","Fo","14","1","1",1206.81574032473,0.0000000000000000000000000000000000000000000000000000000000317595324602444
"15","Quant.3.0","Quant","1","3","1",0.0716734941846829,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000377698527411155
"16","Sigma.3.0","Sigma","2","3","1",2.93488339299765,0.000000000000000000000000000000000000000369239993235843
"17","Connect.3.0","Connect","3","3","1",0.416352068283167,0.00000000000000000219453202147798
"18","Tau1.3.0","Tau1","4","3","1",1558.57708613089,0.0000000119937463103911
"19","Tau2.3.0","Tau2","5","3","1",3301371.09621734,0.00000000000255488074787087
"20","NPQ.3.0","NPQ","6","3","1",0.183815067117598,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000885333231457621
"21","qP.3.0","qP","7","3","1",0.423677658119084,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000755397054822221
"22","ABQ.3.0","ABQ","8","3","1",0.247477858184684,0.000000000000000000000000000000000000000369239993235843
"23","qm.3.0","qm","9","3","1",0.808110956685965,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000377698527411155
"24","nTau1.3.0","nTau1","10","3","1",2.48019033905259,0.0000000119937463103911
"25","nTau2.3.0","nTau2","11","3","1",3.17938528744155,0.00000000000255488074787087
"26","nCon.3.0","nCon","12","3","1",1.17001346948853,0.00000000000000000219453202147798
"27","Fm.3.0","Fm","13","3","1",2963.77340118328,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000885333231457621
"28","Fo.3.0","Fo","14","3","1",2751.34940554885,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000755397054822221
"29","Quant.4.0","Quant","1","4","1",0.0534516452992445,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000349219106196933
"30","Sigma.4.0","Sigma","2","4","1",2.87567449343486,0.0000000000000000000000000000000000000791707464947721
"31","Connect.4.0","Connect","3","4","1",0.434718019335647,0.0000000000000000425672577871041
"32","Tau1.4.0","Tau1","4","4","1",3514.3952732104,0.000000000285789777402893
"33","Tau2.4.0","Tau2","5","4","1",3687553.24818012,0.000000000000582654092463727
"34","NPQ.4.0","NPQ","6","4","1",0.14922254757747,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000534942407856966
"35","qP.4.0","qP","7","4","1",0.346212129531117,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000698438212393812
"36","ABQ.4.0","ABQ","8","4","1",0.262659383971987,0.0000000000000000000000000000000000000791707464947721
"37","qm.4.0","qm","9","4","1",0.856895701867077,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000349219106196933
"38","nTau1.4.0","nTau1","10","4","1",5.59251722727852,0.000000000285789777402893
"39","nTau2.4.0","nTau2","11","4","1",3.55129799172063,0.000000000000582654092463727
"40","nCon.4.0","nCon","12","4","1",1.22162462204021,0.0000000000000000425672577871041
"41","Fm.4.0","Fm","13","4","1",3052.98535539447,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000534942407856966
"42","Fo.4.0","Fo","14","4","1",2889.79826507413,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000698438212393812
