"","uni","metric","metrix","stage","col","ASnormalized.aabr2.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.334574722483324,0.000000000000000000000000000000000000000000000000000000000000225063837472467
"2","Sigma.1.0","Sigma","2","1","1",4.27289390087352,0.0000000000000000000000000000000000000000000000004339084370219
"3","Connect.1.0","Connect","3","1","1",0.324556034682964,0.000000000000000000189533951554764
"4","Tau1.1.0","Tau1","4","1","1",774.467325755449,0.00000000000000000000000000000312766535624134
"5","Tau2.1.0","Tau2","5","1","1",1625552.69639487,0.0000000000000000000155526144560761
"6","NPQ.1.0","NPQ","6","1","1",0.568743886523442,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000031581124722528
"7","qP.1.0","qP","7","1","1",1.51481418086924,0.000000000000000000000000000000000000000000000000000000000000450127674944934
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000004339084370219
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000000000225063837472467
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000000312766535624134
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000155526144560761
"12","nCon.1.0","nCon","12","1","1",1,0.000000000000000000189533951554764
"13","Fm.1.0","Fm","13","1","1",1949.72215168958,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000031581124722528
"14","Fo.1.0","Fo","14","1","1",1297.39440386845,0.000000000000000000000000000000000000000000000000000000000000450127674944934
"15","Quant.3.0","Quant","1","3","1",0.0567576539004861,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000122392926892973
"16","Sigma.3.0","Sigma","2","3","1",2.80428405256886,0.000000000000000000000000000000000551451354578252
"17","Connect.3.0","Connect","3","3","1",0.43214186957851,0.000000000000153755201086073
"18","Tau1.3.0","Tau1","4","3","1",2635.61825408207,0.00000000228720995712959
"19","Tau2.3.0","Tau2","5","3","1",9126198.0057566,0.0000221632058002564
"20","NPQ.3.0","NPQ","6","3","1",0.0245596838740511,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018664007678576
"21","qP.3.0","qP","7","3","1",0.208793195378113,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000244785853784079
"22","ABQ.3.0","ABQ","8","3","1",0.343703794752411,0.000000000000000000000000000000000551451354578252
"23","qm.3.0","qm","9","3","1",0.830358810494672,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000122392926892973
"24","nTau1.3.0","nTau1","10","3","1",3.40313679665075,0.00000000228720995712959
"25","nTau2.3.0","nTau2","11","3","1",5.61421233897651,0.0000221632058002564
"26","nCon.3.0","nCon","12","3","1",1.3314861638627,0.000000000000153755201086073
"27","Fm.3.0","Fm","13","3","1",2985.29676115808,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018664007678576
"28","Fo.3.0","Fo","14","3","1",2815.85832079803,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000244785853784079
"29","Quant.4.0","Quant","1","4","1",0.0399071952837381,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000344632395897396
"30","Sigma.4.0","Sigma","2","4","1",2.61190464195437,0.00000000000000000000000000000000238632598556416
"31","Connect.4.0","Connect","3","4","1",0.496252402376897,0.000000000000000165479266806393
"32","Tau1.4.0","Tau1","4","4","1",3564.3967883271,0.000000082187801823026
"33","Tau2.4.0","Tau2","5","4","1",5027670.89577242,0.00000000311011543901335
"34","NPQ.4.0","NPQ","6","4","1",-0.00517129821670307,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000215223883229195
"35","qP.4.0","qP","7","4","1",0.091854547894118,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000689264791792639
"36","ABQ.4.0","ABQ","8","4","1",0.388727007375397,0.00000000000000000000000000000000238632598556416
"37","qm.4.0","qm","9","4","1",0.880722623073453,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000344632395897396
"38","nTau1.4.0","nTau1","10","4","1",4.60238498099353,0.000000082187801823026
"39","nTau2.4.0","nTau2","11","4","1",3.09289936088983,0.00000000311011543901335
"40","nCon.4.0","nCon","12","4","1",1.52901918111506,0.000000000000000165479266806393
"41","Fm.4.0","Fm","13","4","1",3074.51393430807,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000215223883229195
"42","Fo.4.0","Fo","14","4","1",2951.81870632906,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000689264791792639
"43","Quant.5.0","Quant","1","5","1",0.0350910733684545,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000273429916988804
"44","Sigma.5.0","Sigma","2","5","1",2.88187663303284,0.00000000000000000000000000460510801114317
"45","Connect.5.0","Connect","3","5","1",0.39874566809424,0.00000000518015777325392
"46","Tau1.5.0","Tau1","4","5","1",2446.84571028493,0.00000000801233626946538
"47","Tau2.5.0","Tau2","5","5","1",8537943.92019005,0.0000577743973198291
"48","NPQ.5.0","NPQ","6","5","1",0.00654836949706082,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132899346164071
"49","qP.5.0","qP","7","5","1",0.108828015981068,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000546859833977608
"50","ABQ.5.0","ABQ","8","5","1",0.325544537288023,0.00000000000000000000000000460510801114317
"51","qm.5.0","qm","9","5","1",0.895117380332869,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000273429916988804
"52","nTau1.5.0","nTau1","10","5","1",3.15939178957378,0.00000000801233626946538
"53","nTau2.5.0","nTau2","11","5","1",5.25233290752456,0.0000577743973198291
"54","nCon.5.0","nCon","12","5","1",1.22858805717092,0.00000000518015777325392
"55","Fm.5.0","Fm","13","5","1",3038.71607025765,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132899346164071
"56","Fo.5.0","Fo","14","5","1",2932.08426169034,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000546859833977608
"57","Quant.6.0","Quant","1","6","1",0.0365670513752955,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000132531657888969
"58","Sigma.6.0","Sigma","2","6","1",3.03748510835782,0.000000000000000000000000000270371665430757
"59","Connect.6.0","Connect","3","6","1",0.417432444694093,0.000000000343955706846158
"60","Tau1.6.0","Tau1","4","6","1",1297.17632387798,0.0000000452381727488833
"61","Tau2.6.0","Tau2","5","6","1",13480145.0209981,0.00821476699179791
"62","NPQ.6.0","NPQ","6","6","1",0.0215166417500855,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000635801340594721
"63","qP.6.0","qP","7","6","1",0.149581962693575,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000265063315777937
"64","ABQ.6.0","ABQ","8","6","1",0.289126952640492,0.000000000000000000000000000270371665430757
"65","qm.6.0","qm","9","6","1",0.890705875495068,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000132531657888969
"66","nTau1.6.0","nTau1","10","6","1",1.6749271153727,0.0000000452381727488833
"67","nTau2.6.0","nTau2","11","6","1",8.29265335469851,0.00821476699179791
"68","nCon.6.0","nCon","12","6","1",1.28616448343613,0.000000000343955706846158
"69","Fm.6.0","Fm","13","6","1",2994.1897966951,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000635801340594721
"70","Fo.6.0","Fo","14","6","1",2884.70110457197,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000265063315777937
"71","Quant.7.0","Quant","1","7","1",0.0383219725247382,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000101802861341873
"72","Sigma.7.0","Sigma","2","7","1",3.32090386068365,0.00000000000000000000000000234782471295029
"73","Connect.7.0","Connect","3","7","1",0.271218795954826,0.0000705226537227338
"74","Tau1.7.0","Tau1","4","7","1",1151.28193535137,0.000000000000300511866514096
"75","Tau2.7.0","Tau2","5","7","1",10177857.9430531,0.00000202265867577307
"76","NPQ.7.0","NPQ","6","7","1",0.0521115087860648,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000326817553149709
"77","qP.7.0","qP","7","7","1",0.226119454862277,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000203605722683745
"78","ABQ.7.0","ABQ","8","7","1",0.222797490945248,0.00000000000000000000000000234782471295029
"79","qm.7.0","qm","9","7","1",0.8854606461591,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000101802861341873
"80","nTau1.7.0","nTau1","10","7","1",1.48654681361587,0.000000000000300511866514096
"81","nTau2.7.0","nTau2","11","7","1",6.26116764201212,0.00000202265867577307
"82","nCon.7.0","nCon","12","7","1",0.83566092437554,0.0000705226537227338
"83","Fm.7.0","Fm","13","7","1",2907.12028177641,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000326817553149709
"84","Fo.7.0","Fo","14","7","1",2795.71369821207,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000203605722683745
"85","Quant.8.0","Quant","1","8","1",0.0456511860681645,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000434830646875162
"86","Sigma.8.0","Sigma","2","8","1",3.54139050459044,0.00000000000000000000000000000805985200110263
"87","Connect.8.0","Connect","3","8","1",0.254358387139781,0.000042185120497156
"88","Tau1.8.0","Tau1","4","8","1",1647.97280485355,0.0000000000598953273995863
"89","Tau2.8.0","Tau2","5","8","1",14421049.615675,0.000172473234821102
"90","NPQ.8.0","NPQ","6","8","1",0.082030428837576,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000594095817780359
"91","qP.8.0","qP","7","8","1",0.310426897290263,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000869661293750325
"92","ABQ.8.0","ABQ","8","8","1",0.171196246209985,0.00000000000000000000000000000805985200110263
"93","qm.8.0","qm","9","8","1",0.863554587359958,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000434830646875162
"94","nTau1.8.0","nTau1","10","8","1",2.12787905964406,0.0000000000598953273995863
"95","nTau2.8.0","nTau2","11","8","1",8.87147469759535,0.000172473234821102
"96","nCon.8.0","nCon","12","8","1",0.783711778424473,0.000042185120497156
"97","Fm.8.0","Fm","13","8","1",2826.73631384675,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000594095817780359
"98","Fo.8.0","Fo","14","8","1",2697.6924484177,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000869661293750325
"99","Quant.9.0","Quant","1","9","1",0.0476851029179349,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000869798114482341
"100","Sigma.9.0","Sigma","2","9","1",3.76667416289104,0.0000000000000000000000000000490088178962632
"101","Connect.9.0","Connect","3","9","1",0.237525003487994,0.000189549233505631
"102","Tau1.9.0","Tau1","4","9","1",1251.55490323353,0.0000000000000010203847986715
"103","Tau2.9.0","Tau2","5","9","1",11890116.4521252,0.000175347061350173
"104","NPQ.9.0","NPQ","6","9","1",0.11334977675928,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040755750783737
"105","qP.9.0","qP","7","9","1",0.380503607051929,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000173959622896468
"106","ABQ.9.0","ABQ","8","9","1",0.118472339759945,0.0000000000000000000000000000490088178962632
"107","qm.9.0","qm","9","9","1",0.857475476437669,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000869798114482341
"108","nTau1.9.0","nTau1","10","9","1",1.61602027821214,0.0000000000000010203847986715
"109","nTau2.9.0","nTau2","11","9","1",7.31450692339597,0.000175347061350173
"110","nCon.9.0","nCon","12","9","1",0.731845900570036,0.000189549233505631
"111","Fm.9.0","Fm","13","9","1",2747.21814269844,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040755750783737
"112","Fo.9.0","Fo","14","9","1",2616.21676282585,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000173959622896468
"113","Quant.10.0","Quant","1","10","1",0.0811428281186218,0.000000000000000000000000000000000000000000000000000000000000000000000000000956350003136222
"114","Sigma.10.0","Sigma","2","10","1",4.61645872789693,0.00000000000000000000000000000000608247220525556
"115","Connect.10.0","Connect","3","10","1",0.232655202115706,0.0000197049317670369
"116","Tau1.10.0","Tau1","4","10","1",1719.20114722102,0.0000000000000000119834479979765
"117","Tau2.10.0","Tau2","5","10","1",6972273.72268992,0.00000748613703248461
"118","NPQ.10.0","NPQ","6","10","1",0.142034868036987,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010940410078953
"119","qP.10.0","qP","7","10","1",0.514093221604104,0.00000000000000000000000000000000000000000000000000000000000000000000000000191270000627244
"120","ABQ.10.0","ABQ","8","10","1",-0.0804056536374964,0.00000000000000000000000000000000608247220525556
"121","qm.10.0","qm","9","10","1",0.75747472039623,0.000000000000000000000000000000000000000000000000000000000000000000000000000956350003136222
"122","nTau1.10.0","nTau1","10","10","1",2.2198498116677,0.0000000000000000119834479979765
"123","nTau2.10.0","nTau2","11","10","1",4.28917114662167,0.00000748613703248461
"124","nCon.10.0","nCon","12","10","1",0.716841399491987,0.0000197049317670369
"125","Fm.10.0","Fm","13","10","1",2678.21481767866,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010940410078953
"126","Fo.10.0","Fo","14","10","1",2460.89689306301,0.00000000000000000000000000000000000000000000000000000000000000000000000000191270000627244
"127","Quant.11.0","Quant","1","11","1",0.0908177859125948,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000881529798411375
"128","Sigma.11.0","Sigma","2","11","1",4.01304924228128,0.0000000000000000000000000000000000000178510995126361
"129","Connect.11.0","Connect","3","11","1",0.195109449950236,0.00000321485085793411
"130","Tau1.11.0","Tau1","4","11","1",1628.40925357102,0.000000000000000000107275870737522
"131","Tau2.11.0","Tau2","5","11","1",6325264.71148416,0.00000562523647062973
"132","NPQ.11.0","NPQ","6","11","1",0.131049524384859,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000625467735184292
"133","qP.11.0","qP","7","11","1",0.516038552482216,0.000000000000000000000000000000000000000000000000000000000000000000000000000000176305959682275
"134","ABQ.11.0","ABQ","8","11","1",0.0608123357659608,0.0000000000000000000000000000000000000178510995126361
"135","qm.11.0","qm","9","11","1",0.728557539438379,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000881529798411375
"136","nTau1.11.0","nTau1","10","11","1",2.1026184054732,0.000000000000000000107275870737522
"137","nTau2.11.0","nTau2","11","11","1",3.89114713138015,0.00000562523647062973
"138","nCon.11.0","nCon","12","11","1",0.601157979209429,0.00000321485085793411
"139","Fm.11.0","Fm","13","11","1",2704.22703863992,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000625467735184292
"140","Fo.11.0","Fo","14","11","1",2458.63512638567,0.000000000000000000000000000000000000000000000000000000000000000000000000000000176305959682275
"141","Quant.12.0","Quant","1","12","1",0.0968091439240651,0.00000000000000000000000000000000000000000000000000000000000000000000000000000390635289176425
"142","Sigma.12.0","Sigma","2","12","1",4.07619217577354,0.0000000000000000000000000000000000000463595138697046
"143","Connect.12.0","Connect","3","12","1",0.227166215406792,0.000000172070202642801
"144","Tau1.12.0","Tau1","4","12","1",1543.46884516578,0.00000000000000000211687642854461
"145","Tau2.12.0","Tau2","5","12","1",5071629.96536311,0.00000166102373171208
"146","NPQ.12.0","NPQ","6","12","1",0.127700630197937,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173999358902149
"147","qP.12.0","qP","7","12","1",0.523735341753023,0.0000000000000000000000000000000000000000000000000000000000000000000000000000078127057835285
"148","ABQ.12.0","ABQ","8","12","1",0.0460347786917361,0.0000000000000000000000000000000000000463595138697046
"149","qm.12.0","qm","9","12","1",0.710650155500344,0.00000000000000000000000000000000000000000000000000000000000000000000000000000390635289176425
"150","nTau1.12.0","nTau1","10","12","1",1.9929424958764,0.00000000000000000211687642854461
"151","nTau2.12.0","nTau2","11","12","1",3.11994189829153,0.00000166102373171208
"152","nCon.12.0","nCon","12","12","1",0.699929106629292,0.000000172070202642801
