"","uni","metric","metrix","stage","col","ASnormalized.aglo2.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.378273649290079,0.000000000000000000000000000000000000000000000000000000000020243653719093
"2","Sigma.1.0","Sigma","2","1","1",4.18829164785972,0.00000000000000000000000000000000000000000000000000717229353986005
"3","Connect.1.0","Connect","3","1","1",0.364583747655694,0.0000000000000000000000289170411597211
"4","Tau1.1.0","Tau1","4","1","1",585.240493486362,0.0000000000000000000000000000725132161682625
"5","Tau2.1.0","Tau2","5","1","1",853191.719760752,0.000000000000000000000000000280360521631214
"6","NPQ.1.0","NPQ","6","1","1",0.84617208214065,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000464661692603689
"7","qP.1.0","qP","7","1","1",1.33462618750843,0.0000000000000000000000000000000000000000000000000000000000404873074381861
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000000717229353986005
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000000020243653719093
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000725132161682625
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000000000280360521631214
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000000000289170411597211
"13","Fm.1.0","Fm","13","1","1",1838.5247887181,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000464661692603689
"14","Fo.1.0","Fo","14","1","1",1143.05930757944,0.0000000000000000000000000000000000000000000000000000000000404873074381861
"15","Quant.3.0","Quant","1","3","1",0.0665322387121519,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000506171124436533
"16","Sigma.3.0","Sigma","2","3","1",2.90141492874631,0.000000000000000000000000000000000000113044476928458
"17","Connect.3.0","Connect","3","3","1",0.419846800542096,0.000000000000000216991927580009
"18","Tau1.3.0","Tau1","4","3","1",1873.69318891573,0.000000158742388377522
"19","Tau2.3.0","Tau2","5","3","1",3340238.15168309,0.000000000000316975878004446
"20","NPQ.3.0","NPQ","6","3","1",0.156496240376975,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025933769787598
"21","qP.3.0","qP","7","3","1",0.388068486982478,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000101234224887281
"22","ABQ.3.0","ABQ","8","3","1",0.307255756597329,0.000000000000000000000000000000000000113044476928458
"23","qm.3.0","qm","9","3","1",0.824116115840964,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000506171124436533
"24","nTau1.3.0","nTau1","10","3","1",3.2015781713153,0.000000158742388377522
"25","nTau2.3.0","nTau2","11","3","1",3.91499129014021,0.000000000000316975878004446
